player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Rodri,827606,Manchester City,17,england,2324,2938,34,34,8.01,8,9,17,4.07,6.1,265,0,0.0,1019,241,80.6,2122,1237,3359,92.46,55,70.51,23,0,0,0,235,8,2,16,11,40,34,0,1,32,31,139,1,3,41,0,12.9,0,26,24,2,4,4,,146,55.73,0,0,0,274,26,50,3,6,8,0,1,0,0,0.0,0,0,0,1,361,33,0,1,5,0,0,0,0,0,0,367.25,0.0,0,25,37,24,22,42,75.0,0,70,43,61.43,49,340,56,12,201,59.12,299,2342,1303,3633,272.4,62,13,4116,35,8,0,254864.0,13252913.0,M,27.0,Spain
Arijanet Murić,888971,Burnley,6,england,2324,900,10,10,8.0,0,0,0,,0.05,75,0,0.0,28,106,39.55,74,281,355,67.49,4,100.0,0,0,0,0,106,1,0,0,0,14,10,0,0,0,0,0,2,2,0,0,0.0,33,16,15,1,0,0,6.09,3,100.0,0,19,0,171,0,4,0,0,0,1,0,0,0,0.0,2,0,1,0,181,0,4,0,0,17,42,21,64,0,14,0.0,0.0,0,0,0,0,0,0,0.0,16,1,1,100.0,4,126,0,0,7,100.0,268,205,321,526,80.0,0,3,688,3,0,0,28962.0,1506013.0,K,25.0,Kosovo
Kevin De Bruyne,70996,Manchester City,17,england,2324,1235,18,15,7.93,4,10,14,2.41,7.13,12,35,25.74,379,22,73.33,582,127,674,83.83,6,54.55,5,0,0,0,54,21,1,14,1,4,18,0,0,20,13,70,0,0,11,0,9.09,0,8,7,1,3,1,,37,36.27,1,0,0,130,4,59,1,1,0,0,0,0,0,0.0,0,0,0,0,296,24,0,0,2,0,0,0,0,0,0,308.75,0.0,6,17,27,13,17,10,32.26,0,14,9,64.29,59,31,31,136,43,38.05,30,800,140,804,142.7,44,6,1154,13,2,0,463389.0,24096205.0,F,32.0,Belgium
Phil Foden,859765,Manchester City,17,england,2324,2873,35,33,7.79,19,8,27,10.34,6.93,41,19,21.35,677,42,62.69,1143,364,1488,89.1,6,26.09,17,0,0,0,127,10,7,41,8,16,35,0,0,49,18,143,0,1,14,2,18.1,0,27,24,3,13,6,,138,52.27,1,0,1,182,13,73,17,5,0,0,0,0,1,0.0,0,0,0,0,417,35,0,0,1,0,0,0,0,0,0,151.21,50.0,4,59,46,16,48,47,50.54,0,31,20,64.52,73,69,93,89,144,50.17,67,1356,403,1670,272.8,105,9,2299,60,2,0,260656.0,13554115.0,F,23.0,England
Bruno Fernandes,288205,Manchester United,35,england,2324,3119,35,35,7.75,10,8,18,9.94,9.74,149,52,23.32,666,152,57.36,1088,481,1517,79.38,21,43.75,27,0,0,1,200,21,7,27,7,47,35,0,0,35,58,180,0,2,41,0,10.53,0,52,48,4,8,2,,115,42.91,1,0,3,394,27,116,2,13,6,0,2,5,0,80.0,0,4,0,0,695,34,0,0,7,0,0,0,0,0,0,311.9,0.0,11,39,56,27,41,19,47.5,0,68,38,55.88,114,274,40,223,136,43.04,265,1585,549,1911,271.2,95,7,2687,28,9,0,278033.0,14457723.0,F,29.0,Portugal
Michael Olise,978838,Crystal Palace,7,england,2324,1277,19,14,7.74,10,6,16,5.51,4.99,27,25,25.77,222,25,71.43,369,162,506,83.09,7,31.82,15,0,0,0,68,9,3,21,1,9,19,0,0,33,16,110,0,0,13,0,17.54,0,19,17,2,8,2,,102,51.78,1,0,0,103,11,36,9,2,0,0,0,1,0,100.0,0,1,0,0,299,7,0,0,0,0,0,0,0,0,0,127.7,0.0,4,34,23,15,21,40,54.79,0,19,10,52.63,36,40,73,97,109,49.77,35,523,183,609,147.0,57,6,1078,43,0,0,115847.0,6024051.0,F,22.0,France
Bukayo Saka,934235,Arsenal,42,england,2324,2933,35,35,7.72,16,9,25,15.5,11.0,33,45,24.86,650,27,42.86,924,208,1087,82.98,24,39.34,37,0,0,0,155,15,11,44,3,19,35,0,0,53,33,212,1,0,41,0,14.81,0,27,24,3,15,1,,183,51.12,1,0,3,223,15,91,11,8,2,0,0,6,0,100.0,0,6,0,1,537,37,0,0,4,0,0,0,0,0,0,183.31,0.0,0,80,28,27,37,49,47.57,0,66,35,53.03,91,61,103,181,207,49.4,63,1236,255,1310,270.2,108,5,2130,69,4,0,225902.0,11746900.0,F,22.0,England
Cole Palmer,982780,Chelsea,38,england,2324,2624,34,29,7.7,22,11,33,18.21,8.75,74,16,19.75,509,69,65.71,785,320,1089,83.32,1,20.0,4,0,0,0,105,17,7,33,1,11,34,0,0,44,11,128,0,2,24,0,20.18,0,46,41,5,19,3,,101,44.89,2,0,1,218,20,72,17,6,2,0,0,9,0,100.0,0,9,0,1,451,26,0,0,3,0,0,0,0,0,0,119.27,0.0,11,52,57,30,46,52,53.06,0,23,12,52.17,72,127,98,81,102,44.35,105,1020,368,1307,261.8,109,8,1893,26,7,0,92678.0,4819241.0,F,21.0,England
Martin Ødegaard,547410,Arsenal,42,england,2324,3098,35,35,7.67,8,10,18,7.4,11.17,37,30,38.96,811,45,60.81,1196,483,1649,86.79,3,25.0,9,0,0,0,158,17,4,30,13,5,35,0,0,58,41,176,0,0,30,0,10.39,0,23,19,4,7,1,,122,42.21,0,0,0,251,15,102,8,3,1,0,0,2,0,100.0,0,2,0,1,463,41,0,0,0,0,0,0,0,0,0,387.25,0.0,4,38,39,24,23,37,49.33,0,49,17,34.69,102,88,75,77,125,41.53,74,1463,514,1900,268.5,77,6,2463,36,2,0,278033.0,14457723.0,F,25.0,Norway
James Maddison,356398,Tottenham Hotspur,33,england,2324,2152,28,26,7.59,4,9,13,6.43,6.27,25,23,17.29,546,43,62.32,874,326,1177,87.44,3,33.33,6,0,0,0,60,11,4,19,1,8,28,0,0,34,14,108,0,1,21,0,6.9,0,31,30,1,3,1,,139,57.68,0,0,0,169,13,68,1,2,3,0,1,0,0,0.0,0,0,0,0,395,19,0,0,3,0,0,0,0,0,0,538.0,0.0,3,31,27,16,23,32,48.48,0,33,19,57.58,67,76,66,133,142,56.8,69,1138,341,1346,212.4,58,4,1884,74,5,0,196940.0,10240887.0,F,27.0,England
