player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Arnau Tenas,908714,Paris Saint-Germain,1644,france,2425,90,1,1,7.9,0,1,1,,0.05,2,0,0.0,2,6,85.71,2,25,27,96.43,1,100.0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0.47,0,0.0,0,1,0,1,0,2,0,0,,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,1,100.0,7,3,25,28,7.9,0,0,38,0,0,0,23077.0,1200000.0,K,23.0,Spain
Logan Costa,911853,Toulouse,1681,france,2425,90,1,1,7.8,0,0,0,,0.03,2,1,100.0,5,3,33.33,19,27,45,83.33,4,66.67,2,0,0,0,4,1,0,0,1,4,1,0,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,,2,66.67,0,0,0,9,2,1,0,0,,0,0,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,1,5,0,1,6,66.67,9,25,30,54,7.8,0,0,70,0,0,0,,,,,
Achraf Hakimi,814594,Paris Saint-Germain,1644,france,2425,2067,25,24,7.76,4,6,10,2.98,5.32,40,17,21.25,690,39,66.1,1198,552,1733,90.88,9,40.91,13,0,0,0,136,12,4,9,7,14,25,0,0,15,28,93,0,3,19,0,12.5,0,20,14,6,4,0,,99,55.31,0,0,2,174,31,51,0,8,,0,1,0,0,0.0,0,0,0,0,319,18,0,0,4,0,0,0,0,0,0,516.75,0.0,5,18,14,10,13,26,55.32,0,48,36,75.0,50,55,47,80,108,53.73,59,1376,611,1907,194.1,32,7,2461,25,4,0,253846.0,13200000.0,D,26.0,Morocco
Ismail Jakobs,897291,AS Monaco,1653,france,2425,180,2,2,7.75,0,0,0,,0.18,2,4,28.57,16,2,100.0,49,24,69,88.46,1,14.29,6,0,0,0,5,1,0,0,2,6,2,0,0,0,2,9,0,0,1,0,0.0,0,0,0,0,0,0,,8,72.73,0,0,0,9,2,4,0,0,,0,0,0,0,0.0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5,5,100.0,4,2,0,14,9,50.0,2,65,27,78,15.5,0,1,125,3,0,0,,,,,
Ousmane Dembélé,818244,Paris Saint-Germain,1644,france,2425,1736,29,20,7.75,21,6,27,16.61,7.18,26,28,35.0,455,35,71.43,681,160,813,83.21,4,40.0,6,0,0,0,39,13,17,19,1,1,29,0,0,32,8,105,0,1,8,0,21.65,0,16,12,4,20,1,,67,40.36,2,0,2,164,9,63,10,9,,0,0,1,0,100.0,0,1,0,1,353,11,0,0,9,0,0,0,0,0,0,82.67,0.0,0,72,25,27,51,42,45.16,0,11,5,45.45,63,43,93,80,71,40.34,49,875,182,977,224.7,97,7,1408,14,2,0,346154.0,18000000.0,F,27.0,France
Benjamin Bourigeaud,324399,Stade Rennais,1658,france,2425,81,1,1,7.7,1,0,1,0.16,0.04,1,0,0.0,14,3,75.0,23,13,36,85.71,2,50.0,2,0,0,0,4,0,0,0,0,1,1,0,0,1,2,5,0,0,0,1,50.0,0,0,0,0,0,1,,2,40.0,0,0,0,6,2,0,0,0,,0,0,0,0,0.0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,81.0,100.0,1,1,1,1,1,1,100.0,0,1,0,0.0,0,3,1,6,4,44.44,4,34,14,42,7.7,2,0,59,0,0,0,,,,,
Rayan Cherki,979128,Olympique Lyonnais,1649,france,2425,2053,30,22,7.6,8,11,19,5.01,11.73,48,28,23.73,472,40,70.18,740,311,1023,84.13,4,33.33,8,0,0,0,83,22,1,15,1,5,30,0,0,43,22,130,0,0,16,0,17.78,0,28,24,4,8,0,,97,44.29,1,0,2,193,7,75,5,3,,0,0,0,0,0.0,0,0,0,0,436,14,0,0,2,0,0,0,0,0,0,256.63,0.0,3,33,12,11,19,48,52.75,0,15,12,80.0,75,80,91,118,101,43.72,57,995,339,1216,227.9,45,7,1713,34,3,0,76923.0,4000000.0,F,21.0,France
Mason Greenwood,942116,Olympique de Marseille,1641,france,2425,2814,34,32,7.56,21,5,26,16.34,7.84,73,28,25.45,433,63,61.76,795,287,1054,83.25,8,53.33,7,0,0,2,88,12,10,30,1,5,34,0,0,44,23,163,1,1,24,0,17.5,0,41,36,5,18,3,,126,44.68,1,0,1,212,12,50,7,2,,0,3,9,0,77.78,0,7,0,2,485,25,0,0,13,0,0,0,0,0,0,134.0,0.0,3,74,46,34,56,54,45.0,0,35,18,51.43,47,136,120,110,134,45.12,102,1047,329,1266,256.9,120,9,1888,37,3,0,104808.0,5450000.0,F,23.0,Jamaica
Vitinha,902029,Paris Saint-Germain,1644,france,2425,2035,29,20,7.47,5,1,6,3.41,3.77,156,5,23.81,644,150,83.33,1411,815,2221,93.75,1,16.67,5,0,0,0,144,4,2,5,5,18,29,0,0,19,23,66,0,2,9,1,18.52,0,22,18,4,4,1,,82,57.34,0,0,1,148,14,27,1,0,,0,0,2,0,100.0,0,2,0,0,227,12,0,0,4,0,0,0,0,0,0,407.0,50.0,2,10,17,8,14,27,72.97,0,43,23,53.49,27,209,37,21,83,55.7,180,1541,849,2369,216.6,27,4,2659,12,1,0,209615.0,10900000.0,M,24.0,Portugal
Khvicha Kvaratskhelia,889259,Paris Saint-Germain,1644,france,2425,920,14,11,7.46,4,3,7,3.28,3.81,15,10,30.3,221,7,63.64,366,97,453,89.35,3,37.5,5,0,0,0,27,9,5,8,2,3,14,0,0,25,10,76,0,0,12,0,11.76,0,10,8,2,3,1,,62,46.62,0,0,1,54,2,26,2,0,,0,1,0,0,0.0,0,0,0,0,149,8,0,0,2,0,0,0,0,0,0,230.0,0.0,2,17,17,11,15,25,50.0,0,19,13,68.42,25,24,50,33,65,46.1,11,440,100,507,104.5,34,3,740,18,0,0,314615.0,16360000.0,F,23.0,Georgia
