player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Lionel Mpasi Nzau,599192,Le Havre,1662,france,2526,315,4,3,7.83,0,0,0,,0.0,4,0,0.0,4,31,40.26,21,82,103,69.13,2,100.0,0,0,0,0,37,0,0,0,1,5,4,0,0,0,20260428,0,0,0,0,0,0,0.0,37,2,2,0,0,0,2.34,0,0.0,0,3,0,46,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,46,0,3,0,0,2,8,7,15,0,5,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,7,0,0,2,100.0,77,61,88,149,31.3,0,0,195,1,2,0,12308.0,640000.0,K,31.0,Democratic Republic of the Congo
Rémy Descamps,788180,Olympique Lyonnais,1649,france,2526,450,5,5,7.66,0,0,0,,0.0,8,0,0.0,1,16,34.04,4,96,100,74.07,0,0.0,0,0,0,0,35,0,0,0,4,3,5,0,0,0,20260428,1,1,0,0,0,0,0.0,15,3,3,0,0,0,2.79,1,50.0,0,3,0,35,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,37,0,2,0,0,2,10,4,14,0,5,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,12,1,0,1,50.0,47,25,110,135,38.3,0,1,178,0,0,0,31538.0,1640000.0,K,29.0,France
Vitinha,902029,Paris Saint-Germain,1644,france,2526,2008,27,23,7.62,1,7,8,1.0,3.71,128,7,31.82,617,165,75.69,1462,981,2443,93.89,3,60.0,2,0,0,0,130,8,0,10,10,22,27,0,0,9,20260428,14,40,0,1,13,0,3.13,0,19,14,5,0,1,,54,58.7,0,0,0,159,25,34,0,0,5.0,0,0,0,0,0.0,0,0,0,0,214,17,0,0,1,0,0,0,0,0,0,2008.0,0.0,2,2,30,12,10,12,70.59,0,23,17,73.91,34,186,17,22,57,58.76,218,1591,1011,2602,205.8,32,6,2846,19,2,0,227308.0,11820000.0,M,25.0,Portugal
Dilane Bakwa,963298,RC Strasbourg,1659,france,2526,105,3,0,7.53,1,2,3,0.15,0.81,4,2,28.57,16,2,66.67,28,9,37,88.1,0,0.0,0,0,0,0,6,2,0,1,0,1,3,0,0,1,20260428,1,6,0,0,0,0,50.0,0,2,2,0,1,0,,10,62.5,0,0,0,5,1,3,1,0,0.0,0,0,0,0,0.0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,105.0,0.0,0,2,0,0,1,5,55.56,0,1,1,100.0,3,6,9,7,10,62.5,3,33,9,42,22.6,2,1,77,4,0,0,,,,,
Ousmane Dembélé,818244,Paris Saint-Germain,1644,france,2526,930,19,9,7.52,10,6,16,6.4,4.1,26,11,23.91,312,27,77.14,470,92,562,83.88,2,33.33,4,1,0,0,23,8,3,7,0,1,19,0,0,11,20260428,2,32,0,1,3,0,23.26,0,8,5,3,9,1,,26,48.15,1,0,1,108,0,39,4,7,0.0,0,0,3,0,66.67,0,2,0,0,180,9,0,0,5,0,0,0,0,0,0,93.0,0.0,1,29,14,19,17,18,60.0,0,5,2,40.0,39,33,30,46,28,46.67,35,570,100,670,142.8,43,5,839,3,0,0,349615.0,18180000.0,F,28.0,France
Ilan Kebbal,1049442,Paris FC,6070,france,2526,2096,26,24,7.45,9,4,13,6.5,5.45,53,20,20.2,376,72,72.0,707,456,1163,86.34,2,14.29,12,0,1,0,122,7,4,9,2,6,26,0,0,42,20260428,18,123,0,0,15,0,18.75,0,38,35,3,7,2,,122,52.36,0,0,1,184,8,54,7,3,0.0,0,0,4,0,75.0,0,3,0,1,393,24,0,0,2,0,0,0,0,0,0,232.89,0.0,0,30,18,20,19,32,46.38,0,32,17,53.13,54,86,69,99,124,50.2,100,851,496,1347,193.6,48,4,1830,59,7,0,35000.0,1820000.0,F,27.0,Algeria
Hervé Koffi,867299,Angers,1684,france,2526,2430,27,27,7.37,0,0,0,,0.01,69,0,0.0,11,131,37.11,46,514,560,70.62,7,87.5,1,0,0,0,274,0,0,0,10,27,27,0,0,0,20260428,0,2,1,3,1,0,0.0,158,32,30,2,0,0,11.47,11,91.67,0,38,0,233,0,0,0,0,0.0,0,0,0,1,0.0,5,0,2,0,242,0,9,0,0,13,69,39,109,2,28,0.0,0.0,0,0,0,0,0,0,0.0,12,1,1,100.0,0,113,0,0,18,90.0,353,199,594,793,199.1,0,4,1131,11,1,0,24423.0,1270000.0,K,29.0,Burkina Faso
Mason Greenwood,942116,Olympique de Marseille,1641,france,2526,2202,29,26,7.36,15,6,21,12.91,5.39,59,26,25.24,405,70,66.04,684,259,943,82.43,2,25.0,6,1,0,1,67,12,4,26,3,2,29,0,0,22,20260428,18,112,0,0,21,0,14.42,0,32,32,0,12,3,,82,43.62,0,0,3,201,4,55,5,0,1.0,0,2,7,0,71.43,0,5,0,1,413,11,0,0,10,0,0,0,0,0,0,146.8,0.0,5,60,44,34,44,46,50.0,0,12,11,91.67,53,105,92,103,84,42.86,106,850,294,1144,213.4,104,5,1633,24,4,0,104808.0,5450000.0,F,24.0,England
Lucas Beraldo,1108441,Paris Saint-Germain,1644,france,2526,1210,16,14,7.35,2,1,3,1.53,1.08,40,0,0.0,149,38,62.3,398,658,1056,93.87,31,56.36,24,0,0,0,65,3,0,1,6,56,15,0,0,2,20260428,8,49,0,0,13,0,18.18,15,11,9,2,2,0,,28,52.83,2,0,0,69,20,11,0,0,6.0,0,0,0,0,0.0,0,0,0,0,82,2,0,0,0,0,0,0,0,0,0,605.0,0.0,0,8,3,6,4,0,0.0,0,22,10,45.45,11,65,3,1,59,54.63,61,445,680,1125,110.2,11,2,1290,6,2,0,80385.0,4180000.0,D,22.0,Brazil
Karl-Johan Johnsson,40973,RC Strasbourg,1659,france,2526,90,1,1,7.3,0,0,0,,0.0,2,0,0.0,1,4,36.36,2,23,25,78.13,1,100.0,0,0,0,0,9,0,0,0,1,3,1,0,0,0,20260428,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0.28,0,0.0,0,1,0,7,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,7,0,1,0,0,1,2,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,2,0,0,1,100.0,11,8,24,32,7.3,0,0,40,0,0,0,15769.0,820000.0,K,36.0,Sweden
