player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Luca Gemello,876235,Torino,2696,italy,2122,90,1,1,7.7,0,0,0,,,4,0,0.0,3,7,25.93,5,8,13,39.39,0,0.0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0,20,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,21,0,0,0,0,1,3,0,3,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,9,0,0,0,0.0,27,20,13,33,7.7,0,0,39,0,0,0,2115.0,110000.0,K,21.0,Italy
Domenico Berardi,253367,Sassuolo,2793,italy,2122,2835,33,33,7.59,15,14,29,,,100,25,24.51,412,101,74.26,725,259,959,74.75,18,50.0,18,0,0,0,,13,5,28,0,22,33,0,0,43,42,190,0,0,53,0,13.64,,50,47,3,13,2,,138,44.52,1,0,2,324,31,82,12,11,,0,0,6,0,100.0,0,6,0,2,557,23,0,0,2,0,0,0,0,0,0,189.0,0.0,8,49,61,35,47,30,44.12,0,32,19,59.38,82,151,68,102,156,45.09,136,1046,339,1283,250.6,110,9,1973,76,9,0,64038.0,3330000.0,F,27.0,Italy
Hakan Çalhanoğlu,135700,Inter,2697,italy,2122,2516,34,33,7.53,7,12,19,,,92,72,36.73,496,105,72.41,915,558,1401,86.8,10,32.26,21,0,0,0,,13,3,25,2,9,34,0,0,19,29,119,0,0,36,0,10.77,,21,18,3,3,4,,80,44.94,0,0,1,213,25,88,0,0,,0,0,3,0,100.0,0,3,0,1,420,21,0,0,7,0,0,0,0,0,0,359.43,0.0,9,19,46,22,18,13,46.43,0,41,23,56.1,88,158,28,196,90,43.06,145,1220,590,1614,256.1,65,9,2160,26,11,0,178077.0,9260000.0,M,27.0,Turkey
Lorenzo Pellegrini,555540,Roma,2702,italy,2122,2298,28,27,7.42,9,5,14,,,47,56,32.56,268,54,62.79,533,238,715,77.72,17,38.64,27,0,0,1,,12,7,31,4,19,28,0,0,24,44,188,0,0,46,3,9.78,,30,26,4,6,3,,127,44.1,0,0,6,205,27,68,1,9,,0,0,3,0,66.67,0,2,0,0,472,26,0,1,8,0,0,0,0,0,0,255.33,27.27,11,51,41,30,31,43,47.25,0,35,14,40.0,68,93,91,172,144,43.37,86,818,274,920,207.8,92,8,1600,49,6,1,124615.0,6480000.0,M,25.0,Italy
Luis Muriel,119242,Atalanta,2686,italy,2122,1540,27,17,7.41,9,8,17,,,14,29,38.67,281,19,57.58,433,104,508,75.6,30,48.39,32,0,0,0,,7,2,19,1,5,27,0,0,47,16,148,0,0,14,0,15.79,,21,20,1,8,1,,104,47.27,1,0,4,164,4,60,4,7,,0,0,2,0,100.0,0,2,0,0,369,17,0,0,4,0,0,0,0,0,0,171.11,0.0,5,35,22,20,18,62,59.62,0,15,4,26.67,60,24,104,75,134,47.52,33,621,126,672,200.0,57,3,1148,27,1,0,44423.0,2310000.0,F,30.0,Colombia
Paulo Dybala,256219,Juventus,2687,italy,2122,2072,29,26,7.41,10,5,15,,,54,18,27.27,291,66,81.48,556,350,888,84.25,10,34.48,19,1,0,0,,11,5,18,2,2,29,0,0,28,27,119,0,3,16,0,10.1,,23,18,5,6,4,,125,55.56,0,0,4,166,9,38,9,6,,0,0,2,0,50.0,0,1,0,0,364,18,0,0,1,0,0,0,0,0,0,207.2,0.0,10,35,64,44,37,47,59.49,0,30,13,43.33,38,73,79,66,135,53.15,81,720,400,1054,214.8,99,5,1590,48,3,0,260000.0,13520000.0,F,28.0,Argentina
Juan Cuadrado,47743,Juventus,2687,italy,2122,2494,33,28,7.35,4,4,8,,,80,43,31.85,368,129,76.33,813,672,1442,88.74,21,60.0,14,0,0,0,,9,2,8,8,30,33,0,0,15,25,101,0,0,19,0,11.11,,23,18,5,3,1,,145,62.5,0,0,1,183,29,59,0,1,,0,0,0,0,0.0,0,0,0,0,386,15,0,0,4,0,0,0,0,0,0,623.5,0.0,5,17,19,14,14,46,62.16,0,48,23,47.92,59,114,74,135,166,62.17,169,1027,733,1625,242.7,36,4,2298,52,9,0,178077.0,9260000.0,D,33.0,Colombia
Antonio Candreva,27982,Sampdoria,2711,italy,2122,3131,36,36,7.32,7,10,17,,,162,74,21.57,422,126,58.33,796,442,1164,76.18,2,22.22,7,0,0,1,,16,5,19,5,9,36,0,1,35,36,125,0,0,19,0,9.46,,56,50,6,6,1,,96,44.86,0,0,4,364,33,79,1,14,,0,1,2,0,50.0,0,1,0,0,780,28,0,1,6,0,0,0,0,0,0,447.29,0.0,4,39,35,33,22,21,41.18,0,27,16,59.26,78,307,51,343,98,43.95,216,1359,512,1528,263.5,74,5,2386,48,6,0,46346.0,2410000.0,M,34.0,Italy
Gianluca Caprari,148458,Hellas Verona,2701,italy,2122,2760,35,33,7.31,12,7,19,,,31,23,21.3,425,30,49.18,707,243,927,80.54,8,22.86,27,0,0,0,,9,1,26,1,5,35,0,0,54,34,206,0,0,42,0,17.91,,40,36,4,10,2,,182,50.42,1,0,2,224,4,63,3,14,,0,0,2,0,100.0,0,2,0,1,533,30,0,0,8,0,0,0,0,0,0,230.0,0.0,4,38,29,13,28,65,54.62,0,43,25,58.14,63,65,119,108,190,47.98,61,973,286,1151,255.9,67,4,1862,74,4,0,32115.0,1670000.0,F,28.0,Italy
Lorenzo Insigne,106258,Napoli,2714,italy,2122,2309,32,28,7.3,11,9,20,,,87,28,31.11,437,91,64.08,792,394,1158,83.67,5,35.71,9,1,0,3,,8,9,24,1,1,32,0,0,28,36,124,0,1,20,0,11.7,,21,19,2,10,1,,86,42.79,0,0,2,226,20,63,1,5,,0,0,13,0,69.23,0,9,0,0,429,20,0,0,10,0,0,0,0,0,0,209.91,0.0,12,55,39,34,36,41,51.25,0,23,14,60.87,63,168,80,90,91,42.33,142,1045,429,1384,233.6,94,7,1902,22,2,0,163846.0,8520000.0,F,30.0,Italy
Ivan Perišić,38710,Inter,2697,italy,2122,2842,35,35,7.3,8,7,15,,,52,37,24.67,336,62,54.87,558,367,888,76.29,55,62.5,33,0,0,0,,14,2,8,5,33,35,0,0,8,22,108,0,0,29,0,18.18,,25,20,5,8,0,,70,48.28,3,0,0,276,47,57,3,13,,0,0,1,0,100.0,0,1,0,0,513,20,0,0,2,0,0,0,0,0,0,355.25,0.0,0,35,9,18,18,26,57.78,0,38,22,57.89,57,109,45,150,125,53.65,113,883,431,1164,255.4,44,4,1881,6,4,0,178077.0,9260000.0,M,33.0,Croatia
Nicolò Barella,363856,Inter,2697,italy,2122,2931,36,36,7.29,3,12,15,,,89,22,33.33,537,83,66.4,959,583,1520,85.06,22,46.81,25,0,0,0,,15,2,22,5,7,36,0,0,38,26,145,0,2,30,0,4.41,,29,25,4,3,0,,152,55.88,0,0,0,267,21,65,1,4,,0,1,0,0,0.0,0,0,0,1,447,23,0,0,2,0,0,0,0,0,0,977.0,0.0,0,30,38,33,13,37,57.81,0,63,42,66.67,64,145,64,66,174,54.55,125,1206,647,1787,262.6,68,4,2343,52,9,0,178077.0,9260000.0,M,24.0,Italy
Luis Alberto,111416,Lazio,2699,italy,2122,2361,34,27,7.29,5,10,15,,,58,31,21.68,589,60,66.67,1064,552,1585,87.71,6,33.33,12,0,0,0,,14,0,13,4,7,34,0,0,23,44,109,0,0,13,0,10.64,,35,29,6,4,1,,82,45.81,0,0,1,222,13,67,1,1,,0,2,0,0,0.0,0,0,0,0,416,13,0,0,4,0,0,0,0,0,0,472.2,0.0,2,17,30,18,16,27,61.36,0,29,17,58.62,65,107,44,143,88,44.67,90,1348,602,1807,247.7,47,8,2270,26,5,0,89038.0,4630000.0,M,29.0,Spain
