player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Manuel Locatelli,363860,Juventus,2687,italy,2526,2644,32,32,7.68,1,2,3,2.46,4.22,134,5,35.71,639,164,59.42,1349,816,2165,88.77,32,55.17,26,0,0,1,155,5,1,12,9,69,32,0,0,15,20260428,22,114,2,3,48,0,2.63,0,23,18,5,1,0,,136,60.71,0,0,2,274,36,42,0,0,23,0,0,1,0,0.0,0,0,0,0,336,16,0,0,1,0,0,0,0,0,0,2644.0,0.0,2,9,29,15,11,10,58.82,0,91,63,69.23,42,230,17,14,168,59.57,276,1554,885,2439,245.9,38,4,2904,37,8,0,117500.0,6110000.0,M,28.0,Italy
Filippo Rinaldi,1002428,Parma,2690,italy,2526,90,1,1,7.6,0,0,0,,0.0,2,0,0.0,1,7,23.33,4,17,21,47.73,2,100.0,0,0,0,0,13,0,0,0,1,1,1,0,0,0,20260428,0,0,0,0,0,0,0.0,13,0,0,0,0,0,1.08,0,0.0,0,2,0,23,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23,0,1,0,0,0,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6,0,0,2,100.0,30,24,20,44,7.6,0,0,59,0,1,0,3654.0,190000.0,K,23.0,Italy
Luka Modrić,15466,Milan,2692,italy,2526,2793,33,32,7.53,2,3,5,1.51,4.74,117,29,26.13,530,174,74.68,1197,793,1990,90.58,11,50.0,11,0,0,0,186,6,0,6,10,33,33,0,0,12,20260428,29,90,0,3,23,0,10.53,0,26,25,1,2,0,,98,55.37,0,0,1,207,39,52,0,0,10,0,2,0,0,0.0,0,0,0,0,359,16,0,0,2,0,0,0,0,0,0,1396.5,0.0,1,6,13,5,8,17,48.57,0,49,27,55.1,50,187,35,111,109,54.77,233,1349,848,2197,248.6,19,6,2648,32,4,0,124615.0,6480000.0,M,40.0,Croatia
Hakan Çalhanoğlu,135700,Inter,2697,italy,2526,1649,22,20,7.5,9,4,13,5.65,3.5,49,33,38.37,364,65,58.56,735,526,1261,90.65,13,56.52,10,0,0,1,102,7,1,13,5,16,22,0,0,6,20260428,13,62,0,0,28,0,18.0,0,16,14,2,4,5,,50,49.02,0,0,1,130,16,41,1,0,6,0,0,5,0,80.0,0,4,0,0,228,8,0,0,8,0,0,0,0,0,0,183.22,0.0,4,7,43,20,17,5,35.71,0,34,18,52.94,41,87,14,86,63,50.4,111,835,556,1391,164.9,50,5,1710,11,7,0,213654.0,11110000.0,M,31.0,Turkey
Federico Dimarco,284361,Inter,2697,italy,2526,2534,32,28,7.45,6,17,23,5.04,10.59,78,93,34.07,454,36,38.3,735,373,1108,82.93,2,14.29,12,0,0,0,121,32,9,19,10,27,32,0,0,10,20260428,20,87,0,1,40,0,9.52,0,23,21,2,5,1,,78,50.98,0,0,2,228,30,91,5,5,4,0,0,0,0,0.0,0,0,0,0,461,20,0,0,1,0,0,0,0,0,0,422.33,0.0,5,40,23,24,20,6,46.15,0,50,32,64.0,91,140,13,273,80,47.9,94,894,442,1336,238.3,63,9,2036,22,3,0,142500.0,7410000.0,D,28.0,Italy
Kenan Yıldız,1149011,Juventus,2687,italy,2526,2576,33,30,7.42,10,6,16,7.83,9.08,22,28,25.45,439,30,61.22,665,263,928,84.21,13,52.0,12,0,0,1,105,15,3,30,3,6,33,0,0,51,20260428,13,153,0,4,20,0,11.24,0,23,20,3,9,1,,141,50.0,0,0,5,174,7,71,1,6,0,0,0,2,0,50.0,0,1,0,1,456,20,0,0,9,0,0,0,0,0,0,257.6,0.0,0,59,30,21,38,73,54.89,0,16,6,37.5,71,47,133,110,154,50.16,49,812,290,1102,244.9,89,9,1759,52,2,0,56923.0,2960000.0,F,20.0,Turkey
Benjamin Pavard,787505,Inter,2697,italy,2526,90,1,1,7.4,0,0,0,0.05,0.03,4,0,0.0,5,3,60.0,25,55,80,95.24,0,0.0,1,0,0,0,6,0,0,0,1,2,1,0,0,0,20260428,0,2,0,1,1,0,0.0,0,0,0,0,0,0,,2,66.67,0,0,0,4,2,1,0,0,2,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0,2,1,50.0,1,5,0,0,2,50.0,5,27,57,84,7.4,1,0,96,0,0,0,,,D,29.0,France
Nico Paz,1171451,Como,2704,italy,2526,2702,33,31,7.33,12,6,18,8.36,4.03,43,13,22.03,376,28,50.91,699,377,1076,82.58,28,56.0,22,0,0,2,128,11,3,34,9,11,33,0,0,44,20260428,33,196,0,3,49,1,10.17,0,27,21,6,7,5,,187,51.8,1,0,4,227,28,48,11,0,3,0,0,2,0,0.0,0,0,0,1,454,25,0,0,0,0,0,0,0,0,0,225.17,9.09,11,48,70,36,48,64,55.17,0,84,50,59.52,48,96,116,59,215,52.31,55,873,430,1303,242.0,118,9,1991,39,5,0,17885.0,930000.0,F,21.0,Argentina
Alisson Santos,1122835,Napoli,2714,italy,2526,566,10,5,7.32,3,0,3,1.01,0.62,1,6,20.0,73,3,50.0,117,44,161,81.73,1,33.33,2,0,0,0,21,1,0,4,1,2,10,0,0,15,20260428,5,40,0,0,1,0,13.64,0,6,6,0,0,3,,46,54.76,0,0,1,36,2,9,0,1,0,0,0,0,0,0.0,0,0,0,0,111,3,0,0,3,0,0,0,0,0,0,188.67,0.0,0,13,9,6,12,25,59.52,0,16,7,43.75,9,2,42,30,47,54.02,6,147,50,197,73.2,22,1,375,5,0,0,32115.0,1670000.0,F,23.0,Brazil
Marco Carnesecchi,865646,Atalanta,2686,italy,2526,3060,34,34,7.31,0,0,0,,0.05,40,0,0.0,37,226,39.24,133,574,707,66.57,12,100.0,0,0,0,0,247,0,0,0,12,32,34,0,0,0,20260428,0,1,0,0,1,0,0.0,218,32,27,5,0,0,6.31,5,83.33,0,18,0,355,0,0,0,0,0,0,0,0,1,0.0,3,0,2,0,362,0,14,0,0,18,73,27,101,0,25,0.0,0.0,0,0,0,0,0,1,100.0,17,1,0,0.0,0,74,1,0,17,94.44,576,424,638,1062,248.6,0,5,1377,5,0,0,28462.0,1480000.0,K,25.0,Italy
Adrien Rabiot,250737,Milan,2692,italy,2526,2190,25,24,7.28,6,4,10,3.75,2.58,34,13,25.49,289,38,61.29,597,396,993,85.6,40,59.7,27,0,0,0,128,6,2,11,13,39,25,0,0,30,20260428,16,123,0,1,31,0,16.22,0,17,17,0,4,2,,110,53.4,0,0,0,167,16,22,6,6,5,0,0,0,0,0.0,0,0,0,1,300,10,0,1,0,0,0,0,0,0,0,365.0,0.0,0,27,10,15,11,18,48.65,0,49,24,48.98,22,70,37,51,150,54.95,62,728,432,1160,182.0,37,3,1607,45,4,1,178077.0,9260000.0,M,30.0,France
Mario Gila,965828,Lazio,2699,italy,2526,2290,28,28,7.27,0,0,0,0.94,0.62,52,1,100.0,129,126,67.74,501,1031,1532,90.65,55,66.27,28,0,0,0,125,1,3,3,7,106,28,0,1,7,20260428,10,61,0,2,17,0,0.0,7,23,21,2,0,0,,70,67.96,0,0,2,158,23,5,0,0,14,0,0,0,2,0.0,0,0,0,0,178,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,10,1,5,3,6,85.71,0,44,30,68.18,5,95,7,1,125,67.2,186,600,1090,1690,203.5,11,6,1997,21,3,0,24615.0,1280000.0,D,25.0,Spain
