player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Jude Bellingham,991011,Real Madrid,2829,spain,2324,2324,28,27,8.05,19,6,25,11.12,4.31,59,4,19.05,481,50,83.33,897,454,1347,89.8,26,50.0,26,0,0,0,118.0,7,7,14,9,13,28,0,1,40,24,155,0,0,32,0,30.16,0.0,16,14,2,18,1,,162,55.67,3,0,1,153,21,48,7,4,,0,0,1,0,100.0,0,1,0,0,311,29,0,1,9,0,0,0,0,0,0,122.32,0.0,0,46,17,14,35,50,58.82,0,42,34,80.95,48,85,85,21,188,54.81,60,1046,475,1500,225.4,63,11,2056,72,5,0,400577.0,20830000.0,F,20.0,England
Thibaut Courtois,70988,Real Madrid,2829,spain,2324,333,4,4,8.0,0,0,0,,0.02,9,0,0.0,2,13,56.52,2,86,88,89.8,1,100.0,0,0,0,0,32.0,1,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0.0,18.0,0,0,0,0,0,3.3,2,100.0,0,2,0,10,0,1,0,0,,0,0,0,0,0.0,0,0,0,0,10,0,2,0,0,2,8,7,16,0,8,0.0,0.0,0,0,0,0,0,0,0.0,2,1,0,0.0,1,9,0,0,3,100.0,23,9,89,98,32.0,0,1,145,1,0,0,288462.0,15000000.0,K,31.0,Belgium
Dominik Greif,791046,Mallorca,2826,spain,2324,90,1,1,7.8,0,0,0,,0.01,0,0,0.0,4,11,57.89,10,11,21,72.41,0,0.0,0,0,0,0,6.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,9.0,0,0,0,0,0,0.66,0,0.0,0,0,0,8,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,2,2,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,19,18,11,29,7.8,0,0,36,0,0,0,5769.0,300000.0,K,26.0,Slovakia
Toni Kroos,26502,Real Madrid,2829,spain,2324,2135,33,24,7.63,1,8,9,1.62,5.93,228,36,30.51,576,231,85.87,1299,979,2242,94.68,8,66.67,4,0,0,0,144.0,9,0,10,5,6,33,0,0,6,35,64,0,1,17,0,2.86,0.0,19,17,2,0,1,,96,61.54,0,0,2,126,17,63,0,3,,0,1,0,0,0.0,0,0,0,0,231,15,0,0,1,0,0,0,0,0,0,2135.0,0.0,10,4,31,12,13,5,62.5,0,53,34,64.15,62,281,8,118,104,61.9,269,1480,1006,2368,251.7,35,6,2735,38,3,0,468846.0,24380000.0,M,34.0,Germany
Iago Aspas,19356,Celta Vigo,2821,spain,2324,2715,35,31,7.54,9,10,19,11.47,9.31,46,43,28.86,448,46,56.79,703,238,898,78.43,8,21.05,30,0,0,2,99.0,21,9,18,1,6,35,0,1,36,14,110,0,0,19,0,11.39,0.0,44,40,4,7,2,,98,55.06,0,0,2,247,10,91,8,12,,0,1,5,0,60.0,0,3,0,1,460,20,0,1,1,0,0,0,0,0,0,301.67,0.0,6,53,26,33,28,29,70.73,0,11,6,54.55,90,79,41,149,106,49.07,81,1012,282,1145,264.0,79,4,1672,59,6,0,56154.0,2920000.0,F,36.0,Spain
Isco,103417,Real Betis,2816,spain,2324,2338,29,28,7.52,8,5,13,8.3,6.36,75,43,28.29,487,71,71.72,876,318,1151,86.22,16,29.09,39,0,0,0,129.0,12,11,20,4,6,29,0,0,67,24,211,0,0,31,0,12.5,0.0,30,27,3,8,0,,196,53.26,0,0,3,184,10,81,2,3,,0,0,2,0,100.0,0,2,0,0,504,22,0,0,6,0,0,0,0,0,0,292.25,0.0,4,41,23,18,26,76,59.38,0,41,27,65.85,81,122,128,152,212,50.12,99,1144,343,1335,218.1,64,4,2076,79,10,0,120192.0,6250000.0,F,31.0,Spain
İlkay Gündoğan,45853,Barcelona,2817,spain,2324,2997,36,33,7.48,5,9,14,7.3,9.89,85,42,26.75,597,85,72.03,1273,884,2115,90.54,8,30.77,18,0,0,1,189.0,14,6,11,10,16,36,0,0,28,27,107,0,1,15,0,11.63,0.0,42,39,3,5,0,,106,54.36,0,0,1,221,20,97,2,6,,0,0,2,0,50.0,0,1,0,1,436,18,0,0,3,0,0,0,0,0,0,599.4,0.0,5,26,17,15,17,34,64.15,0,31,22,70.97,97,134,53,157,114,51.58,118,1556,937,2336,269.2,43,5,2856,42,5,0,360577.0,18750000.0,M,33.0,Germany
Aleix García,796047,Girona FC,24264,spain,2324,3201,37,36,7.48,3,6,9,1.78,6.04,179,58,30.21,612,218,74.15,1328,1229,2499,91.74,19,45.24,23,0,0,0,208.0,9,0,12,10,49,37,0,1,15,26,96,1,2,29,0,7.69,0.0,44,42,2,2,1,,98,57.31,0,0,1,225,36,59,0,1,,0,2,0,0,0.0,0,0,0,0,416,21,0,1,3,0,0,0,0,0,0,1067.0,0.0,8,6,33,15,12,15,71.43,0,49,28,57.14,57,254,21,192,117,54.93,294,1612,1304,2724,276.6,39,5,3306,36,4,0,23077.0,1200000.0,M,26.0,Spain
Ivan Rakitić,7635,Sevilla,2833,spain,2324,1425,18,16,7.46,2,1,3,1.28,4.09,87,42,32.06,257,90,60.4,498,303,759,81.26,13,50.0,13,0,0,0,117.0,3,0,11,2,11,18,0,0,5,8,51,0,0,16,0,6.25,0.0,23,20,3,1,1,,56,59.57,0,0,0,175,14,49,0,1,,0,0,0,0,0.0,0,0,0,0,320,20,0,0,2,0,0,0,0,0,0,712.5,0.0,3,6,26,13,8,8,47.06,0,30,16,53.33,49,152,17,131,69,57.5,149,728,337,934,134.3,32,4,1296,19,6,0,124038.0,6450000.0,M,35.0,Croatia
Antoine Griezmann,85859,Atlético Madrid,2836,spain,2324,2654,33,31,7.45,16,6,22,12.44,5.81,59,28,22.76,327,56,71.79,666,392,1030,82.66,14,34.15,27,0,0,0,100.0,10,11,23,6,21,33,0,0,26,26,108,1,0,16,0,20.25,0.0,33,26,7,16,0,,81,50.0,2,0,2,216,10,43,12,14,,0,0,4,0,100.0,0,4,0,0,404,15,0,0,2,0,0,0,0,0,0,165.88,0.0,3,56,23,22,34,22,59.46,0,33,19,57.58,43,98,37,123,95,46.8,78,926,443,1246,245.9,79,4,1736,26,5,0,240385.0,12500000.0,F,32.0,France
Frenkie de Jong,795222,Barcelona,2817,spain,2324,1637,20,20,7.45,2,0,2,0.7,4.88,57,10,40.0,399,46,67.65,901,635,1526,93.11,23,57.5,17,0,0,0,117.0,4,0,2,6,27,20,0,0,17,11,72,0,1,19,0,28.57,2.0,25,21,4,2,0,,78,58.65,0,0,1,113,14,22,0,1,,0,1,0,0,0.0,0,0,0,0,171,8,0,0,2,0,0,0,0,0,0,818.5,0.0,0,4,3,1,4,13,61.9,0,43,26,60.47,21,87,21,25,101,58.38,68,1002,662,1639,148.9,7,5,1895,22,7,0,346154.0,18000000.0,M,26.0,Netherlands
