player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Lamine Yamal,1402912,FC Barcelona,2817,spain,2526,2268,28,26,7.93,16,11,27,12.81,10.09,34,23,28.05,569,32,47.06,879,215,1094,81.1,0,0.0,5,0,1,0,99,26,7,32,6,3,28,0,0,40,20260428,11,194,0,0,28,0,13.68,0,23,22,1,14,2,,220,53.79,0,0,4,255,10,73,14,14,0.0,0,1,4,0,75.0,0,3,0,2,569,19,0,0,2,0,0,0,0,0,0,141.75,0.0,4,75,42,48,37,133,54.73,0,35,21,60.0,72,105,243,82,220,53.14,68,1109,240,1349,222.0,117,9,2138,52,1,0,320577.0,16670000.0,F,18.0,Spain
Pablo Cuñat,1085579,Levante UD,2849,spain,2526,180,2,2,7.75,0,0,0,,0.0,1,0,0.0,3,15,35.71,9,20,29,50.88,2,100.0,0,0,0,0,25,0,0,0,0,6,2,0,0,0,20260428,0,0,0,0,0,0,0.0,26,5,4,1,0,0,-0.26,0,0.0,0,2,0,28,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,28,0,5,0,0,0,6,4,11,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,2,100.0,42,36,21,57,15.5,0,1,90,0,0,0,15962.0,830000.0,K,23.0,Spain
Kylian Mbappé,826643,Real Madrid,2829,spain,2526,2403,28,27,7.63,24,4,28,23.0,6.1,37,6,23.08,480,31,81.58,667,128,795,86.7,7,70.0,3,0,0,1,41,8,18,32,7,0,28,0,0,37,20260428,8,122,0,0,13,0,18.18,0,24,19,5,19,5,,111,48.26,0,0,3,122,2,63,2,31,0.0,0,0,9,0,88.89,0,8,0,4,318,19,0,0,22,0,0,0,0,0,0,100.13,0.0,5,94,38,39,61,76,53.9,0,4,1,25.0,63,55,141,26,118,49.17,38,780,137,917,213.7,132,9,1420,31,4,0,600962.0,31250000.0,F,27.0,France
Pedri,992587,FC Barcelona,2817,spain,2526,1811,25,20,7.58,2,8,10,1.55,4.46,72,4,40.0,583,78,66.67,1112,485,1597,91.05,10,83.33,2,0,0,0,143,8,4,4,3,20,25,0,0,27,20260428,28,80,0,1,8,0,10.0,0,19,18,1,1,1,,122,61.0,0,0,0,157,21,56,1,1,2.0,0,1,0,0,0.0,0,0,0,0,240,16,0,1,1,0,0,0,0,0,0,905.5,0.0,0,10,10,6,10,35,70.0,0,48,29,60.42,55,119,50,10,132,62.26,117,1231,523,1754,189.6,20,7,2122,39,0,1,240385.0,12500000.0,M,23.0,Spain
Vinicius Júnior,868812,Real Madrid,2829,spain,2526,2484,32,28,7.48,13,5,18,12.47,4.77,40,9,16.07,511,34,68.0,743,115,858,83.79,0,0.0,6,0,0,1,81,6,13,23,3,1,32,0,0,40,20260428,11,185,0,1,30,0,14.13,0,28,22,6,11,2,,181,50.28,0,0,3,166,2,62,2,12,0.0,0,0,5,0,80.0,0,4,0,4,456,19,0,0,11,0,0,0,0,0,0,191.08,0.0,0,65,27,27,42,83,45.11,0,28,15,53.57,62,64,184,56,181,49.45,50,888,136,1024,239.2,92,8,1701,70,7,0,480769.0,25000000.0,F,25.0,Brazil
Matías Dituro,556884,Elche,2846,spain,2526,1530,17,17,7.46,0,0,0,,0.09,114,0,0.0,43,217,50.12,146,550,696,75.16,11,100.0,0,0,0,0,175,0,0,0,3,22,17,0,0,0,20260428,5,5,1,3,0,0,0.0,90,22,17,5,0,0,-0.02,6,54.55,0,20,0,230,1,3,0,0,0.0,0,1,0,0,0.0,4,0,0,0,235,0,9,0,0,21,32,18,51,0,16,0.0,0.0,0,0,0,0,0,0,0.0,17,0,0,0.0,2,180,0,0,17,77.27,433,336,590,926,126.9,0,1,1107,7,1,0,12115.0,630000.0,K,38.0,Argentina
Raphinha,831005,FC Barcelona,2817,spain,2526,1299,20,17,7.45,11,3,14,9.79,5.55,20,19,27.54,227,23,56.1,363,122,485,81.79,2,40.0,3,0,0,0,44,11,5,16,3,11,20,0,0,13,20260428,13,57,0,0,10,0,18.97,0,9,8,1,9,2,,42,43.75,1,0,5,108,4,41,8,2,0.0,0,2,3,0,100.0,0,3,0,1,227,11,0,0,2,0,0,0,0,0,0,118.09,0.0,3,33,25,23,19,20,51.28,0,13,5,38.46,39,39,39,69,44,43.56,41,464,129,593,149.0,58,4,905,9,4,0,320577.0,16670000.0,F,29.0,Brazil
Dani Cárdenas,965832,Rayo Vallecano,2818,spain,2526,270,3,3,7.43,0,0,0,,0.0,15,0,0.0,4,23,41.82,13,48,61,65.59,0,0.0,0,0,0,0,14,0,0,0,1,8,3,0,0,0,20260428,0,0,0,0,0,0,0.0,13,6,6,0,0,0,1.54,1,100.0,0,0,0,32,0,0,0,0,0.0,0,0,0,0,0.0,2,0,1,0,34,0,5,0,0,3,6,4,10,0,5,0.0,0.0,0,0,0,0,0,0,0.0,3,1,1,100.0,0,28,0,0,1,100.0,55,36,57,93,22.3,0,0,124,0,0,0,12115.0,630000.0,K,28.0,Spain
Joan García,930267,FC Barcelona,2817,spain,2526,2430,27,27,7.39,0,0,0,,0.01,40,0,0.0,4,81,51.27,25,679,704,89.8,7,100.0,0,0,0,0,257,0,0,0,14,38,27,0,0,1,20260428,0,1,1,0,0,0,0.0,98,19,18,1,0,0,10.15,10,90.91,0,18,0,80,2,0,0,0,0.0,0,0,0,0,0.0,2,0,0,0,84,0,6,0,0,49,59,9,69,1,10,0.0,0.0,0,0,0,0,0,1,100.0,49,5,3,60.0,0,56,1,0,17,94.44,158,79,705,784,199.4,0,1,1099,4,1,0,120192.0,6250000.0,K,24.0,Spain
Frenkie de Jong,795222,FC Barcelona,2817,spain,2526,1555,22,16,7.33,1,5,6,1.17,3.51,48,3,60.0,449,44,84.62,931,424,1355,94.23,8,50.0,8,0,0,0,84,9,0,2,5,13,22,0,0,12,20260428,10,42,0,0,10,0,14.29,0,17,16,1,1,0,,71,67.62,0,0,0,83,17,32,0,2,4.0,0,0,0,0,0.0,0,0,0,0,118,5,0,1,1,0,0,0,0,0,0,1555.0,0.0,0,6,1,3,2,5,71.43,0,41,16,39.02,32,64,7,5,79,65.29,52,988,450,1438,161.2,7,2,1621,25,4,1,365385.0,19000000.0,M,28.0,Netherlands
