player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Kevin De Bruyne,70996,Manchester City,17,england,2021,2001,25,23,7.77,6,12,18,,,48,39,26.71,500,64,72.73,828,244,1033,81.66,4,28.57,10,1,0,0,,19,8,28,8,8,25,0,0,33,35,122,0,0,27,0,7.5,,17,15,2,5,1,,113,50.22,0,0,4,232,9,81,1,1,,0,1,3,0,66.67,0,2,0,2,453,31,0,0,5,0,0,0,0,0,0,333.5,0.0,10,38,42,26,26,48,71.64,0,34,21,61.76,80,84,67,146,117,48.95,88,1142,269,1265,194.2,80,8,1814,31,1,0
Harry Kane,108579,Tottenham Hotspur,33,england,2021,3085,35,35,7.63,23,14,37,,,52,7,18.42,290,65,61.32,469,173,635,69.93,76,40.0,114,0,0,0,,14,13,28,11,39,35,0,0,54,18,257,0,0,26,0,16.79,,39,38,1,19,4,,133,48.19,4,0,9,273,11,51,3,13,,0,2,4,0,100.0,0,4,0,2,486,14,0,0,16,0,0,0,0,0,0,134.13,0.0,14,84,53,56,53,52,52.0,0,22,12,54.55,49,108,100,38,209,44.85,106,718,228,908,267.1,137,11,1561,60,1,0
Bruno Fernandes,288205,Manchester United,35,england,2021,3105,37,35,7.56,18,12,30,,,143,41,24.7,753,142,63.68,1221,472,1652,78.33,16,27.12,43,0,0,1,,20,8,37,9,27,37,0,0,37,74,217,0,0,43,0,14.88,,36,34,2,17,1,,131,42.95,1,0,3,457,26,97,1,3,,0,2,10,1,90.0,0,9,0,0,722,24,0,0,16,0,0,0,0,0,0,172.5,0.0,16,48,73,33,51,23,51.11,0,57,30,52.63,95,282,45,166,147,40.38,223,1721,554,2109,279.9,121,10,2847,52,6,0
Jack Grealish,189061,Aston Villa,40,england,2021,2184,26,24,7.54,6,10,16,,,31,17,22.37,494,30,58.82,675,172,830,83.33,26,48.15,28,0,0,0,,14,4,21,11,4,26,0,0,39,9,150,0,3,40,0,12.0,,28,22,6,4,2,,205,62.69,0,0,1,166,12,82,0,7,,0,1,0,0,0.0,0,0,0,2,372,25,0,0,6,0,0,0,0,0,0,364.0,0.0,2,37,13,10,19,65,64.36,0,31,14,45.16,81,57,101,76,231,60.63,51,877,195,996,196.1,50,5,1582,110,6,0
Gareth Bale,15354,Tottenham Hotspur,33,england,2021,923,20,10,7.48,11,2,13,,,25,11,27.5,104,30,61.22,191,88,268,73.22,23,65.71,12,0,0,0,,2,2,6,0,14,19,0,0,7,7,56,0,0,9,0,28.95,,12,11,1,10,1,,53,54.64,2,0,2,98,8,21,8,5,,0,0,0,0,0.0,0,0,0,0,178,4,0,0,1,0,0,0,0,0,0,83.91,0.0,7,22,16,13,19,27,55.1,0,17,10,58.82,21,44,49,40,76,57.58,49,286,120,366,142.1,38,4,611,9,1,0
James Rodríguez,107414,Everton,48,england,2021,1775,23,21,7.45,6,4,10,,,79,17,19.32,260,99,74.44,511,364,858,83.22,6,37.5,10,0,0,0,,11,0,9,1,1,23,0,0,38,35,112,0,0,17,0,16.22,,27,20,7,4,2,,102,50.0,0,0,0,173,15,41,3,6,,0,1,0,0,0.0,0,0,0,1,336,18,0,0,3,0,0,0,0,0,0,295.83,0.0,4,18,19,10,18,34,70.83,0,28,17,60.71,40,134,48,88,108,49.09,133,713,406,1031,171.4,37,4,1431,40,4,0
Mason Mount,836694,Chelsea,38,england,2021,2893,36,32,7.4,6,5,11,,,42,60,35.29,666,58,66.67,1108,424,1472,86.49,21,35.59,38,0,0,0,,13,3,23,9,12,36,0,0,41,44,209,0,0,50,0,7.32,,32,29,3,5,1,,162,48.65,0,0,3,230,31,87,2,4,,0,0,1,0,100.0,0,1,0,2,494,24,0,0,4,0,0,0,0,0,0,482.17,0.0,6,36,46,32,27,43,53.09,0,75,35,46.67,87,75,81,170,183,46.68,87,1404,468,1702,266.4,82,7,2454,44,2,0
İlkay Gündoğan,45853,Manchester City,17,england,2021,2034,28,23,7.36,13,2,15,,,41,9,30.0,524,45,65.22,1053,528,1572,91.72,12,48.0,13,1,0,0,,3,5,11,8,9,28,0,0,13,29,75,0,0,8,0,24.07,,16,15,1,11,2,,77,55.4,1,0,0,142,20,42,3,1,,0,0,2,0,50.0,0,1,0,1,225,17,0,0,9,0,0,0,0,0,0,156.46,0.0,4,35,19,21,22,27,69.23,0,25,15,60.0,42,68,39,30,89,54.27,69,1186,558,1714,206.2,54,5,2011,26,1,0
Riyad Mahrez,158213,Manchester City,17,england,2021,1954,27,23,7.35,9,6,15,,,30,18,22.22,426,23,71.88,699,207,888,88.45,15,51.72,14,0,0,0,,8,5,16,6,4,26,0,0,29,24,114,0,0,13,0,15.52,,22,20,2,7,2,,95,48.72,1,0,3,116,8,45,7,7,,0,1,0,0,0.0,0,0,0,0,296,21,0,0,1,0,0,0,0,0,0,217.11,0.0,3,39,19,20,22,45,55.56,0,20,5,25.0,44,48,81,81,110,49.11,32,855,230,1004,191.1,58,4,1424,30,0,0
Trent Alexander-Arnold,795064,Liverpool,44,england,2021,3033,36,34,7.29,2,7,9,,,183,67,22.56,587,151,45.76,1199,758,1890,79.38,8,25.81,23,0,0,0,,14,0,21,10,43,36,0,0,22,20,115,1,2,21,0,3.64,,40,36,4,1,1,,97,51.32,0,0,2,491,49,78,0,5,,0,1,0,1,0.0,0,0,0,0,859,23,0,0,2,0,0,0,0,0,0,1516.5,0.0,18,13,42,22,12,32,52.46,0,56,33,58.93,77,390,61,297,105,47.73,330,1821,857,2381,262.5,55,3,3416,9,2,0
