player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Pape Sy,1463509,Metz,1651,france,2526,167,2,2,7.85,0,0,0,,0.0,0,0,0.0,1,15,32.61,13,11,24,42.11,1,100.0,0,0,0,0,20,0,0,0,1,3,2,0,0,0,20260326,0,0,1,0,0,0,0.0,19,4,3,1,0,0,0.59,1,100.0,0,3,0,33,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,34,0,0,0,0,0,5,7,12,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,2,100.0,46,41,16,57,15.7,0,1,87,2,0,0
Lionel M'Pasi,599192,Le Havre,1662,france,2526,315,4,3,7.83,0,0,0,,0.0,4,0,0.0,4,31,40.26,21,82,103,69.13,2,100.0,0,0,0,0,37,0,0,0,1,5,4,0,0,0,20260326,0,0,0,0,0,0,0.0,37,2,2,0,0,0,2.34,0,0.0,0,3,0,46,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,46,0,3,0,0,2,8,7,15,0,5,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,7,0,0,2,100.0,77,61,88,149,31.3,0,0,195,1,2,0
Vitinha,902029,Paris Saint-Germain,1644,france,2526,1946,25,22,7.69,1,7,8,0.97,3.68,125,7,33.33,607,162,76.78,1433,948,2381,94.04,3,60.0,2,0,0,0,128,8,0,9,10,22,25,0,0,9,20260326,13,38,0,1,13,0,3.23,0,17,12,5,0,1,,53,59.55,0,0,0,151,25,34,0,0,5.0,0,0,0,0,0.0,0,0,0,0,204,16,0,0,1,0,0,0,0,0,0,1946.0,0,2,2,29,12,10,12,75.0,0,22,17,77.27,34,178,16,21,56,59.57,211,1554,978,2532,192.2,31,6,2769,19,2,0
Rémy Descamps,788180,Olympique Lyonnais,1649,france,2526,450,5,5,7.66,0,0,0,,0.0,8,0,0.0,1,16,34.04,4,96,100,74.07,0,0.0,0,0,0,0,35,0,0,0,4,3,5,0,0,0,20260326,1,1,0,0,0,0,0.0,15,3,3,0,0,0,2.79,1,50.0,0,3,0,35,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,37,0,2,0,0,2,10,4,14,0,5,0.0,0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,12,1,0,1,50.0,47,25,110,135,38.3,0,1,178,0,0,0
Dilane Bakwa,963298,RC Strasbourg,1659,france,2526,105,3,0,7.53,1,2,3,0.15,0.81,4,2,28.57,16,2,66.67,28,9,37,88.1,0,0.0,0,0,0,0,6,2,0,1,0,1,3,0,0,1,20260326,1,6,0,0,0,0,50.0,0,2,2,0,1,0,,10,62.5,0,0,0,5,1,3,1,0,0.0,0,0,0,0,0.0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,105.0,0,0,2,0,0,1,5,55.56,0,1,1,100.0,3,6,9,7,10,62.5,3,33,9,42,22.6,2,1,77,4,0,0
Ilan Kebbal,1049442,Paris FC,6070,france,2526,1966,23,23,7.5,8,4,12,5.63,4.77,48,18,19.35,343,67,71.28,654,431,1085,86.45,2,15.38,11,0,0,0,111,6,3,9,2,6,23,0,0,38,20260326,13,107,0,0,12,0,17.78,0,37,34,3,6,2,,114,54.29,0,0,0,170,7,46,7,3,0.0,0,0,3,0,100.0,0,3,0,1,366,21,0,0,1,0,0,0,0,0,0,245.75,0,0,28,17,18,18,29,46.03,0,31,17,54.84,46,79,63,93,116,52.02,94,787,468,1255,172.5,45,4,1709,55,5,0
Ousmane Dembélé,818244,Paris Saint-Germain,1644,france,2526,744,16,7,7.49,8,5,13,4.92,3.6,22,9,21.95,274,22,75.86,406,69,475,83.92,2,33.33,4,1,0,0,20,7,3,4,0,0,16,0,0,10,20260326,1,29,0,1,2,0,24.24,0,7,4,3,7,1,,24,48.98,1,0,0,91,0,33,3,5,0.0,0,0,3,0,66.67,0,2,0,0,154,7,0,0,4,0,0,0,0,0,0,93.0,0,1,21,12,15,14,17,58.62,0,5,2,40.0,33,29,29,41,26,47.27,29,490,76,566,119.9,33,4,709,2,0,0
Hervé Koffi,867299,Angers,1684,france,2526,2070,23,23,7.39,0,0,0,,0.01,55,0,0.0,11,106,35.45,42,442,484,70.66,7,87.5,1,0,0,0,233,0,0,0,9,24,23,0,0,0,20260326,0,2,1,3,1,0,0.0,141,26,24,2,0,0,10.32,9,90.0,0,33,0,201,0,0,0,0,0.0,0,0,0,1,0.0,5,0,2,0,209,0,9,0,0,8,59,28,88,0,23,0.0,0,0,0,0,0,0,0,0.0,8,1,1,100.0,0,93,0,0,16,88.89,299,176,509,685,169.9,0,4,970,9,1,0
Mason Greenwood,942116,Olympique de Marseille,1641,france,2526,2003,26,24,7.38,15,4,19,12.42,4.61,56,23,24.73,355,65,65.0,613,245,858,81.79,2,25.0,6,1,0,1,58,9,4,26,3,2,26,0,0,18,20260326,17,97,0,0,17,0,15.79,0,28,28,0,12,3,,78,46.15,0,0,3,191,3,47,5,0,1.0,0,2,7,0,71.43,0,5,0,1,380,11,0,0,10,0,0,0,0,0,0,133.53,0,5,56,39,31,38,45,52.94,0,11,10,90.91,45,101,85,93,80,45.2,100,770,279,1049,191.8,95,5,1496,22,4,0
Bradley Barcola,996952,Paris Saint-Germain,1644,france,2526,1328,22,15,7.34,10,1,11,9.05,3.75,10,4,21.05,247,11,91.67,369,88,457,84.16,6,46.15,7,0,0,0,44,9,13,12,4,6,22,0,0,18,20260326,11,93,0,0,16,0,17.86,0,11,10,1,7,3,,61,41.5,2,0,1,86,11,32,2,4,1.0,0,0,0,0,0.0,0,0,0,1,201,16,0,0,6,0,0,0,0,0,0,132.8,0,0,39,17,18,26,29,41.43,0,24,12,50.0,32,13,70,19,67,41.88,12,440,103,543,161.4,56,6,844,8,2,0
