player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Matheo Raab,842718,1. FC Union Berlin,2547,germany,2526,90,1,1,9.7,0,0,0,,0.0,0,0,0.0,1,11,42.31,9,8,17,53.13,1,50.0,1,0,0,0,11,0,0,0,1,2,1,0,0,0,20260326,0,1,0,0,0,0,0.0,10,0,0,0,0,0,1.71,0,0.0,0,1,0,15,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,17,0,2,0,0,1,4,2,6,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,50.0,26,24,8,32,9.7,0,1,46,0,0,0
Dan-Axel Zagadou,826205,VfB Stuttgart,2677,germany,2526,165,2,2,7.95,0,0,0,0.28,0.09,3,0,0.0,16,4,23.53,69,74,143,83.63,16,88.89,2,0,0,0,11,0,0,0,0,16,2,0,0,0,20260326,2,9,0,0,5,0,0.0,5,3,3,0,0,0,,7,50.0,0,0,0,28,3,1,0,0,3.0,0,0,0,0,0.0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,4,1,1,100.0,0,5,3,60.0,1,13,1,0,23,71.88,17,87,84,171,15.9,5,1,211,1,0,0
Harry Kane,108579,FC Bayern München,2672,germany,2526,2067,26,23,7.92,31,5,36,24.38,3.65,64,0,0.0,235,74,75.51,351,169,520,80.87,39,61.9,24,0,0,0,69,15,17,26,3,30,26,0,0,27,20260326,11,97,1,0,23,0,28.7,0,23,21,2,27,4,,78,51.66,3,0,4,123,7,36,5,19,4.0,0,0,10,1,100.0,0,10,0,2,228,13,0,0,23,0,0,0,0,0,0,66.68,0.0,3,87,21,21,61,29,64.44,0,17,12,70.59,36,95,45,10,117,54.67,98,455,188,643,205.9,108,11,1029,32,1,0
Michael Olise,978838,FC Bayern München,2672,germany,2526,1970,25,21,7.86,11,17,28,9.32,14.66,33,26,20.8,594,22,64.71,874,204,1078,84.82,7,36.84,12,0,0,0,88,25,10,25,7,7,25,0,0,27,20260326,26,157,0,1,27,0,13.25,0,22,20,2,10,1,,122,45.69,0,0,5,193,12,73,8,4,1.0,0,2,0,0,0.0,0,0,0,1,477,23,0,0,3,0,0,0,0,0,0,179.09,0.0,4,49,34,16,42,51,43.22,0,24,10,41.67,71,59,118,125,129,45.1,34,1039,232,1271,196.5,83,10,1940,47,5,0
Yan Diomande,2087085,RB Leipzig,36360,germany,2526,1872,26,21,7.73,10,6,16,5.5,7.28,12,6,19.35,320,22,81.48,492,214,706,85.47,4,14.81,23,0,0,0,111,11,4,11,3,9,26,0,0,42,20260326,14,153,0,1,12,0,23.81,0,25,25,0,8,2,,137,51.31,0,0,0,120,14,43,6,6,1.0,0,0,0,0,0.0,0,0,0,0,329,16,0,0,4,0,0,0,0,0,0,187.2,0.0,0,33,9,9,22,87,58.0,0,22,13,59.09,43,16,150,31,141,47.96,27,590,236,826,201.1,42,7,1359,28,2,0
Nico Schlotterbeck,940871,Borussia Dortmund,2673,germany,2526,1890,21,21,7.7,4,1,5,3.2,2.05,120,3,12.5,268,154,61.6,606,712,1318,87.87,46,63.89,26,0,0,0,106,1,2,11,8,98,21,0,0,10,20260326,6,66,0,0,20,0,13.33,60,23,22,1,4,0,,69,63.3,3,0,2,182,17,8,1,1,9.0,0,0,0,1,0.0,0,0,0,1,259,4,0,0,0,0,0,0,0,0,0,472.5,0.0,0,23,7,11,8,11,64.71,0,39,28,71.79,8,201,17,24,115,63.54,250,737,763,1500,161.6,30,8,1891,19,6,0
Joshua Kimmich,259117,FC Bayern München,2672,germany,2526,1816,23,19,7.64,2,6,8,2.26,7.98,115,24,25.26,555,127,69.78,1217,686,1903,91.8,6,35.29,11,0,0,0,95,14,1,6,7,13,23,0,0,12,20260326,17,52,0,4,7,0,9.52,0,19,18,1,2,0,,52,55.91,0,0,2,170,18,43,2,0,4.0,0,1,0,1,0.0,0,0,0,0,287,7,0,0,0,0,0,0,0,0,0,908.0,0.0,0,10,11,7,8,10,62.5,0,24,18,75.0,42,187,16,95,58,52.73,182,1361,712,2073,175.8,21,5,2407,18,4,0
Sven Ulreich,26768,FC Bayern München,2672,germany,2526,90,1,1,7.6,0,0,0,,0.0,0,0,0.0,0,5,20.0,3,15,18,47.37,0,0.0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,20260326,0,0,0,0,0,0,0.0,8,1,1,0,0,0,0.98,1,100.0,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,20,0,0,0,0,0,5,1,6,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,25,17,21,38,7.6,0,0,48,1,1,0
Karl Hein,991591,SV Werder Bremen,2534,germany,2526,180,2,2,7.6,0,0,0,,0.0,3,0,0.0,1,18,40.91,7,76,83,75.45,2,100.0,0,0,0,0,22,0,0,0,1,4,2,0,0,0,20260326,0,0,0,0,0,0,0.0,10,4,4,0,0,0,0.72,1,100.0,0,1,0,27,0,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,27,0,2,0,0,3,7,4,11,0,1,0.0,0.0,0,0,0,0,0,1,100.0,3,0,0,0.0,0,10,1,0,3,100.0,44,19,91,110,15.2,0,0,140,0,0,0
Mick Schmetgens,1568521,SV Werder Bremen,2534,germany,2526,36,2,0,7.5,0,0,0,,0.11,1,1,50.0,1,0,0.0,16,20,36,90.0,2,66.67,1,0,0,0,2,0,0,0,0,5,1,0,0,0,20260326,0,1,0,0,0,0,0.0,0,0,0,0,0,0,,1,100.0,0,0,0,4,1,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,2,0,2,3,75.0,2,20,20,40,7.5,0,0,52,0,0,0
