player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Karim Benzema,3306,Real Madrid,2829,spain,2122,2597,32,31,7.73,27,12,39,,,29,2,20.0,593,31,64.58,844,197,1039,85.16,18,37.5,30,1,0,3,,15,18,29,8,13,32,0,0,24,7,87,0,0,13,0,21.09,,23,20,3,27,0,,56,49.56,3,0,2,181,4,63,3,31,,0,1,11,0,63.64,0,7,0,0,276,16,0,0,20,0,0,0,0,0,0,96.19,0.0,3,104,24,40,59,36,70.59,0,11,9,81.82,62,41,51,10,74,45.96,48,1014,216,1220,247.2,128,10,1571,9,0,0
Kike Hermoso,990802,Real Betis,2816,spain,2122,90,1,1,7.7,1,0,1,,,1,0,0.0,0,2,33.33,3,47,50,83.33,6,75.0,2,0,0,0,,0,0,0,0,5,1,0,0,0,0,3,0,1,1,0,50.0,,1,1,0,1,0,,3,75.0,0,0,0,10,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,90.0,0.0,0,2,0,1,1,1,100.0,0,2,1,50.0,0,3,1,0,9,75.0,6,7,53,60,7.7,2,1,76,0,0,0
Ousmane Dembélé,818244,Barcelona,2817,spain,2122,1411,21,15,7.53,1,13,14,,,13,29,20.14,285,24,70.59,480,111,562,84.38,4,44.44,5,0,0,0,,13,4,9,2,2,21,0,0,28,16,89,0,0,11,0,2.17,,14,14,0,1,0,,100,54.35,0,0,2,104,8,46,1,4,,0,1,0,0,0.0,0,0,0,0,333,14,0,0,0,0,0,0,0,0,0,1411.0,0.0,1,25,21,29,8,59,65.56,0,24,16,66.67,45,26,90,144,104,53.89,34,681,129,666,158.1,46,6,1123,17,3,0
Toni Kroos,26502,Real Madrid,2829,spain,2122,2108,28,25,7.44,1,3,4,,,171,21,24.14,623,217,86.8,1239,821,2039,94.88,9,47.37,10,0,0,0,,6,1,11,7,11,28,0,0,11,22,70,0,1,20,0,2.17,,18,16,2,1,0,,81,57.45,0,0,0,110,12,51,0,0,,0,0,0,0,0.0,0,0,0,0,219,11,0,0,1,0,0,0,0,0,0,2108.0,0.0,4,9,37,23,12,9,52.94,0,34,26,76.47,51,216,17,87,90,56.25,250,1384,852,2149,208.4,46,5,2477,39,4,0
Dani Parejo,39182,Villarreal,2819,spain,2122,2708,33,32,7.41,2,10,12,,,118,52,36.36,537,139,69.85,1096,700,1744,87.64,17,48.57,18,0,0,0,,11,0,5,7,15,33,0,0,23,32,96,0,1,16,0,12.5,,32,29,3,2,0,,123,61.19,0,0,0,246,29,67,1,0,,0,1,1,0,100.0,0,1,0,0,408,18,0,0,1,0,0,0,0,0,0,1354.0,0.0,3,4,12,5,6,25,75.76,0,43,29,67.44,66,189,33,143,140,59.32,199,1373,760,1990,244.4,16,2,2473,56,3,0
Gerard Moreno,146866,Villarreal,2819,spain,2122,1194,17,14,7.41,9,3,12,,,26,4,33.33,135,30,69.77,221,83,300,69.44,18,50.0,18,0,0,1,,7,5,9,2,13,17,0,0,29,6,84,0,0,11,0,23.68,,14,10,4,8,1,,58,46.77,2,0,0,132,6,30,7,8,,0,0,2,0,50.0,0,1,0,1,227,7,0,0,0,0,0,0,0,0,0,132.67,0.0,0,27,11,12,17,39,63.93,0,5,2,40.0,30,39,61,12,76,47.5,43,339,105,432,125.9,38,5,690,14,2,0
Vinicius Júnior,868812,Real Madrid,2829,spain,2122,2699,35,30,7.35,17,10,27,,,45,10,22.73,629,42,80.77,890,176,1056,85.85,3,27.27,8,0,0,0,,13,11,18,8,0,34,0,0,59,35,246,0,0,34,0,21.25,,22,19,3,16,1,,215,47.46,2,0,0,174,6,68,5,26,,0,0,0,0,0.0,0,0,0,4,498,15,0,0,10,0,0,0,0,0,0,158.76,0.0,0,64,16,19,43,95,45.45,0,46,24,52.17,68,57,209,44,218,46.98,52,1076,198,1230,249.9,80,8,1966,74,6,0
Casemiro,122951,Real Madrid,2829,spain,2122,2575,32,31,7.34,1,3,4,,,151,4,23.53,381,175,76.09,852,840,1688,86.03,101,66.45,51,0,0,0,,7,3,13,8,59,32,0,0,14,37,160,1,2,54,0,2.44,,23,22,1,1,0,,136,55.51,1,0,1,274,38,27,0,4,,0,1,0,0,0.0,0,0,0,1,349,16,0,0,0,0,0,0,0,0,0,2575.0,0.0,1,13,28,19,9,19,70.37,0,79,50,63.29,26,216,27,17,237,59.7,230,1041,938,1962,235.0,41,5,2447,38,11,0
Iago Aspas,19356,Celta Vigo,2821,spain,2122,3093,37,36,7.34,18,6,24,,,31,16,14.81,401,48,64.0,696,254,934,75.51,22,40.0,33,0,0,2,,8,10,25,6,18,37,0,0,32,20,133,0,0,22,0,20.0,,39,36,3,15,3,,115,53.49,0,0,1,303,11,57,14,20,,0,0,5,1,60.0,0,3,0,0,535,36,0,0,4,0,0,0,0,0,0,171.83,0.0,7,61,29,24,41,51,61.45,0,14,7,50.0,57,60,83,108,137,50.74,75,1054,291,1237,271.7,90,6,1832,50,8,0
Iker Muniain,71707,Athletic Club,2825,spain,2122,2802,35,34,7.32,4,10,14,,,40,53,30.64,580,52,71.23,926,291,1164,84.78,5,35.71,9,0,0,2,,15,8,10,6,3,35,0,0,56,28,146,0,1,15,1,9.76,,27,25,2,3,1,,178,56.51,0,0,0,209,17,107,0,5,,0,0,3,0,33.33,0,1,0,2,514,28,0,0,4,0,0,0,0,0,0,700.5,16.67,6,24,17,10,21,65,62.5,0,32,10,31.25,107,81,104,173,183,55.62,73,1228,318,1373,256.1,41,5,2069,81,3,0
