,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Erling Haaland,"€ 608,197","€ 31,626,269","€ 31,626,269",F,24,Norway,Manchester City,england,2425
Mohamed Salah,"€ 463,389","€ 24,096,205","€ 24,096,205",F,32,Egypt,Liverpool,england,2425
Kevin De Bruyne,"€ 463,389","€ 24,096,205","€ 24,096,205",F,33,Belgium,Manchester City,england,2425
Virgil van Dijk,"€ 405,465","€ 21,084,179","€ 21,084,179",D,33,Netherlands,Liverpool,england,2425
Casemiro,"€ 405,465","€ 21,084,179","€ 21,084,179",M,32,Brazil,Manchester United,england,2425
Bernardo Silva,"€ 347,541","€ 18,072,154","€ 18,072,154",F,30,Portugal,Manchester City,england,2425
Bruno Fernandes,"€ 347,541","€ 18,072,154","€ 18,072,154",F,30,Portugal,Manchester United,england,2425
Jack Grealish,"€ 347,541","€ 18,072,154","€ 18,072,154",F,29,England,Manchester City,england,2425
Omar Marmoush,"€ 341,749","€ 17,770,951","€ 17,770,951",F,25,Egypt,Manchester City,england,2425
Kai Havertz,"€ 324,372","€ 16,867,343","€ 16,867,343",F,25,Germany,Arsenal,england,2425
Gabriel Jesus,"€ 306,995","€ 15,963,736","€ 15,963,736",F,27,Brazil,Arsenal,england,2425
John Stones,"€ 289,618","€ 15,060,128","€ 15,060,128",D,30,England,Manchester City,england,2425
Reece James,"€ 289,618","€ 15,060,128","€ 15,060,128",D,25,England,Chelsea,england,2425
Martin Ødegaard,"€ 278,033","€ 14,457,723","€ 14,457,723",F,26,Norway,Arsenal,england,2425
Declan Rice,"€ 278,033","€ 14,457,723","€ 14,457,723",M,26,England,Arsenal,england,2425
İlkay Gündoğan,"€ 266,448","€ 13,855,318","€ 13,855,318",M,34,Germany,Manchester City,england,2425
Phil Foden,"€ 260,656","€ 13,554,115","€ 13,554,115",F,24,England,Manchester City,england,2425
Marcus Rashford,"€ 260,656","€ 13,554,115","€ 13,554,115",F,27,England,Aston Villa,england,2425
Rodri,"€ 254,864","€ 13,252,913","€ 13,252,913",M,28,Spain,Manchester City,england,2425
Raheem Sterling,"€ 249,071","€ 12,951,710","€ 12,951,710",F,29,England,Chelsea,england,2425
Mason Mount,"€ 231,694","€ 12,048,102","€ 12,048,102",F,26,England,Manchester United,england,2425
Thomas Partey,"€ 231,694","€ 12,048,102","€ 12,048,102",M,31,Ghana,Arsenal,england,2425
Josko Gvardiol,"€ 231,694","€ 12,048,102","€ 12,048,102",D,23,Croatia,Manchester City,england,2425
Wesley Fofana,"€ 231,694","€ 12,048,102","€ 12,048,102",D,24,France,Chelsea,england,2425
Matthijs de Ligt,"€ 225,902","€ 11,746,900","€ 11,746,900",D,25,Netherlands,Manchester United,england,2425
Bukayo Saka,"€ 225,902","€ 11,746,900","€ 11,746,900",F,23,England,Arsenal,england,2425
Christopher Nkunku,"€ 225,902","€ 11,746,900","€ 11,746,900",F,27,France,Chelsea,england,2425
Heung-min Son,"€ 220,110","€ 11,445,697","€ 11,445,697",F,32,South Korea,Tottenham,england,2425
William Saliba,"€ 220,110","€ 11,445,697","€ 11,445,697",D,23,France,Arsenal,england,2425
Harry Maguire,"€ 220,110","€ 11,445,697","€ 11,445,697",D,31,England,Manchester United,england,2425
Trent Alexander-Arnold,"€ 208,525","€ 10,843,292","€ 10,843,292",D,26,England,Liverpool,england,2425
Gabriel Martinelli,"€ 208,525","€ 10,843,292","€ 10,843,292",F,23,Brazil,Arsenal,england,2425
Manuel Akanji,"€ 208,525","€ 10,843,292","€ 10,843,292",D,29,Switzerland,Manchester City,england,2425
Rúben Dias,"€ 208,525","€ 10,843,292","€ 10,843,292",D,27,Portugal,Manchester City,england,2425
Enzo Fernández,"€ 208,525","€ 10,843,292","€ 10,843,292",M,24,Argentina,Chelsea,england,2425
Marc Cucurella,"€ 202,733","€ 10,542,090","€ 10,542,090",D,26,Spain,Chelsea,england,2425
James Maddison,"€ 196,940","€ 10,240,887","€ 10,240,887",F,28,England,Tottenham,england,2425
Cristian Romero,"€ 191,148","€ 9,939,685","€ 9,939,685",D,26,Argentina,Tottenham,england,2425
Timo Werner,"€ 191,148","€ 9,939,685","€ 9,939,685",F,28,Germany,Tottenham,england,2425
Bruno Guimarães,"€ 185,355","€ 9,638,482","€ 9,638,482",M,27,Brazil,Newcastle,england,2425
Nathan Aké,"€ 185,355","€ 9,638,482","€ 9,638,482",D,29,Netherlands,Manchester City,england,2425
Andrew Robertson,"€ 185,355","€ 9,638,482","€ 9,638,482",D,30,Scotland,Liverpool,england,2425
Pedro Neto,"€ 185,355","€ 9,638,482","€ 9,638,482",F,24,Portugal,Chelsea,england,2425
Luke Shaw,"€ 173,771","€ 9,036,077","€ 9,036,077",D,29,England,Manchester United,england,2425
Jarrod Bowen,"€ 173,771","€ 9,036,077","€ 9,036,077",F,28,England,West Ham,england,2425
Ben White,"€ 173,771","€ 9,036,077","€ 9,036,077",D,27,England,Arsenal,england,2425
Lucas Paquetá,"€ 173,771","€ 9,036,077","€ 9,036,077",F,27,Brazil,West Ham,england,2425
Lloyd Kelly,"€ 173,771","€ 9,036,077","€ 9,036,077",D,25,England,Newcastle,england,2425
Joelinton,"€ 173,771","€ 9,036,077","€ 9,036,077",M,28,Brazil,Newcastle,england,2425
Ryan Gravenberch,"€ 173,771","€ 9,036,077","€ 9,036,077",M,22,Netherlands,Liverpool,england,2425
Oleksandr Zinchenko,"€ 173,771","€ 9,036,077","€ 9,036,077",D,28,Ukraine,Arsenal,england,2425
Moisés Caicedo,"€ 173,771","€ 9,036,077","€ 9,036,077",M,23,Ecuador,Chelsea,england,2425
Alisson,"€ 173,771","€ 9,036,077","€ 9,036,077",K,32,Brazil,Liverpool,england,2425
Emiliano Martínez,"€ 173,771","€ 9,036,077","€ 9,036,077",K,32,Argentina,Aston Villa,england,2425
Alexis Mac Allister,"€ 173,771","€ 9,036,077","€ 9,036,077",M,26,Argentina,Liverpool,england,2425
Anthony Gordon,"€ 173,771","€ 9,036,077","€ 9,036,077",F,23,England,Newcastle,england,2425
Federico Chiesa,"€ 173,771","€ 9,036,077","€ 9,036,077",F,27,Italy,Liverpool,england,2425
Mateo Kovacic,"€ 173,771","€ 9,036,077","€ 9,036,077",M,30,Croatia,Manchester City,england,2425
Jadon Sancho,"€ 173,771","€ 9,036,077","€ 9,036,077",F,24,England,Manchester United,england,2425
Christian Eriksen,"€ 173,771","€ 9,036,077","€ 9,036,077",M,32,Denmark,Manchester United,england,2425
Kalvin Phillips,"€ 173,771","€ 9,036,077","€ 9,036,077",M,29,England,Ipswich Town,england,2425
Youri Tielemans,"€ 173,771","€ 9,036,077","€ 9,036,077",M,27,Belgium,Aston Villa,england,2425
Diogo Jota,"€ 162,186","€ 8,433,672","€ 8,433,672",F,28,Portugal,Liverpool,england,2425
Dominic Solanke,"€ 162,186","€ 8,433,672","€ 8,433,672",F,27,England,Tottenham,england,2425
Donyell Malen,"€ 162,186","€ 8,433,672","€ 8,433,672",F,26,Netherlands,Aston Villa,england,2425
Darwin Núñez,"€ 162,186","€ 8,433,672","€ 8,433,672",F,25,Uruguay,Liverpool,england,2425
Amadou Onana,"€ 162,186","€ 8,433,672","€ 8,433,672",M,23,Belgium,Aston Villa,england,2425
Jamie Vardy,"€ 162,186","€ 8,433,672","€ 8,433,672",F,38,England,Leicester,england,2425
Noussair Mazraoui,"€ 156,394","€ 8,132,469","€ 8,132,469",D,27,Morocco,Manchester United,england,2425
Bernd Leno,"€ 150,601","€ 7,831,267","€ 7,831,267",K,32,Germany,Fulham,england,2425
Ollie Watkins,"€ 150,601","€ 7,831,267","€ 7,831,267",F,29,England,Aston Villa,england,2425
Cole Palmer,"€ 150,601","€ 7,831,267","€ 7,831,267",F,22,England,Chelsea,england,2425
Abdoulaye Doucouré,"€ 150,601","€ 7,831,267","€ 7,831,267",M,32,Mali,Everton,england,2425
Mikel Merino,"€ 150,601","€ 7,831,267","€ 7,831,267",M,28,Spain,Arsenal,england,2425
Matheus Nunes,"€ 150,601","€ 7,831,267","€ 7,831,267",M,26,Portugal,Manchester City,england,2425
Jordan Pickford,"€ 144,809","€ 7,530,064","€ 7,530,064",K,30,England,Everton,england,2425
Danny Ings,"€ 144,809","€ 7,530,064","€ 7,530,064",F,32,England,West Ham,england,2425
Victor Lindelöf,"€ 139,017","€ 7,228,861","€ 7,228,861",D,30,Sweden,Manchester United,england,2425
Tosin Adarabioyo,"€ 139,017","€ 7,228,861","€ 7,228,861",D,27,England,Chelsea,england,2425
Cody Gakpo,"€ 139,017","€ 7,228,861","€ 7,228,861",F,25,Netherlands,Liverpool,england,2425
Riccardo Calafiori,"€ 139,017","€ 7,228,861","€ 7,228,861",D,22,Italy,Arsenal,england,2425
Boubacar Kamara,"€ 139,017","€ 7,228,861","€ 7,228,861",M,25,France,Aston Villa,england,2425
John McGinn,"€ 139,017","€ 7,228,861","€ 7,228,861",M,30,Scotland,Aston Villa,england,2425
Leon Bailey,"€ 139,017","€ 7,228,861","€ 7,228,861",F,27,Jamaica,Aston Villa,england,2425
Lucas Digne,"€ 139,017","€ 7,228,861","€ 7,228,861",D,31,France,Aston Villa,england,2425
Dominik Szoboszlai,"€ 139,017","€ 7,228,861","€ 7,228,861",M,24,Hungary,Liverpool,england,2425
Amad Diallo,"€ 139,017","€ 7,228,861","€ 7,228,861",F,22,Cote d'Ivoire,Manchester United,england,2425
André Onana,"€ 139,017","€ 7,228,861","€ 7,228,861",K,28,Cameroon,Manchester United,england,2425
Alphonse Areola,"€ 139,017","€ 7,228,861","€ 7,228,861",K,31,France,West Ham,england,2425
Lisandro Martínez,"€ 139,017","€ 7,228,861","€ 7,228,861",D,27,Argentina,Manchester United,england,2425
Manuel Ugarte,"€ 139,017","€ 7,228,861","€ 7,228,861",M,23,Uruguay,Manchester United,england,2425
Alexander Isak,"€ 139,017","€ 7,228,861","€ 7,228,861",F,25,Sweden,Newcastle,england,2425
Idrissa Gueye,"€ 139,017","€ 7,228,861","€ 7,228,861",M,35,Senegal,Everton,england,2425
Aaron Ramsdale,"€ 139,017","€ 7,228,861","€ 7,228,861",K,26,England,Southampton,england,2425
Kieran Trippier,"€ 139,017","€ 7,228,861","€ 7,228,861",D,34,England,Newcastle,england,2425
Sandro Tonali,"€ 139,017","€ 7,228,861","€ 7,228,861",M,24,Italy,Newcastle,england,2425
Marco Asensio,"€ 134,962","€ 7,018,020","€ 7,018,020",F,29,Spain,Aston Villa,england,2425
James Ward-Prowse,"€ 133,224","€ 6,927,659","€ 6,927,659",M,29,England,Nottingham Forest,england,2425
Leny Yoro,"€ 133,224","€ 6,927,659","€ 6,927,659",D,19,France,Manchester United,england,2425
James Ward-Prowse,"€ 133,224","€ 6,927,659","€ 6,927,659",M,30,England,West Ham,england,2425
Dejan Kulusevski,"€ 127,432","€ 6,626,456","€ 6,626,456",F,24,Sweden,Tottenham,england,2425
Jorginho,"€ 127,432","€ 6,626,456","€ 6,626,456",M,33,Italy,Arsenal,england,2425
Raheem Sterling,"€ 127,432","€ 6,626,456","€ 6,626,456",F,30,England,Arsenal,england,2425
Kieran Tierney,"€ 127,432","€ 6,626,456","€ 6,626,456",D,27,Scotland,Arsenal,england,2425
Nikola Milenković,"€ 121,640","€ 6,325,254","€ 6,325,254",D,27,Serbia,Nottingham Forest,england,2425
Daichi Kamada,"€ 121,640","€ 6,325,254","€ 6,325,254",F,28,Japan,Crystal Palace,england,2425
Joshua Zirkzee,"€ 121,640","€ 6,325,254","€ 6,325,254",F,23,Netherlands,Manchester United,england,2425
Ben Chilwell,"€ 115,847","€ 6,024,051","€ 6,024,051",D,28,England,Chelsea,england,2425
Ederson,"€ 115,847","€ 6,024,051","€ 6,024,051",K,31,Brazil,Manchester City,england,2425
Jadon Sancho,"€ 115,847","€ 6,024,051","€ 6,024,051",F,24,England,Chelsea,england,2425
Ben Chilwell,"€ 115,847","€ 6,024,051","€ 6,024,051",D,28,England,Crystal Palace,england,2425
Matt Targett,"€ 115,847","€ 6,024,051","€ 6,024,051",D,29,England,Newcastle,england,2425
Dean Henderson,"€ 115,847","€ 6,024,051","€ 6,024,051",K,27,England,Crystal Palace,england,2425
Mykhailo Mudryk,"€ 115,847","€ 6,024,051","€ 6,024,051",F,24,Ukraine,Chelsea,england,2425
Pau Torres,"€ 115,847","€ 6,024,051","€ 6,024,051",D,28,Spain,Aston Villa,england,2425
Dominic Calvert-Lewin,"€ 115,847","€ 6,024,051","€ 6,024,051",F,27,England,Everton,england,2425
Takehiro Tomiyasu,"€ 115,847","€ 6,024,051","€ 6,024,051",D,26,Japan,Arsenal,england,2425
James Tarkowski,"€ 115,847","€ 6,024,051","€ 6,024,051",D,32,England,Everton,england,2425
Diego Carlos,"€ 115,847","€ 6,024,051","€ 6,024,051",D,31,Brazil,Aston Villa,england,2425
Levi Colwill,"€ 115,847","€ 6,024,051","€ 6,024,051",D,21,England,Chelsea,england,2425
Gabriel Magalhães,"€ 115,847","€ 6,024,051","€ 6,024,051",D,27,Brazil,Arsenal,england,2425
Raúl Jiménez,"€ 115,847","€ 6,024,051","€ 6,024,051",F,34,Mexico,Fulham,england,2425
João Gomes,"€ 115,847","€ 6,024,051","€ 6,024,051",M,24,Brazil,Wolverhampton,england,2425
Reiss Nelson,"€ 115,847","€ 6,024,051","€ 6,024,051",F,25,England,Fulham,england,2425
David Raya,"€ 115,847","€ 6,024,051","€ 6,024,051",K,29,Spain,Arsenal,england,2425
Edson Álvarez,"€ 115,847","€ 6,024,051","€ 6,024,051",M,27,Mexico,West Ham,england,2425
Nicolas Jackson,"€ 115,847","€ 6,024,051","€ 6,024,051",F,23,Senegal,Chelsea,england,2425
Eberechi Eze,"€ 115,847","€ 6,024,051","€ 6,024,051",F,26,England,Crystal Palace,england,2425
Max Kilman,"€ 115,847","€ 6,024,051","€ 6,024,051",D,27,England,West Ham,england,2425
Tyrone Mings,"€ 115,847","€ 6,024,051","€ 6,024,051",D,31,England,Aston Villa,england,2425
Ian Maatsen,"€ 115,847","€ 6,024,051","€ 6,024,051",D,22,Netherlands,Aston Villa,england,2425
Emerson,"€ 110,055","€ 5,722,849","€ 5,722,849",D,30,Italy,West Ham,england,2425
Odsonne Edouard,"€ 104,262","€ 5,421,646","€ 5,421,646",F,27,France,Leicester,england,2425
Harry Winks,"€ 104,262","€ 5,421,646","€ 5,421,646",M,29,England,Leicester,england,2425
Mohammed Kudus,"€ 104,262","€ 5,421,646","€ 5,421,646",F,24,Ghana,West Ham,england,2425
Niclas Füllkrug,"€ 104,262","€ 5,421,646","€ 5,421,646",F,31,Germany,West Ham,england,2425
Tomas Soucek,"€ 104,262","€ 5,421,646","€ 5,421,646",M,29,Czech Republic,West Ham,england,2425
Jurrien Timber,"€ 104,262","€ 5,421,646","€ 5,421,646",D,23,Netherlands,Arsenal,england,2425
Aaron Wan-Bissaka,"€ 104,262","€ 5,421,646","€ 5,421,646",D,27,England,West Ham,england,2425
Richarlison,"€ 104,262","€ 5,421,646","€ 5,421,646",F,27,Brazil,Tottenham,england,2425
Gonçalo Guedes,"€ 104,262","€ 5,421,646","€ 5,421,646",F,28,Portugal,Wolverhampton,england,2425
Brennan Johnson,"€ 104,262","€ 5,421,646","€ 5,421,646",F,23,Wales,Tottenham,england,2425
Joachim Andersen,"€ 104,262","€ 5,421,646","€ 5,421,646",D,28,Denmark,Fulham,england,2425
Matheus Cunha,"€ 104,262","€ 5,421,646","€ 5,421,646",F,25,Brazil,Wolverhampton,england,2425
Pablo Sarabia,"€ 104,262","€ 5,421,646","€ 5,421,646",F,32,Spain,Wolverhampton,england,2425
Jack Harrison,"€ 104,262","€ 5,421,646","€ 5,421,646",F,28,England,Everton,england,2425
Chris Wood,"€ 104,262","€ 5,421,646","€ 5,421,646",F,33,New Zealand,Nottingham Forest,england,2425
Benoît Badiashile,"€ 104,262","€ 5,421,646","€ 5,421,646",D,23,France,Chelsea,england,2425
Sven Botman,"€ 104,262","€ 5,421,646","€ 5,421,646",D,25,Netherlands,Newcastle,england,2425
Eddie Nketiah,"€ 104,262","€ 5,421,646","€ 5,421,646",F,25,England,Crystal Palace,england,2425
Stefan Ortega Moreno,"€ 104,262","€ 5,421,646","€ 5,421,646",K,32,Germany,Manchester City,england,2425
Leandro Trossard,"€ 104,262","€ 5,421,646","€ 5,421,646",F,30,Belgium,Arsenal,england,2425
Ferdi Kadıoğlu,"€ 101,366","€ 5,271,045","€ 5,271,045",D,25,Turkey,Brighton,england,2425
Radu Drăgușin,"€ 98,470","€ 5,120,444","€ 5,120,444",D,23,Romania,Tottenham,england,2425
Diogo Dalot,"€ 98,470","€ 5,120,444","€ 5,120,444",D,25,Portugal,Manchester United,england,2425
Joe Gomez,"€ 98,470","€ 5,120,444","€ 5,120,444",D,27,England,Liverpool,england,2425
Michail Antonio,"€ 98,470","€ 5,120,444","€ 5,120,444",F,34,Jamaica,West Ham,england,2425
Pedro Porro,"€ 98,470","€ 5,120,444","€ 5,120,444",D,25,Spain,Tottenham,england,2425
Emmanuel Agbadou,"€ 98,470","€ 5,120,444","€ 5,120,444",D,27,Cote d'Ivoire,Wolverhampton,england,2425
Evanilson,"€ 98,470","€ 5,120,444","€ 5,120,444",F,25,Brazil,Bournemouth,england,2425
Rasmus Højlund,"€ 98,470","€ 5,120,444","€ 5,120,444",F,22,Denmark,Manchester United,england,2425
Joe Willock,"€ 92,678","€ 4,819,241","€ 4,819,241",M,25,England,Newcastle,england,2425
Micky van de Ven,"€ 92,678","€ 4,819,241","€ 4,819,241",D,23,Netherlands,Tottenham,england,2425
Mathys Tel,"€ 92,678","€ 4,819,241","€ 4,819,241",F,19,France,Tottenham,england,2425
Alex Iwobi,"€ 92,678","€ 4,819,241","€ 4,819,241",F,28,Nigeria,Fulham,england,2425
Callum Hudson-Odoi,"€ 92,678","€ 4,819,241","€ 4,819,241",F,24,England,Nottingham Forest,england,2425
Morgan Gibbs-White,"€ 92,678","€ 4,819,241","€ 4,819,241",F,25,England,Nottingham Forest,england,2425
Kaoru Mitoma,"€ 92,678","€ 4,819,241","€ 4,819,241",F,27,Japan,Brighton,england,2425
Lewis Dunk,"€ 92,678","€ 4,819,241","€ 4,819,241",D,33,England,Brighton,england,2425
Boubakary Soumaré,"€ 92,678","€ 4,819,241","€ 4,819,241",M,25,France,Leicester,england,2425
Ricardo Pereira,"€ 92,678","€ 4,819,241","€ 4,819,241",D,31,Portugal,Leicester,england,2425
Michael Keane,"€ 92,678","€ 4,819,241","€ 4,819,241",D,32,England,Everton,england,2425
Nélson Semedo,"€ 92,678","€ 4,819,241","€ 4,819,241",D,31,Portugal,Wolverhampton,england,2425
Ben Davies,"€ 92,678","€ 4,819,241","€ 4,819,241",D,32,Wales,Tottenham,england,2425
Toti Gomes,"€ 92,678","€ 4,819,241","€ 4,819,241",D,26,Portugal,Wolverhampton,england,2425
Kiernan Dewsbury-Hall,"€ 92,678","€ 4,819,241","€ 4,819,241",M,26,England,Chelsea,england,2425
Justin Kluivert,"€ 92,678","€ 4,819,241","€ 4,819,241",F,25,Netherlands,Bournemouth,england,2425
Carlos Soler,"€ 92,678","€ 4,819,241","€ 4,819,241",M,28,Spain,West Ham,england,2425
Harvey Barnes,"€ 92,678","€ 4,819,241","€ 4,819,241",F,27,England,Newcastle,england,2425
Matty Cash,"€ 92,678","€ 4,819,241","€ 4,819,241",D,27,Poland,Aston Villa,england,2425
Wilfred Ndidi,"€ 86,885","€ 4,518,038","€ 4,518,038",M,28,Nigeria,Leicester,england,2425
Destiny Udogie,"€ 86,885","€ 4,518,038","€ 4,518,038",D,22,Italy,Tottenham,england,2425
Jhon Durán,"€ 86,885","€ 4,518,038","€ 4,518,038",F,20,Colombia,Aston Villa,england,2425
Georginio Rutter,"€ 86,885","€ 4,518,038","€ 4,518,038",F,22,France,Brighton,england,2425
Murillo,"€ 86,885","€ 4,518,038","€ 4,518,038",D,22,Brazil,Nottingham Forest,england,2425
Marcus Rashford,"€ 86,885","€ 4,518,038","€ 4,518,038",F,27,England,Manchester United,england,2425
Archie Gray,"€ 86,885","€ 4,518,038","€ 4,518,038",D,18,England,Tottenham,england,2425
Conor Coady,"€ 86,885","€ 4,518,038","€ 4,518,038",D,31,England,Leicester,england,2425
Ben Godfrey,"€ 86,885","€ 4,518,038","€ 4,518,038",D,27,England,Ipswich Town,england,2425
Rodrigo Bentancur,"€ 86,885","€ 4,518,038","€ 4,518,038",M,27,Uruguay,Tottenham,england,2425
Ezri Konsa,"€ 86,885","€ 4,518,038","€ 4,518,038",D,27,England,Aston Villa,england,2425
Guido Rodríguez,"€ 86,885","€ 4,518,038","€ 4,518,038",M,30,Argentina,West Ham,england,2425
Morgan Rogers,"€ 86,885","€ 4,518,038","€ 4,518,038",F,22,England,Aston Villa,england,2425
Conor Bradley,"€ 86,885","€ 4,518,038","€ 4,518,038",D,21,Northern Ireland,Liverpool,england,2425
Ibrahim Sangaré,"€ 86,885","€ 4,518,038","€ 4,518,038",M,27,Cote d'Ivoire,Nottingham Forest,england,2425
Patson Daka,"€ 86,885","€ 4,518,038","€ 4,518,038",F,26,Zambia,Leicester,england,2425
Kepa Arrizabalaga,"€ 86,885","€ 4,518,038","€ 4,518,038",K,29,Spain,Chelsea,england,2425
Konstantinos Tsimikas,"€ 86,885","€ 4,518,038","€ 4,518,038",D,28,Greece,Liverpool,england,2425
Kepa Arrizabalaga,"€ 86,885","€ 4,518,038","€ 4,518,038",K,30,Spain,Bournemouth,england,2425
Guglielmo Vicario,"€ 86,885","€ 4,518,038","€ 4,518,038",K,28,Italy,Tottenham,england,2425
Fraser Forster,"€ 86,885","€ 4,518,038","€ 4,518,038",K,36,England,Tottenham,england,2425
Jean-Ricner Bellegarde,"€ 86,885","€ 4,518,038","€ 4,518,038",M,26,France,Wolverhampton,england,2425
Ismaïla Sarr,"€ 81,093","€ 4,216,836","€ 4,216,836",F,26,Senegal,Crystal Palace,england,2425
Fabian Schär,"€ 81,093","€ 4,216,836","€ 4,216,836",D,33,Switzerland,Newcastle,england,2425
Jacob Ramsey,"€ 81,093","€ 4,216,836","€ 4,216,836",M,23,England,Aston Villa,england,2425
Hee-chan Hwang,"€ 81,093","€ 4,216,836","€ 4,216,836",F,29,South Korea,Wolverhampton,england,2425
Dan Burn,"€ 81,093","€ 4,216,836","€ 4,216,836",D,33,England,Newcastle,england,2425
Cheick Doucouré,"€ 81,093","€ 4,216,836","€ 4,216,836",M,25,Mali,Crystal Palace,england,2425
Pape Sarr,"€ 81,093","€ 4,216,836","€ 4,216,836",M,22,Senegal,Tottenham,england,2425
Ibrahima Konaté,"€ 81,093","€ 4,216,836","€ 4,216,836",D,25,France,Liverpool,england,2425
Ryan Christie,"€ 81,093","€ 4,216,836","€ 4,216,836",M,29,Scotland,Bournemouth,england,2425
Joe Aribo,"€ 81,093","€ 4,216,836","€ 4,216,836",M,28,Nigeria,Southampton,england,2425
Jan Bednarek,"€ 81,093","€ 4,216,836","€ 4,216,836",D,28,Poland,Southampton,england,2425
Marshall Munetsi,"€ 81,093","€ 4,216,836","€ 4,216,836",M,28,Zimbabwe,Wolverhampton,england,2425
Aaron Hickey,"€ 81,093","€ 4,216,836","€ 4,216,836",D,22,Scotland,Brentford,england,2425
Jefferson Lerma,"€ 81,093","€ 4,216,836","€ 4,216,836",M,30,Colombia,Crystal Palace,england,2425
Issa Diop,"€ 81,093","€ 4,216,836","€ 4,216,836",D,28,France,Fulham,england,2425
João Félix,"€ 75,301","€ 3,915,633","€ 3,915,633",F,25,Portugal,Chelsea,england,2425
Adama Traoré,"€ 75,301","€ 3,915,633","€ 3,915,633",F,29,Spain,Fulham,england,2425
Maxwel Cornet,"€ 75,301","€ 3,915,633","€ 3,915,633",F,27,Cote d'Ivoire,Southampton,england,2425
Timothy Castagne,"€ 75,301","€ 3,915,633","€ 3,915,633",D,29,Belgium,Fulham,england,2425
Lukasz Fabianski,"€ 75,301","€ 3,915,633","€ 3,915,633",K,39,Poland,West Ham,england,2425
