,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Kylian Mbappé,"€ 1,384,615","€ 72,000,000","€ 72,000,000",F,24,France,PSG,france,2223
Lionel Messi,"€ 1,223,846","€ 63,640,000","€ 63,640,000",F,35,Argentina,PSG,france,2223
Neymar,"€ 1,083,846","€ 56,360,000","€ 56,360,000",F,30,Brazil,PSG,france,2223
Marco Verratti,"€ 276,923","€ 14,400,000","€ 14,400,000",M,30,Italy,PSG,france,2223
Marquinhos,"€ 258,654","€ 13,450,000","€ 13,450,000",D,29,Brazil,PSG,france,2223
Gianluigi Donnarumma,"€ 244,808","€ 12,730,000","€ 12,730,000",K,23,Italy,PSG,france,2223
Keylor Navas,"€ 209,808","€ 10,910,000","€ 10,910,000",K,35,Costa Rica,PSG,france,2223
Mauro Icardi,"€ 209,808","€ 10,910,000","€ 10,910,000",F,29,Argentina,PSG,france,2223
Sergio Ramos,"€ 209,615","€ 10,900,000","€ 10,900,000",D,36,Spain,PSG,france,2223
Achraf Hakimi,"€ 174,808","€ 9,090,000","€ 9,090,000",D,24,Morocco,PSG,france,2223
Juan Bernat,"€ 168,462","€ 8,760,000","€ 8,760,000",D,29,Spain,PSG,france,2223
Nordi Mukiele,"€ 161,538","€ 8,400,000","€ 8,400,000",D,25,France,PSG,france,2223
Mario Lemina,"€ 157,308","€ 8,180,000","€ 8,180,000",M,29,Gabon,Nice,france,2223
Wissam Ben Yedder,"€ 150,000","€ 7,800,000","€ 7,800,000",F,32,France,Monaco,france,2223
Presnel Kimpembe,"€ 147,692","€ 7,680,000","€ 7,680,000",D,27,France,PSG,france,2223
Malang Sarr,"€ 138,846","€ 7,220,000","€ 7,220,000",D,24,France,Monaco,france,2223
Hugo Ekitiké,"€ 134,615","€ 7,000,000","€ 7,000,000",F,20,France,PSG,france,2223
André Gomes,"€ 130,000","€ 6,760,000","€ 6,760,000",M,29,Portugal,Lille,france,2223
Renato Sanches,"€ 124,615","€ 6,480,000","€ 6,480,000",M,25,Portugal,PSG,france,2223
Corentin Tolisso,"€ 122,308","€ 6,360,000","€ 6,360,000",M,28,France,Lyon,france,2223
