,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Ousmane Dembélé,,"€ 349,615","€ 18,180,000","€ 9,090,000","Aug 12, 2023","Jun 30, 2028",3,"€ 54,540,000",,Starter,F,CF,28,France,PSG,True,,france,2526
Khvicha Kvaratskhelia,,"€ 314,615","€ 16,360,000","€ 5,450,000","Jan 17, 2025","Jun 30, 2029",4,"€ 65,440,000",,Starter,F,LW,24,Georgia,PSG,True,,france,2526
Achraf Hakimi,,"€ 262,308","€ 13,640,000","€ 6,360,000","Feb 7, 2025","Jun 30, 2029",4,"€ 54,560,000",,Starter,D,RB,27,Morocco,PSG,True,,france,2526
Marquinhos,,"€ 258,654","€ 13,450,000","€ 6,180,000","May 19, 2023","Jun 30, 2028",3,"€ 40,350,000",,Reserve,D,CB,31,Brazil,PSG,True,,france,2526
Lucas Hernández,,"€ 255,192","€ 13,270,000","€ 5,820,000","Jul 9, 2023","Jun 30, 2028",3,"€ 39,810,000",,Reserve,D,LB,29,France,PSG,True,,france,2526
Vitinha,,"€ 227,308","€ 11,820,000","€ 4,550,000","Feb 7, 2025","Jun 30, 2029",4,"€ 47,280,000",,Reserve,M,DM,25,Portugal,PSG,True,,france,2526
Warren Zaïre-Emery,,"€ 220,192","€ 11,450,000","€ 3,090,000","Apr 27, 2024","Jun 30, 2029",4,"€ 45,800,000",,Starter,M,CM,19,France,PSG,True,,france,2526
Nuno Mendes,,"€ 209,808","€ 10,910,000","€ 4,550,000","Feb 7, 2025","Jun 30, 2029",4,"€ 43,640,000",,Reserve,D,LB,23,Portugal,PSG,True,,france,2526
Benjamin Pavard,,"€ 139,808","€ 7,270,000","€ 1,820,000","Sep 1, 2025","Jun 30, 2026",1,"€ 7,270,000",,Starter,D,CB,29,France,Marseille,True,,france,2526
Bradley Barcola,,"€ 139,808","€ 7,270,000","€ 2,730,000","Aug 31, 2023","Jun 30, 2028",3,"€ 21,810,000",,Reserve,F,LW,23,France,PSG,True,,france,2526
Désiré Doué,,"€ 132,885","€ 6,910,000","€ 2,730,000","Aug 17, 2024","Jun 30, 2029",4,"€ 27,640,000",,Starter,F,RW,20,France,PSG,True,,france,2526
Lucas Chevalier,,"€ 122,308","€ 6,360,000","€ 2,730,000","Aug 9, 2025","Jun 30, 2030",5,"€ 31,800,000",,Reserve,K,GK,24,France,PSG,True,,france,2526
Corentin Tolisso,,"€ 122,308","€ 6,360,000","€ 1,590,000","Jul 1, 2022","Jun 30, 2027",2,"€ 12,720,000",,Starter,M,CM,31,France,Lyon,True,,france,2526
Fabián Ruiz,,"€ 122,308","€ 6,360,000","€ 2,730,000","Aug 30, 2022","Jun 30, 2027",2,"€ 12,720,000",,Reserve,M,CM,29,Spain,PSG,True,,france,2526
Gonçalo Ramos,,"€ 122,308","€ 6,360,000","€ 2,180,000","Jan 1, 2024","Jun 30, 2028",3,"€ 19,080,000",,Starter,F,CF,24,Portugal,PSG,True,,france,2526
Willian Pacho,,"€ 111,923","€ 5,820,000","€ 2,180,000","Aug 9, 2024","Jun 30, 2029",4,"€ 23,280,000",,Reserve,D,CB,24,Ecuador,PSG,True,,france,2526
João Neves,,"€ 111,923","€ 5,820,000","€ 2,180,000","Aug 5, 2024","Jun 30, 2029",4,"€ 23,280,000",,Reserve,M,CM,21,Portugal,PSG,True,,france,2526
Ilya Zabarnyi,,"€ 104,808","€ 5,450,000","€ 2,730,000","Aug 12, 2025","Jun 30, 2030",5,"€ 27,250,000",,Starter,D,CB,23,Ukraine,PSG,True,,france,2526
Mason Greenwood,,"€ 104,808","€ 5,450,000","€ 1,360,000","Jul 18, 2024","Jun 30, 2029",4,"€ 21,800,000",,Starter,F,RW,24,England,Marseille,True,,france,2526
Tanguy Ndombélé,,"€ 104,808","€ 5,450,000","€ 1,360,000","Jul 4, 2024","Jun 30, 2026",1,"€ 5,450,000",,Reserve,M,CM,29,France,Nice,True,,france,2526
Geoffrey Kondogbia,,"€ 104,808","€ 5,450,000","€ 1,360,000","Jul 1, 2023","Jun 30, 2027",2,"€ 10,900,000",,Reserve,M,DM,32,Central African Republic,Marseille,True,,france,2526
Moussa Niakhaté,,"€ 104,808","€ 5,450,000","€ 1,360,000","Jul 4, 2024","Jun 30, 2028",3,"€ 16,350,000",,Starter,D,CB,29,Senegal,Lyon,True,,france,2526
Pierre-Emile Højbjerg,,"€ 104,808","€ 5,450,000","€ 1,360,000","Jul 1, 2025","Jun 30, 2028",3,"€ 16,350,000",,Starter,M,DM,30,Denmark,Marseille,True,,france,2526
Morgan Sanson,,"€ 97,885","€ 5,090,000","€ 1,270,000","Jul 1, 2024","Jun 30, 2027",2,"€ 10,180,000",,Starter,M,CM,31,France,Nice,True,,france,2526
Brice Samba,,"€ 97,885","€ 5,090,000","€ 1,270,000","Jan 8, 2025","Jun 30, 2029",4,"€ 20,360,000",,Starter,K,GK,31,France,Rennes,True,,france,2526
Breel Embolo,,"€ 97,885","€ 5,090,000","€ 1,270,000","Sep 1, 2025","Jun 30, 2029",4,"€ 20,360,000",,Reserve,F,CF,28,Switzerland,Rennes,True,,france,2526
Igor Paixão,,"€ 97,885","€ 5,090,000","€ 1,270,000","Aug 1, 2025","Jun 30, 2030",5,"€ 25,450,000",,Starter,F,LW,25,Brazil,Marseille,True,,france,2526
Orel Mangala,,"€ 94,423","€ 4,910,000","€ 1,230,000","Jul 2, 2024","Jun 30, 2028",3,"€ 14,730,000",,Reserve,M,DM,27,Belgium,Lyon,True,,france,2526
Nayef Aguerd,,"€ 94,423","€ 4,910,000","€ 1,230,000","Sep 1, 2025","Jun 30, 2030",5,"€ 24,550,000",,Starter,D,CB,29,Morocco,Marseille,True,,france,2526
Denis Zakaria,,"€ 88,462","€ 4,600,000","€ 1,150,000","Aug 14, 2023","Jun 30, 2028",3,"€ 13,800,000",,Starter,M,DM,29,Switzerland,Monaco,True,,france,2526
Benjamin André,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jul 26, 2025","Jun 30, 2028",3,"€ 13,650,000",,Starter,M,DM,35,France,Lille,True,,france,2526
Sebastian Szymanski,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jan 22, 2026","Jun 30, 2029",4,"€ 18,200,000",,Starter,F,AM,26,Poland,Rennes,True,,france,2526
Thomas Meunier,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jul 19, 2024","Jun 30, 2026",1,"€ 4,550,000",,Reserve,D,RB,34,Belgium,Lille,True,,france,2526
Pierre-Emerick Aubameyang,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jul 31, 2025","Jun 30, 2027",2,"€ 9,100,000",,Reserve,F,CF,36,Gabon,Marseille,True,,france,2526
Ludovic Blas,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jul 5, 2023","Jun 30, 2027",2,"€ 9,100,000",,Reserve,M,RM,28,France,Rennes,True,,france,2526
Quinten Timber,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jan 23, 2026","Jun 30, 2030",5,"€ 22,750,000",,Starter,M,CM,24,Netherlands,Marseille,True,,france,2526
Timothy Weah,,"€ 87,500","€ 4,550,000","€ 1,140,000","Aug 6, 2025","Jun 30, 2026",1,"€ 4,550,000",,Starter,F,RW,25,United States,Marseille,True,,france,2526
André Gomes,,"€ 87,500","€ 4,550,000","€ 1,140,000","Sep 6, 2024","Jun 30, 2026",1,"€ 4,550,000",,Reserve,M,CM,32,Portugal,Lille,True,,france,2526
Amine Gouiri,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jan 31, 2025","Jun 30, 2029",4,"€ 18,200,000",,Starter,F,CF,25,Algeria,Marseille,True,,france,2526
Kang-in Lee,,"€ 87,500","€ 4,550,000","€ 1,820,000","Jul 8, 2023","Jun 30, 2028",3,"€ 13,650,000",,Starter,F,AM,24,South Korea,PSG,True,,france,2526
Dante,,"€ 87,500","€ 4,550,000","€ 1,140,000","Feb 13, 2025","Jun 30, 2026",1,"€ 4,550,000",,Starter,D,CB,42,Brazil,Nice,True,,france,2526
Jonathan Clauss,,"€ 87,500","€ 4,550,000","€ 1,140,000","Jan 8, 2026","Jun 30, 2028",3,"€ 13,650,000",,Reserve,D,RB,33,France,Nice,True,,france,2526
Takumi Minamino,,"€ 84,038","€ 4,370,000","€ 1,090,000","Mar 4, 2025","Jun 30, 2027",2,"€ 8,740,000",,Reserve,F,LW,31,Japan,Monaco,True,,france,2526
Aleksandr Golovin,,"€ 84,038","€ 4,370,000","€ 1,090,000","Oct 4, 2024","Jun 30, 2029",4,"€ 17,480,000",,Reserve,F,AM,29,Russia,Monaco,True,,france,2526
Leonardo Balerdi,,"€ 83,846","€ 4,360,000","€ 1,090,000","Aug 16, 2024","Jun 30, 2028",3,"€ 13,080,000",,Reserve,D,CB,27,Argentina,Marseille,True,,france,2526
Facundo Medina,,"€ 80,385","€ 4,180,000","€ 1,050,000","Jul 2, 2025","Jun 30, 2026",1,"€ 4,180,000",,Reserve,D,CB,26,Argentina,Marseille,True,,france,2526
Lucas Beraldo,,"€ 80,385","€ 4,180,000","€ 1,640,000","Jan 1, 2024","Jun 30, 2028",3,"€ 12,540,000",,Starter,D,CB,22,Brazil,PSG,True,,france,2526
