,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Sadio Mané,"€ 423,077","€ 22,000,000","€ 22,000,000",F,30,Senegal,Bayern Munich,germany,2223
Manuel Neuer,"€ 403,846","€ 21,000,000","€ 21,000,000",K,36,Germany,Bayern Munich,germany,2223
Thomas Müller,"€ 394,231","€ 20,500,000","€ 20,500,000",F,33,Germany,Bayern Munich,germany,2223
Joshua Kimmich,"€ 375,000","€ 19,500,000","€ 19,500,000",M,27,Germany,Bayern Munich,germany,2223
Serge Gnabry,"€ 362,885","€ 18,870,000","€ 18,870,000",F,27,Germany,Bayern Munich,germany,2223
Kingsley Coman,"€ 326,923","€ 17,000,000","€ 17,000,000",F,26,France,Bayern Munich,germany,2223
Matthijs de Ligt,"€ 307,692","€ 16,000,000","€ 16,000,000",D,23,Netherlands,Bayern Munich,germany,2223
João Cancelo,"€ 293,846","€ 15,280,000","€ 15,280,000",D,28,Portugal,Bayern Munich,germany,2223
Lucas Hernández,"€ 288,462","€ 15,000,000","€ 15,000,000",D,26,France,Bayern Munich,germany,2223
Leroy Sané,"€ 288,462","€ 15,000,000","€ 15,000,000",F,27,Germany,Bayern Munich,germany,2223
Leon Goretzka,"€ 250,000","€ 13,000,000","€ 13,000,000",M,27,Germany,Bayern Munich,germany,2223
Alphonso Davies,"€ 216,346","€ 11,250,000","€ 11,250,000",D,22,Canada,Bayern Munich,germany,2223
Sébastien Haller,"€ 211,538","€ 11,000,000","€ 11,000,000",F,28,Cote d'Ivoire,Borussia Dortmund,germany,2223
Timo Werner,"€ 192,308","€ 10,000,000","€ 10,000,000",F,26,Germany,Leipzig,germany,2223
Christopher Nkunku,"€ 192,308","€ 10,000,000","€ 10,000,000",F,25,France,Leipzig,germany,2223
Niklas Süle,"€ 192,308","€ 10,000,000","€ 10,000,000",D,27,Germany,Borussia Dortmund,germany,2223
Dayot Upamecano,"€ 192,308","€ 10,000,000","€ 10,000,000",D,24,France,Bayern Munich,germany,2223
Dani Olmo,"€ 181,346","€ 9,430,000","€ 9,430,000",F,25,Spain,Leipzig,germany,2223
Ryan Gravenberch,"€ 176,923","€ 9,200,000","€ 9,200,000",M,20,Netherlands,Bayern Munich,germany,2223
Emre Can,"€ 163,462","€ 8,500,000","€ 8,500,000",M,29,Germany,Borussia Dortmund,germany,2223
Noussair Mazraoui,"€ 153,846","€ 8,000,000","€ 8,000,000",D,25,Morocco,Bayern Munich,germany,2223
