,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Harry Kane,,"€ 480,769","€ 25,000,000","€ 6,250,000","Aug 12, 2023","Jun 30, 2027",2,"€ 50,000,000","€ 65,000,000",Starter,F,CF,32,England,Bayern Munich,True,,germany,2526
Manuel Neuer,,"€ 403,846","€ 21,000,000","€ 5,250,000","Feb 3, 2025","Jun 30, 2026",1,"€ 21,000,000",,Reserve,K,GK,39,Germany,Bayern Munich,True,,germany,2526
Jamal Musiala,,"€ 399,038","€ 20,750,000","€ 11,320,000","Feb 14, 2025","Jun 30, 2030",5,"€ 103,750,000","€ 150,000,000",Starter,F,AM,22,Germany,Bayern Munich,True,,germany,2526
Joshua Kimmich,,"€ 384,615","€ 20,000,000","€ 5,000,000","Mar 13, 2025","Jun 30, 2029",4,"€ 80,000,000",,Starter,M,DM,30,Germany,Bayern Munich,True,,germany,2526
Alphonso Davies,,"€ 288,462","€ 15,000,000","€ 5,000,000","Feb 4, 2025","Jun 30, 2030",5,"€ 75,000,000",,Starter,D,LB,25,Canada,Bayern Munich,True,,germany,2526
Luis Díaz,,"€ 269,231","€ 14,000,000","€ 3,500,000","Jul 30, 2025","Jun 30, 2029",4,"€ 56,000,000",,Starter,F,LW,29,Colombia,Bayern Munich,True,,germany,2526
Michael Olise,,"€ 259,808","€ 13,510,000","€ 3,380,000","Jul 7, 2024","Jun 30, 2029",4,"€ 54,040,000",,Starter,F,RW,24,France,Bayern Munich,True,,germany,2526
Leon Goretzka,,"€ 250,000","€ 13,000,000","€ 4,000,000","Sep 16, 2021","Jun 30, 2026",1,"€ 13,000,000",,Reserve,M,CM,30,Germany,Bayern Munich,True,,germany,2526
Serge Gnabry,,"€ 250,000","€ 13,000,000","€ 2,000,000","Feb 5, 2026","Jun 30, 2028",3,"€ 39,000,000",,Reserve,F,SS,30,Germany,Bayern Munich,True,,germany,2526
