,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Dušan Vlahović,"€ 373,846","€ 19,440,000","€ 19,440,000",F,25,Serbia,Juventus,italy,2425
Lautaro Martínez,"€ 320,577","€ 16,670,000","€ 16,670,000",F,27,Argentina,Inter Milan,italy,2425
Paulo Dybala,"€ 249,231","€ 12,960,000","€ 12,960,000",F,31,Argentina,Roma,italy,2425
Nicolò Barella,"€ 231,538","€ 12,040,000","€ 12,040,000",M,27,Italy,Inter Milan,italy,2425
Hakan Çalhanoğlu,"€ 213,654","€ 11,110,000","€ 11,110,000",M,30,Turkey,Inter Milan,italy,2425
Alessandro Bastoni,"€ 195,962","€ 10,190,000","€ 10,190,000",D,25,Italy,Inter Milan,italy,2425
Bremer,"€ 178,077","€ 9,260,000","€ 9,260,000",D,27,Brazil,Juventus,italy,2425
Douglas Luiz,"€ 160,192","€ 8,330,000","€ 8,330,000",M,26,Brazil,Juventus,italy,2425
Álvaro Morata,"€ 160,192","€ 8,330,000","€ 8,330,000",F,31,Spain,AC Milan,italy,2425
Piotr Zieliński,"€ 160,192","€ 8,330,000","€ 8,330,000",M,30,Poland,Inter Milan,italy,2425
Romelu Lukaku,"€ 147,885","€ 7,690,000","€ 7,690,000",F,31,Belgium,Napoli,italy,2425
Marcus Thuram,"€ 147,885","€ 7,690,000","€ 7,690,000",F,27,France,Inter Milan,italy,2425
Federico Dimarco,"€ 142,500","€ 7,410,000","€ 7,410,000",D,27,Italy,Inter Milan,italy,2425
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,33,Netherlands,Inter Milan,italy,2425
Maxence Caqueret,"€ 128,269","€ 6,670,000","€ 6,670,000",M,24,France,Como,italy,2425
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 6,480,000",D,28,Italy,Roma,italy,2425
Joaquín Correa,"€ 124,615","€ 6,480,000","€ 6,480,000",F,30,Argentina,Inter Milan,italy,2425
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,480,000",F,28,Italy,Roma,italy,2425
Benjamin Pavard,"€ 123,269","€ 6,410,000","€ 6,410,000",D,28,France,Inter Milan,italy,2425
Rafael Leão,"€ 123,269","€ 6,410,000","€ 6,410,000",F,25,Portugal,AC Milan,italy,2425
Manuel Locatelli,"€ 117,500","€ 6,110,000","€ 6,110,000",M,27,Italy,Juventus,italy,2425
Gianluca Scamacca,"€ 114,038","€ 5,930,000","€ 5,930,000",F,26,Italy,Atalanta,italy,2425
Matteo Politano,"€ 114,038","€ 5,930,000","€ 5,930,000",F,31,Italy,Napoli,italy,2425
Teun Koopmeiners,"€ 110,962","€ 5,770,000","€ 5,770,000",F,26,Netherlands,Juventus,italy,2425
Tammy Abraham,"€ 110,962","€ 5,770,000","€ 5,770,000",F,27,England,AC Milan,italy,2425
Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,560,000",D,33,Italy,AC Milan,italy,2425
Dele Alli,"€ 106,923","€ 5,560,000","€ 5,560,000",F,28,England,Como,italy,2425
Giovanni Di Lorenzo,"€ 106,923","€ 5,560,000","€ 5,560,000",D,31,Italy,Napoli,italy,2425
David Neres,"€ 106,923","€ 5,560,000","€ 5,560,000",F,27,Brazil,Napoli,italy,2425
Mattia Zaccagni,"€ 106,923","€ 5,560,000","€ 5,560,000",F,29,Italy,Lazio,italy,2425
Scott McTominay,"€ 106,923","€ 5,560,000","€ 5,560,000",M,28,Scotland,Napoli,italy,2425
Raphaël Varane,"€ 106,923","€ 5,560,000","€ 5,560,000",D,31,France,Como,italy,2425
Youssouf Fofana,"€ 106,923","€ 5,560,000","€ 5,560,000",M,26,France,AC Milan,italy,2425
Alessio Romagnoli,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,Lazio,italy,2425
Artem Dovbyk,"€ 106,923","€ 5,560,000","€ 5,560,000",F,27,Ukraine,Roma,italy,2425
Mehdi Taremi,"€ 106,923","€ 5,560,000","€ 5,560,000",F,32,Iran,Inter Milan,italy,2425
Davide Frattesi,"€ 99,808","€ 5,190,000","€ 5,190,000",M,25,Italy,Inter Milan,italy,2425
Elseid Hysaj,"€ 99,808","€ 5,190,000","€ 5,190,000",D,31,Albania,Lazio,italy,2425
Kouadio Koné,"€ 99,808","€ 5,190,000","€ 5,190,000",M,23,France,Roma,italy,2425
Bryan Cristante,"€ 99,808","€ 5,190,000","€ 5,190,000",M,29,Italy,Roma,italy,2425
Christian Pulisic,"€ 98,654","€ 5,130,000","€ 5,130,000",F,26,United States,AC Milan,italy,2425
Ruben Loftus-Cheek,"€ 98,654","€ 5,130,000","€ 5,130,000",M,29,England,AC Milan,italy,2425
Samuel Chukwueze,"€ 98,654","€ 5,130,000","€ 5,130,000",F,25,Nigeria,AC Milan,italy,2425
Theo Hernández,"€ 98,654","€ 5,130,000","€ 5,130,000",D,27,France,AC Milan,italy,2425
Victor Osimhen,"€ 98,654","€ 5,130,000","€ 5,130,000",F,25,Nigeria,Napoli,italy,2425
Denzel Dumfries,"€ 98,654","€ 5,130,000","€ 5,130,000",D,28,Netherlands,Inter Milan,italy,2425
Evan N'Dicka,"€ 98,654","€ 5,130,000","€ 5,130,000",D,25,Cote d'Ivoire,Roma,italy,2425
Danilo,"€ 98,654","€ 5,130,000","€ 5,130,000",D,33,Brazil,Juventus,italy,2425
Duván Zapata,"€ 96,154","€ 5,000,000","€ 5,000,000",F,33,Colombia,Torino,italy,2425
Henrikh Mkhitaryan,"€ 93,654","€ 4,870,000","€ 4,870,000",M,36,Armenia,Inter Milan,italy,2425
Randal Kolo Muani,"€ 89,038","€ 4,630,000","€ 4,630,000",F,26,France,Juventus,italy,2425
Santiago Gimenez,"€ 89,038","€ 4,630,000","€ 4,630,000",F,23,Mexico,AC Milan,italy,2425
Alessandro Buongiorno,"€ 89,038","€ 4,630,000","€ 4,630,000",D,25,Italy,Napoli,italy,2425
Nicolò Zaniolo,"€ 89,038","€ 4,630,000","€ 4,630,000",F,25,Italy,Atalanta,italy,2425
Kyle Walker,"€ 89,038","€ 4,630,000","€ 4,630,000",D,34,England,AC Milan,italy,2425
Stephan El Shaarawy,"€ 89,038","€ 4,630,000","€ 4,630,000",F,32,Italy,Roma,italy,2425
Giacomo Raspadori,"€ 89,038","€ 4,630,000","€ 4,630,000",F,24,Italy,Napoli,italy,2425
Francisco Conceição,"€ 89,038","€ 4,630,000","€ 4,630,000",F,22,Portugal,Juventus,italy,2425
Ben Godfrey,"€ 89,038","€ 4,630,000","€ 4,630,000",D,26,England,Atalanta,italy,2425
Emerson,"€ 89,038","€ 4,630,000","€ 4,630,000",D,26,Brazil,AC Milan,italy,2425
Nicolás González,"€ 88,846","€ 4,620,000","€ 4,620,000",F,26,Argentina,Juventus,italy,2425
Fikayo Tomori,"€ 86,346","€ 4,490,000","€ 4,490,000",D,27,England,AC Milan,italy,2425
Marko Arnautovic,"€ 86,346","€ 4,490,000","€ 4,490,000",F,35,Austria,Inter Milan,italy,2425
Andrea Pinamonti,"€ 85,385","€ 4,440,000","€ 4,440,000",F,25,Italy,Genoa,italy,2425
Andrea Cambiaso,"€ 85,385","€ 4,440,000","€ 4,440,000",D,24,Italy,Juventus,italy,2425
João Félix,"€ 80,192","€ 4,170,000","€ 4,170,000",F,25,Portugal,AC Milan,italy,2425
David de Gea,"€ 78,269","€ 4,070,000","€ 4,070,000",K,34,Spain,Fiorentina,italy,2425
Samuel Gigot,"€ 78,269","€ 4,070,000","€ 4,070,000",D,31,France,Lazio,italy,2425
Tijjani Reijnders,"€ 74,038","€ 3,850,000","€ 3,850,000",M,26,Netherlands,AC Milan,italy,2425
Alex Meret,"€ 71,154","€ 3,700,000","€ 3,700,000",K,28,Italy,Napoli,italy,2425
Junior Messias,"€ 71,154","€ 3,700,000","€ 3,700,000",F,33,Brazil,Genoa,italy,2425
Michele Di Gregorio,"€ 71,154","€ 3,700,000","€ 3,700,000",K,27,Italy,Juventus,italy,2425
Matías Soulé,"€ 71,154","€ 3,700,000","€ 3,700,000",F,21,Argentina,Roma,italy,2425
Mats Hummels,"€ 71,154","€ 3,700,000","€ 3,700,000",D,36,Germany,Roma,italy,2425
Riccardo Orsolini,"€ 71,154","€ 3,700,000","€ 3,700,000",F,28,Italy,Bologna,italy,2425
Khéphren Thuram,"€ 71,154","€ 3,700,000","€ 3,700,000",M,23,France,Juventus,italy,2425
Nuno Tavares,"€ 71,154","€ 3,700,000","€ 3,700,000",D,25,Portugal,Lazio,italy,2425
Robin Gosens,"€ 71,154","€ 3,700,000","€ 3,700,000",D,30,Germany,Fiorentina,italy,2425
Angeliño,"€ 71,154","€ 3,700,000","€ 3,700,000",D,28,Spain,Roma,italy,2425
Ivan Provedel,"€ 71,154","€ 3,700,000","€ 3,700,000",K,30,Italy,Lazio,italy,2425
Nicolò Rovella,"€ 71,154","€ 3,700,000","€ 3,700,000",M,23,Italy,Lazio,italy,2425
Mike Maignan,"€ 69,038","€ 3,590,000","€ 3,590,000",K,29,France,AC Milan,italy,2425
Stanislav Lobotka,"€ 69,038","€ 3,590,000","€ 3,590,000",M,30,Slovakia,Napoli,italy,2425
André Zambo Anguissa,"€ 66,538","€ 3,460,000","€ 3,460,000",M,29,Cameroon,Napoli,italy,2425
Matteo Gabbia,"€ 64,038","€ 3,330,000","€ 3,330,000",D,25,Italy,AC Milan,italy,2425
Billy Gilmour,"€ 64,038","€ 3,330,000","€ 3,330,000",M,23,Scotland,Napoli,italy,2425
Matías Vecino,"€ 64,038","€ 3,330,000","€ 3,330,000",M,33,Uruguay,Lazio,italy,2425
Leonardo Spinazzola,"€ 64,038","€ 3,330,000","€ 3,330,000",D,31,Italy,Napoli,italy,2425
Adam Marusic,"€ 64,038","€ 3,330,000","€ 3,330,000",D,32,Montenegro,Lazio,italy,2425
Samuele Ricci,"€ 64,038","€ 3,330,000","€ 3,330,000",M,23,Italy,Torino,italy,2425
Ché Adams,"€ 64,038","€ 3,330,000","€ 3,330,000",F,28,Scotland,Torino,italy,2425
Giovanni Simeone,"€ 64,038","€ 3,330,000","€ 3,330,000",F,29,Argentina,Napoli,italy,2425
Mário Rui,"€ 64,038","€ 3,330,000","€ 3,330,000",D,33,Portugal,Napoli,italy,2425
Raoul Bellanova,"€ 64,038","€ 3,330,000","€ 3,330,000",M,24,Italy,Atalanta,italy,2425
Vitinha,"€ 64,038","€ 3,330,000","€ 3,330,000",F,24,Portugal,Genoa,italy,2425
Mario Hermoso,"€ 62,308","€ 3,240,000","€ 3,240,000",D,29,Spain,Roma,italy,2425
Luka Jović,"€ 61,731","€ 3,210,000","€ 3,210,000",F,27,Serbia,AC Milan,italy,2425
Charles De Ketelaere,"€ 61,731","€ 3,210,000","€ 3,210,000",F,23,Belgium,Atalanta,italy,2425
Weston McKennie,"€ 61,731","€ 3,210,000","€ 3,210,000",M,26,United States,Juventus,italy,2425
Amir Rrahmani,"€ 61,731","€ 3,210,000","€ 3,210,000",D,30,Kosovo,Napoli,italy,2425
Leandro Paredes,"€ 61,731","€ 3,210,000","€ 3,210,000",M,30,Argentina,Roma,italy,2425
Yann Sommer,"€ 61,731","€ 3,210,000","€ 3,210,000",K,36,Switzerland,Inter Milan,italy,2425
Arthur,"€ 61,731","€ 3,210,000","€ 3,210,000",M,28,Brazil,Juventus,italy,2425
Matteo Darmian,"€ 61,731","€ 3,210,000","€ 3,210,000",D,35,Italy,Inter Milan,italy,2425
Guillermo Maripán,"€ 60,577","€ 3,150,000","€ 3,150,000",D,30,Chile,Torino,italy,2425
Cristiano Biraghi,"€ 60,577","€ 3,150,000","€ 3,150,000",D,32,Italy,Fiorentina,italy,2425
Cristiano Biraghi,"€ 60,577","€ 3,150,000","€ 3,150,000",D,32,Italy,Torino,italy,2425
Christian Kouamé,"€ 60,577","€ 3,150,000","€ 3,150,000",F,27,Cote d'Ivoire,Empoli,italy,2425
Manuel Lazzari,"€ 60,577","€ 3,150,000","€ 3,150,000",M,31,Italy,Lazio,italy,2425
Strahinja Pavlović,"€ 60,577","€ 3,150,000","€ 3,150,000",D,23,Serbia,AC Milan,italy,2425
Christian Kouamé,"€ 60,577","€ 3,150,000","€ 3,150,000",F,26,Cote d'Ivoire,Fiorentina,italy,2425
Armando Izzo,"€ 60,577","€ 3,150,000","€ 3,150,000",D,32,Italy,Monza,italy,2425
Rolando Mandragora,"€ 56,923","€ 2,960,000","€ 2,960,000",M,27,Italy,Fiorentina,italy,2425
Antonio Sanabria,"€ 56,923","€ 2,960,000","€ 2,960,000",F,28,Paraguay,Torino,italy,2425
Thijs Dallinga,"€ 56,923","€ 2,960,000","€ 2,960,000",F,24,Netherlands,Bologna,italy,2425
Kenan Yıldız,"€ 56,923","€ 2,960,000","€ 2,960,000",F,19,Turkey,Juventus,italy,2425
Pedro,"€ 54,231","€ 2,820,000","€ 2,820,000",F,37,Spain,Lazio,italy,2425
Mateo Retegui,"€ 54,231","€ 2,820,000","€ 2,820,000",F,25,Italy,Atalanta,italy,2425
Albert Gudmundsson,"€ 54,231","€ 2,820,000","€ 2,820,000",F,27,Iceland,Fiorentina,italy,2425
Carlos Augusto,"€ 54,231","€ 2,820,000","€ 2,820,000",D,26,Brazil,Inter Milan,italy,2425
Moise Kean,"€ 54,231","€ 2,820,000","€ 2,820,000",F,24,Italy,Fiorentina,italy,2425
Juan Cuadrado,"€ 53,462","€ 2,780,000","€ 2,780,000",M,36,Colombia,Atalanta,italy,2425
Cesare Casadei,"€ 53,462","€ 2,780,000","€ 2,780,000",M,22,Italy,Torino,italy,2425
Andrea Petagna,"€ 53,462","€ 2,780,000","€ 2,780,000",F,29,Italy,Monza,italy,2425
Roberto Gagliardini,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Italy,Monza,italy,2425
Eljif Elmas,"€ 53,462","€ 2,780,000","€ 2,780,000",F,25,North Macedonia,Torino,italy,2425
Giorgio Scalvini,"€ 53,462","€ 2,780,000","€ 2,780,000",D,21,Italy,Atalanta,italy,2425
Fabiano Parisi,"€ 53,462","€ 2,780,000","€ 2,780,000",D,24,Italy,Fiorentina,italy,2425
Alexis Sánchez,"€ 53,462","€ 2,780,000","€ 2,780,000",F,36,Chile,Udinese,italy,2425
Mattia Perin,"€ 53,462","€ 2,780,000","€ 2,780,000",K,32,Italy,Juventus,italy,2425
Francesco Acerbi,"€ 53,462","€ 2,780,000","€ 2,780,000",D,36,Italy,Inter Milan,italy,2425
Kristjan Asllani,"€ 53,462","€ 2,780,000","€ 2,780,000",M,22,Albania,Inter Milan,italy,2425
Hernani,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Brazil,Parma,italy,2425
Danilo Cataldi,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Italy,Fiorentina,italy,2425
Josep Martínez,"€ 53,462","€ 2,780,000","€ 2,780,000",K,26,Spain,Inter Milan,italy,2425
