,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Robert Lewandowski,"€ 520,769","€ 27,080,000","€ 27,080,000",F,35,Poland,Barcelona,spain,2324
Vinicius Junior,"€ 480,769","€ 25,000,000","€ 25,000,000",F,23,Brazil,Real Madrid,spain,2324
Toni Kroos,"€ 468,846","€ 24,380,000","€ 24,380,000",M,34,Germany,Real Madrid,spain,2324
David Alaba,"€ 432,692","€ 22,500,000","€ 22,500,000",D,31,Austria,Real Madrid,spain,2324
Luka Modric,"€ 420,769","€ 21,880,000","€ 21,880,000",M,38,Croatia,Real Madrid,spain,2324
Jan Oblak,"€ 400,577","€ 20,830,000","€ 20,830,000",K,31,Slovenia,Atletico Madrid,spain,2324
Jude Bellingham,"€ 400,577","€ 20,830,000","€ 20,830,000",F,20,England,Real Madrid,spain,2324
İlkay Gündoğan,"€ 360,577","€ 18,750,000","€ 18,750,000",M,33,Germany,Barcelona,spain,2324
Frenkie de Jong,"€ 346,154","€ 18,000,000","€ 18,000,000",M,26,Netherlands,Barcelona,spain,2324
Federico Valverde,"€ 320,577","€ 16,670,000","€ 16,670,000",M,25,Uruguay,Real Madrid,spain,2324
Rodrygo,"€ 320,577","€ 16,670,000","€ 16,670,000",F,23,Brazil,Real Madrid,spain,2324
Thibaut Courtois,"€ 288,462","€ 15,000,000","€ 15,000,000",K,31,Belgium,Real Madrid,spain,2324
Éder Militão,"€ 280,385","€ 14,580,000","€ 14,580,000",D,26,Brazil,Real Madrid,spain,2324
Antonio Rüdiger,"€ 280,385","€ 14,580,000","€ 14,580,000",D,30,Germany,Real Madrid,spain,2324
Jules Koundé,"€ 260,577","€ 13,550,000","€ 13,550,000",D,25,France,Barcelona,spain,2324
Álvaro Morata,"€ 260,385","€ 13,540,000","€ 13,540,000",F,31,Spain,Atletico Madrid,spain,2324
Yannick Carrasco,"€ 252,500","€ 13,130,000","€ 13,130,000",F,29,Belgium,Atletico Madrid,spain,2324
Raphinha,"€ 240,385","€ 12,500,000","€ 12,500,000",F,27,Brazil,Barcelona,spain,2324
Antoine Griezmann,"€ 240,385","€ 12,500,000","€ 12,500,000",F,32,France,Atletico Madrid,spain,2324
Aurélien Tchouaméni,"€ 240,385","€ 12,500,000","€ 12,500,000",M,24,France,Real Madrid,spain,2324
João Cancelo,"€ 240,385","€ 12,500,000","€ 12,500,000",D,29,Portugal,Barcelona,spain,2324
Eduardo Camavinga,"€ 240,385","€ 12,500,000","€ 12,500,000",M,21,France,Real Madrid,spain,2324
Saúl Ñíguez,"€ 230,769","€ 12,000,000","€ 12,000,000",M,29,Spain,Atletico Madrid,spain,2324
Nacho Fernández,"€ 220,385","€ 11,460,000","€ 11,460,000",D,34,Spain,Real Madrid,spain,2324
Iñaki Williams,"€ 219,231","€ 11,400,000","€ 11,400,000",F,29,Ghana,Athletic Club,spain,2324
Daniel Carvajal,"€ 200,385","€ 10,420,000","€ 10,420,000",D,32,Spain,Real Madrid,spain,2324
Dani Ceballos,"€ 200,385","€ 10,420,000","€ 10,420,000",M,27,Spain,Real Madrid,spain,2324
Nico Williams,"€ 200,385","€ 10,420,000","€ 10,420,000",F,21,Spain,Athletic Club,spain,2324
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 10,420,000",D,28,France,Real Madrid,spain,2324
Ferran Torres,"€ 192,308","€ 10,000,000","€ 10,000,000",F,23,Spain,Barcelona,spain,2324
Lucas Vázquez,"€ 180,385","€ 9,380,000","€ 9,380,000",D,32,Spain,Real Madrid,spain,2324
Pedri,"€ 180,385","€ 9,380,000","€ 9,380,000",M,21,Spain,Barcelona,spain,2324
Iñigo Martínez,"€ 174,231","€ 9,060,000","€ 9,060,000",D,32,Spain,Barcelona,spain,2324
Andreas Christensen,"€ 173,077","€ 9,000,000","€ 9,000,000",D,27,Denmark,Barcelona,spain,2324
Kepa Arrizabalaga,"€ 173,077","€ 9,000,000","€ 9,000,000",K,29,Spain,Real Madrid,spain,2324
Memphis Depay,"€ 168,269","€ 8,750,000","€ 8,750,000",F,29,Netherlands,Atletico Madrid,spain,2324
Unai Simón,"€ 160,385","€ 8,340,000","€ 8,340,000",K,26,Spain,Athletic Club,spain,2324
Axel Witsel,"€ 160,192","€ 8,330,000","€ 8,330,000",D,35,Belgium,Atletico Madrid,spain,2324
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 8,330,000",D,28,Spain,Atletico Madrid,spain,2324
Marcos Llorente,"€ 160,192","€ 8,330,000","€ 8,330,000",M,29,Spain,Atletico Madrid,spain,2324
César Azpilicueta,"€ 153,846","€ 8,000,000","€ 8,000,000",D,34,Spain,Atletico Madrid,spain,2324
Brahim Díaz,"€ 140,192","€ 7,290,000","€ 7,290,000",F,24,Spain,Real Madrid,spain,2324
Ronald Araujo,"€ 134,615","€ 7,000,000","€ 7,000,000",D,24,Uruguay,Barcelona,spain,2324
Gavi,"€ 130,769","€ 6,800,000","€ 6,800,000",M,19,Spain,Barcelona,spain,2324
Nabil Fekir,"€ 130,769","€ 6,800,000","€ 6,800,000",F,30,France,Real Betis,spain,2324
Rodrigo de Paul,"€ 128,269","€ 6,670,000","€ 6,670,000",M,29,Argentina,Atletico Madrid,spain,2324
Koke,"€ 128,269","€ 6,670,000","€ 6,670,000",M,32,Spain,Atletico Madrid,spain,2324
Kieran Tierney,"€ 128,269","€ 6,670,000","€ 6,670,000",D,26,Scotland,Real Sociedad,spain,2324
Ivan Rakitic,"€ 124,038","€ 6,450,000","€ 6,450,000",M,35,Croatia,Sevilla,spain,2324
Marc-André ter Stegen,"€ 121,154","€ 6,300,000","€ 6,300,000",K,31,Germany,Barcelona,spain,2324
Mikel Oyarzabal,"€ 120,385","€ 6,260,000","€ 6,260,000",F,26,Spain,Real Sociedad,spain,2324
