,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Kylian Mbappé,,"€ 600,962","€ 31,250,000","€ 40,420,000","Jul 1, 2024","Jun 30, 2029",4,"€ 125,000,000",,Starter,F,CF,27,France,Real Madrid,True,,spain,2526
Vinicius Junior,,"€ 480,769","€ 25,000,000","€ 12,500,000","Oct 31, 2023","Jun 30, 2027",2,"€ 50,000,000","€ 1,000,000,000",Starter,F,LW,25,Brazil,Real Madrid,True,,spain,2526
David Alaba,,"€ 432,692","€ 22,500,000","€ 5,630,000","Jul 1, 2021","Jun 30, 2026",1,"€ 22,500,000","€ 850,000,000",Starter,D,CB,33,Austria,Real Madrid,True,,spain,2526
Jude Bellingham,,"€ 400,577","€ 20,830,000","€ 4,170,000","Jul 1, 2023","Jun 30, 2029",4,"€ 83,320,000","€ 1,000,000,000",Reserve,F,AM,22,England,Real Madrid,True,,spain,2526
Jan Oblak,,"€ 400,577","€ 20,830,000","€ 5,210,000","Jul 20, 2022","Jun 30, 2028",3,"€ 62,490,000",,Starter,K,GK,33,Slovenia,Atletico Madrid,True,,spain,2526
Robert Lewandowski,,"€ 400,577","€ 20,830,000","€ 5,210,000","Jul 19, 2022","Jun 30, 2026",1,"€ 20,830,000","€ 500,000,000",Starter,F,CF,37,Poland,Barcelona,True,,spain,2526
Frenkie de Jong,,"€ 365,385","€ 19,000,000","€ 6,210,000","Oct 15, 2025","Jun 30, 2029",4,"€ 76,000,000","€ 500,000,000",Starter,M,CM,28,Netherlands,Barcelona,True,,spain,2526
Federico Valverde,,"€ 320,577","€ 16,670,000","€ 4,170,000","Nov 9, 2023","Jun 30, 2029",4,"€ 66,680,000","€ 1,000,000,000",Starter,M,CM,27,Uruguay,Real Madrid,True,,spain,2526
Raphinha,,"€ 320,577","€ 16,670,000","€ 4,170,000","May 22, 2025","Jun 30, 2028",3,"€ 50,010,000","€ 1,000,000,000",Starter,F,LW,29,Brazil,Barcelona,True,,spain,2526
Nico Williams,,"€ 320,577","€ 16,670,000","€ 4,170,000","Jul 4, 2025","Jun 30, 2035",10,"€ 166,700,000","€ 95,000,000",Reserve,F,LW,23,Spain,Athletic Club,True,,spain,2526
Lamine Yamal,,"€ 320,577","€ 16,670,000","€ 10,420,000","May 27, 2025","Jun 30, 2031",6,"€ 100,020,000","€ 1,000,000,000",Starter,F,RW,18,Spain,Barcelona,True,,spain,2526
Trent Alexander-Arnold,,"€ 320,577","€ 16,670,000","€ 15,000,000","Jun 1, 2025","Jun 30, 2031",6,"€ 100,020,000",,Reserve,D,RB,27,England,Real Madrid,True,,spain,2526
Rodrygo,,"€ 320,577","€ 16,670,000","€ 4,170,000","Nov 2, 2023","Jun 30, 2028",3,"€ 50,010,000","€ 1,000,000,000",Reserve,F,RW,25,Brazil,Real Madrid,True,,spain,2526
Marc-André ter Stegen,,"€ 300,577","€ 15,630,000","€ 4,170,000","Aug 25, 2023","Jun 30, 2028",3,"€ 46,890,000","€ 500,000,000",Reserve,K,GK,33,Germany,Barcelona,False,,spain,2526
Jules Koundé,,"€ 300,577","€ 15,630,000","€ 3,920,000","Aug 15, 2025","Jun 30, 2030",5,"€ 78,150,000","€ 1,000,000,000",Starter,D,RB,27,France,Barcelona,True,,spain,2526
Thibaut Courtois,,"€ 288,462","€ 15,000,000","€ 3,750,000","Jun 19, 2025","Jun 30, 2027",2,"€ 30,000,000","€ 700,000,000",Starter,K,GK,33,Belgium,Real Madrid,True,,spain,2526
Éder Militão,,"€ 280,385","€ 14,580,000","€ 3,650,000","Jan 23, 2024","Jun 30, 2028",3,"€ 43,740,000","€ 1,000,000,000",Reserve,D,CB,28,Brazil,Real Madrid,True,,spain,2526
Antonio Rüdiger,,"€ 280,385","€ 14,580,000","€ 4,170,000","Jul 1, 2022","Jun 30, 2026",1,"€ 14,580,000","€ 400,000,000",Reserve,D,CB,32,Germany,Real Madrid,True,,spain,2526
Marcus Rashford,,"€ 269,231","€ 14,000,000","€ 3,500,000","Jul 23, 2025","Jun 30, 2026",1,"€ 14,000,000",,Reserve,F,LW,28,England,Barcelona,True,,spain,2526
Pedri,,"€ 240,385","€ 12,500,000","€ 3,500,000","Jan 30, 2025","Jun 30, 2030",5,"€ 62,500,000","€ 1,000,000,000",Starter,M,CM,23,Spain,Barcelona,True,,spain,2526
Ademola Lookman,,"€ 240,385","€ 12,500,000","€ 3,130,000","Feb 2, 2026","Jun 30, 2030",5,"€ 62,500,000",,Starter,F,SS,28,Nigeria,Atletico Madrid,True,,spain,2526
Ronald Araujo,,"€ 240,385","€ 12,500,000","€ 3,500,000","Jan 23, 2025","Jun 30, 2031",6,"€ 75,000,000","€ 1,000,000,000",Reserve,D,CB,26,Uruguay,Barcelona,True,,spain,2526
Aurélien Tchouaméni,,"€ 240,385","€ 12,500,000","€ 3,130,000","Jul 1, 2022","Jun 30, 2028",3,"€ 37,500,000","€ 1,000,000,000",Starter,M,DM,26,France,Real Madrid,True,,spain,2526
Dani Olmo,,"€ 240,385","€ 12,500,000","€ 1,500,000","Aug 9, 2024","Jun 30, 2030",5,"€ 62,500,000","€ 500,000,000",Starter,F,AM,27,Spain,Barcelona,True,,spain,2526
Julián Alvarez,,"€ 240,385","€ 12,500,000","€ 3,130,000","Aug 12, 2024","Jun 30, 2030",5,"€ 62,500,000","€ 500,000,000",Reserve,F,CF,26,Argentina,Atletico Madrid,True,,spain,2526
Eduardo Camavinga,,"€ 240,385","€ 12,500,000","€ 3,130,000","Nov 7, 2023","Jun 30, 2029",4,"€ 50,000,000","€ 1,000,000,000",Starter,M,CM,23,France,Real Madrid,True,,spain,2526
Iñaki Williams,,"€ 219,231","€ 11,400,000","€ 2,850,000","Aug 12, 2019","Jun 30, 2028",3,"€ 34,200,000","€ 135,000,000",Starter,F,RW,31,Ghana,Athletic Club,True,,spain,2526
Dani Ceballos,,"€ 200,385","€ 10,420,000","€ 2,600,000","Jun 23, 2023","Jun 30, 2027",2,"€ 20,840,000",,Reserve,M,CM,29,Spain,Real Madrid,True,,spain,2526
Daniel Carvajal,,"€ 200,385","€ 10,420,000","€ 2,600,000","Oct 6, 2024","Jun 30, 2026",1,"€ 10,420,000","€ 350,000,000",Starter,D,RB,34,Spain,Real Madrid,True,,spain,2526
Ferland Mendy,,"€ 200,385","€ 10,420,000","€ 2,600,000","Jul 1, 2019","Jun 30, 2028",3,"€ 31,260,000",,Reserve,D,LB,30,France,Real Madrid,True,,spain,2526
Aymeric Laporte,,"€ 200,385","€ 10,420,000","€ 2,600,000","Sep 1, 2025","Jun 30, 2028",3,"€ 31,260,000",,Starter,D,CB,31,Spain,Athletic Club,True,,spain,2526
Ferran Torres,,"€ 192,308","€ 10,000,000","€ 3,000,000","Jan 1, 2022","Jun 30, 2027",2,"€ 20,000,000","€ 1,000,000,000",Reserve,F,CF,25,Spain,Barcelona,True,,spain,2526
Antoine Griezmann,,"€ 180,385","€ 9,380,000","€ 2,350,000","Jun 2, 2025","Jun 30, 2027",2,"€ 18,760,000","€ 25,000,000",Starter,F,SS,34,France,Atletico Madrid,True,,spain,2526
Gavi,,"€ 180,385","€ 9,380,000","€ 2,350,000","Jan 31, 2025","Jun 30, 2030",5,"€ 46,900,000","€ 1,000,000,000",Reserve,M,CM,21,Spain,Barcelona,True,,spain,2526
Andreas Christensen,,"€ 173,077","€ 9,000,000","€ 4,000,000","Jul 4, 2022","Jun 30, 2026",1,"€ 9,000,000","€ 500,000,000",Reserve,D,CB,29,Denmark,Barcelona,True,,spain,2526
Álvaro Carreras,,"€ 172,308","€ 8,960,000","€ 2,250,000","Jul 14, 2025","Jun 30, 2031",6,"€ 53,760,000",,Starter,D,LB,22,Spain,Real Madrid,True,,spain,2526
Dean Huijsen,,"€ 172,308","€ 8,960,000","€ 2,250,000","Jun 1, 2025","Jun 30, 2030",5,"€ 44,800,000",,Reserve,D,CB,20,Spain,Real Madrid,True,,spain,2526
Unai Simón,,"€ 160,192","€ 8,330,000","€ 2,080,000","May 24, 2024","Jun 30, 2029",4,"€ 33,320,000",,Starter,K,GK,28,Spain,Athletic Club,True,,spain,2526
Marcos Llorente,,"€ 160,192","€ 8,330,000","€ 2,080,000","Aug 18, 2021","Jun 30, 2027",2,"€ 16,660,000","€ 120,000,000",Starter,D,RB,31,Spain,Atletico Madrid,True,,spain,2526
Álex Baena,,"€ 160,192","€ 8,330,000","€ 2,080,000","Jul 2, 2025","Jun 30, 2030",5,"€ 41,650,000",,Starter,F,LW,24,Spain,Atletico Madrid,True,,spain,2526
João Cancelo,,"€ 160,192","€ 8,330,000","€ 2,080,000","Jan 13, 2026","Jun 30, 2026",1,"€ 8,330,000",,Starter,D,RB,31,Portugal,Barcelona,True,,spain,2526
Eric García,,"€ 153,846","€ 8,000,000","€ 2,000,000","Dec 5, 2025","Jun 30, 2031",6,"€ 48,000,000",,Starter,D,CB,25,Spain,Barcelona,True,,spain,2526
Nicolás González,,"€ 144,231","€ 7,500,000","€ 1,880,000","Sep 1, 2025","Jun 30, 2026",1,"€ 7,500,000",,Reserve,F,LW,27,Argentina,Atletico Madrid,True,,spain,2526
Alexander Sörloth,,"€ 140,192","€ 7,290,000","€ 1,830,000","Aug 3, 2024","Jun 30, 2028",3,"€ 21,870,000",,Starter,F,CF,30,Norway,Atletico Madrid,True,,spain,2526
Brahim Díaz,,"€ 140,192","€ 7,290,000","€ 1,810,000","Jan 6, 2019","Jun 30, 2027",2,"€ 14,580,000",,Reserve,F,RW,26,Morocco,Real Madrid,True,,spain,2526
Franco Mastantuono,,"€ 140,192","€ 7,290,000","€ 1,810,000","Aug 14, 2025","Jun 30, 2031",6,"€ 43,740,000",,Reserve,F,RW,18,Argentina,Real Madrid,True,,spain,2526
Fermín López,,"€ 140,192","€ 7,290,000","€ 1,460,000","Jan 30, 2026","Jun 30, 2031",6,"€ 43,740,000","€ 500,000,000",Reserve,F,AM,22,Spain,Barcelona,True,,spain,2526
Clément Lenglet,,"€ 140,192","€ 7,290,000","€ 1,830,000","Jun 9, 2025","Jun 30, 2028",3,"€ 21,870,000",,Reserve,D,CB,30,France,Atletico Madrid,True,,spain,2526
Dávid Hancko,,"€ 128,269","€ 6,670,000","€ 1,670,000","Jul 24, 2025","Jun 30, 2030",5,"€ 33,350,000",,Starter,D,CB,28,Slovakia,Atletico Madrid,True,,spain,2526
Koke,,"€ 128,269","€ 6,670,000","€ 1,670,000","Jun 2, 2025","Jun 30, 2026",1,"€ 6,670,000",,Reserve,M,CM,34,Spain,Atletico Madrid,True,,spain,2526
Isco,,"€ 120,192","€ 6,250,000","€ 1,560,000","Nov 23, 2025","Jun 30, 2028",3,"€ 18,750,000","€ 20,000,000",Reserve,F,AM,33,Spain,Real Betis,True,,spain,2526
Raúl Asencio,,"€ 120,192","€ 6,250,000","€ 1,560,000","Jun 14, 2025","Jun 30, 2031",6,"€ 37,500,000",,Starter,D,CB,22,Spain,Real Madrid,True,,spain,2526
Mikel Oyarzabal,,"€ 120,192","€ 6,250,000","€ 1,560,000","Feb 10, 2023","Jun 30, 2028",3,"€ 18,750,000","€ 75,000,000",Starter,F,CF,28,Spain,Real Sociedad,True,,spain,2526
José Giménez,,"€ 120,192","€ 6,250,000","€ 1,560,000","Oct 6, 2023","Jun 30, 2028",3,"€ 18,750,000",,Reserve,D,CB,31,Uruguay,Atletico Madrid,True,,spain,2526
Pablo Barrios,,"€ 120,192","€ 6,250,000","€ 1,560,000","May 22, 2025","Jun 30, 2030",5,"€ 31,250,000","€ 100,000,000",Reserve,M,CM,22,Spain,Atletico Madrid,True,,spain,2526
Robin Le Normand,,"€ 120,192","€ 6,250,000","€ 1,560,000","Jul 27, 2024","Jun 30, 2029",4,"€ 25,000,000",,Reserve,D,CB,29,Spain,Atletico Madrid,True,,spain,2526
Antony,,"€ 120,192","€ 6,250,000","€ 1,560,000","Sep 1, 2025","Jun 30, 2030",5,"€ 31,250,000",,Starter,F,RW,25,Brazil,Real Betis,True,,spain,2526
Joan García,,"€ 120,192","€ 6,250,000","€ 1,560,000","Jul 1, 2025","Jun 30, 2031",6,"€ 37,500,000",,Starter,K,GK,24,Spain,Barcelona,True,,spain,2526
Sofyan Amrabat,,"€ 120,192","€ 6,250,000","€ 1,560,000","Sep 1, 2025","Jun 30, 2026",1,"€ 6,250,000",,Reserve,M,DM,29,Morocco,Real Betis,True,,spain,2526
Brais Méndez,,"€ 100,192","€ 5,210,000","€ 1,290,000","Jul 6, 2022","Jun 30, 2028",3,"€ 15,630,000","€ 60,000,000",Starter,F,AM,29,Spain,Real Sociedad,True,,spain,2526
Arda Güler,,"€ 100,192","€ 5,210,000","€ 1,290,000","Jul 6, 2023","Jun 30, 2029",4,"€ 20,840,000",,Starter,F,AM,20,Turkey,Real Madrid,True,,spain,2526
