,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Ciro Immobile,"€ 144,231","€ 7,500,000","€ 7,500,000",F,34,Italy,Besiktas,turkey,2425
Victor Osimhen,"€ 144,231","€ 7,500,000","€ 7,500,000",F,26,Nigeria,Galatasaray,turkey,2425
Rafa Silva,"€ 144,231","€ 7,500,000","€ 7,500,000",F,31,Portugal,Besiktas,turkey,2425
Mauro Icardi,"€ 144,231","€ 7,500,000","€ 7,500,000",F,31,Argentina,Galatasaray,turkey,2425
Milan Skriniar,"€ 108,269","€ 5,630,000","€ 5,630,000",D,30,Slovakia,Fenerbahce,turkey,2425
Edin Dzeko,"€ 100,962","€ 5,250,000","€ 5,250,000",F,38,Bosnia-Herzegovina,Fenerbahce,turkey,2425
Dusan Tadic,"€ 100,962","€ 5,250,000","€ 5,250,000",F,36,Serbia,Fenerbahce,turkey,2425
Fred,"€ 100,962","€ 5,250,000","€ 5,250,000",M,31,Brazil,Fenerbahce,turkey,2425
Lucas Torreira,"€ 96,154","€ 5,000,000","€ 5,000,000",M,29,Uruguay,Galatasaray,turkey,2425
Talisca,"€ 96,154","€ 5,000,000","€ 5,000,000",F,31,Brazil,Fenerbahce,turkey,2425
Diego Carlos,"€ 96,154","€ 5,000,000","€ 5,000,000",D,31,Brazil,Fenerbahce,turkey,2425
Youssef En-Nesyri,"€ 96,154","€ 5,000,000","€ 5,000,000",F,27,Morocco,Fenerbahce,turkey,2425
Krzysztof Piatek,"€ 84,231","€ 4,380,000","€ 4,380,000",F,29,Poland,Basaksehir,turkey,2425
Stefan Savic,"€ 76,923","€ 4,000,000","€ 4,000,000",D,34,Montenegro,Trabzonspor,turkey,2425
Davinson Sánchez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,28,Colombia,Galatasaray,turkey,2425
Michy Batshuayi,"€ 72,115","€ 3,750,000","€ 3,750,000",F,30,Belgium,Galatasaray,turkey,2425
Sofyan Amrabat,"€ 72,115","€ 3,750,000","€ 3,750,000",M,28,Morocco,Fenerbahce,turkey,2425
Álvaro Morata,"€ 72,115","€ 3,750,000","€ 3,750,000",F,32,Spain,Galatasaray,turkey,2425
Dries Mertens,"€ 69,808","€ 3,630,000","€ 3,630,000",F,37,Belgium,Galatasaray,turkey,2425
Hakim Ziyech,"€ 68,462","€ 3,560,000","€ 3,560,000",F,31,Morocco,Galatasaray,turkey,2425
Gabriel Sara,"€ 66,154","€ 3,440,000","€ 3,440,000",M,25,Brazil,Galatasaray,turkey,2425
Alex Oxlade-Chamberlain,"€ 60,192","€ 3,130,000","€ 3,130,000",M,31,England,Besiktas,turkey,2425
Cengiz Ünder,"€ 60,192","€ 3,130,000","€ 3,130,000",F,27,Turkey,Fenerbahce,turkey,2425
Fernando Muslera,"€ 60,192","€ 3,130,000","€ 3,130,000",K,38,Uruguay,Galatasaray,turkey,2425
Filip Kostić,"€ 60,192","€ 3,130,000","€ 3,130,000",D,32,Serbia,Fenerbahce,turkey,2425
Roland Sallai,"€ 60,192","€ 3,130,000","€ 3,130,000",F,27,Hungary,Galatasaray,turkey,2425
Sebastian Szymański,"€ 60,192","€ 3,130,000","€ 3,130,000",F,25,Poland,Fenerbahce,turkey,2425
Gabriel Paulista,"€ 50,962","€ 2,650,000","€ 2,650,000",D,34,Brazil,Besiktas,turkey,2425
Ismail Jakobs,"€ 50,577","€ 2,630,000","€ 2,630,000",D,25,Senegal,Galatasaray,turkey,2425
Arthur Masuaku,"€ 49,038","€ 2,550,000","€ 2,550,000",D,31,Democratic Republic of the Congo,Besiktas,turkey,2425
Miguel Crespo,"€ 48,077","€ 2,500,000","€ 2,500,000",M,28,Portugal,Basaksehir,turkey,2425
João Mário,"€ 48,077","€ 2,500,000","€ 2,500,000",M,32,Portugal,Besiktas,turkey,2425
Çağlar Söyüncü,"€ 48,077","€ 2,500,000","€ 2,500,000",D,28,Turkey,Fenerbahce,turkey,2425
Milot Rashica,"€ 48,077","€ 2,500,000","€ 2,500,000",F,28,Kosovo,Besiktas,turkey,2425
Rodrigo Becão,"€ 43,269","€ 2,250,000","€ 2,250,000",D,29,Brazil,Fenerbahce,turkey,2425
Ernest Muci,"€ 43,269","€ 2,250,000","€ 2,250,000",F,23,Albania,Besiktas,turkey,2425
Bright Osayi-Samuel,"€ 43,269","€ 2,250,000","€ 2,250,000",D,27,Nigeria,Fenerbahce,turkey,2425
Umut Bozok,"€ 40,962","€ 2,130,000","€ 2,130,000",F,27,Turkey,Trabzonspor,turkey,2425
Ryan Kent,"€ 40,962","€ 2,130,000","€ 2,130,000",F,27,England,Fenerbahce,turkey,2425
Gedson Fernandes,"€ 40,962","€ 2,130,000","€ 2,130,000",M,26,Portugal,Besiktas,turkey,2425
