accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
56,48,28.92,408,42,65.63,688,203,843,76.01,14,34.15,27,37,12,0,0,0,,20,9,17,6,3,37,0,0,57,19,203,0,0,,,31,1,18.18,,20,32,38,32,6,17,3,,132,42.86,0,0,3,266,5,97,1,33,2932,12,,0,3,8,0,100.0,0,8,0,2,653,25,0,7.59,0,19,0,0,0,0,0,0,146.6,7.14,14,63,47,40,53,76,51.35,0,4,3,75.0,94,95,148,166,146,41.83,64,1052,223,1109,280.9,110,10,1876,52,4,0,Memphis Depay,Olympique Lyonnais,138833,1649,france,2021
63,48,25.53,404,56,66.67,687,167,806,81.17,1,50.0,1,27,9,0,0,0,,20,3,16,3,6,27,0,0,22,34,104,0,0,,,11,1,6.67,,4,13,13,12,1,3,1,,91,46.91,0,0,2,187,6,70,4,23,1863,8,,0,0,0,0,0.0,0,0,0,1,457,15,0,7.54,0,0,0,0,0,0,0,0,465.75,16.67,6,30,30,27,17,40,51.28,0,26,17,65.38,70,108,78,188,92,46.94,84,1000,181,993,203.7,60,8,1546,26,1,0,Ángel Di María,Paris Saint-Germain,30027,1644,france,2021
47,17,29.31,389,36,55.38,599,147,729,79.59,5,29.41,12,18,5,1,0,0,,13,9,17,6,0,18,0,1,48,29,188,0,0,,,33,0,12.86,,9,14,15,14,1,9,0,,168,48.84,0,0,3,187,9,61,1,15,1423,3,,0,2,6,0,83.33,0,5,0,2,447,20,0,7.53,2,8,0,0,0,0,0,0,158.11,0.0,18,40,30,32,21,87,56.13,0,14,11,78.57,59,100,155,58,173,47.92,65,817,157,916,135.5,70,6,1509,67,5,1,Neymar,Paris Saint-Germain,124712,1644,france,2021
121,47,25.41,405,114,53.77,697,366,1016,74.43,29,40.85,42,33,8,0,0,1,,16,2,24,5,5,33,0,0,35,38,166,0,0,,,20,2,7.5,,6,14,34,29,5,3,3,,144,53.73,0,0,1,349,12,76,0,32,2820,1,,0,0,2,1,50.0,0,1,0,2,651,21,0,7.47,0,6,0,0,0,0,0,0,470.0,7.69,26,20,60,28,28,58,63.04,0,24,16,66.67,76,239,92,185,173,51.03,212,1131,419,1365,246.5,80,6,2054,64,5,0,Farid Boulaya,Metz,229722,1651,france,2021
14,6,11.32,398,7,43.75,654,120,768,80.67,5,26.32,14,31,7,0,0,0,,9,15,14,7,3,31,0,0,46,7,181,1,0,,,23,0,25.96,,27,34,20,18,2,24,3,,132,44.15,0,0,1,184,3,35,7,27,2389,17,,0,2,6,0,100.0,0,6,0,4,474,23,0,7.43,0,20,0,0,0,0,0,0,88.48,0.0,2,88,16,35,55,90,49.72,0,4,2,50.0,33,21,181,53,137,43.08,16,870,135,952,230.2,104,9,1563,38,5,0,Kylian Mbappé,Paris Saint-Germain,826643,1644,france,2021
50,30,28.3,193,34,72.34,358,165,493,62.48,142,55.69,113,30,9,0,0,1,,13,14,22,3,34,30,0,0,23,10,221,0,0,,,54,0,16.48,,15,24,43,42,1,13,2,,77,41.62,7,0,4,296,4,55,1,30,2491,19,,0,1,1,0,0.0,0,0,0,1,511,16,0,7.42,0,7,0,0,0,0,0,0,166.07,0.0,2,66,25,32,37,31,50.0,0,12,7,58.33,54,96,62,106,219,49.77,47,695,200,789,222.5,91,5,1324,41,4,0,Andy Delort,Montpellier,84744,1642,france,2021
21,31,30.39,120,10,43.48,272,120,361,76.48,11,40.74,16,21,9,0,0,0,,9,4,5,1,2,21,0,0,12,31,91,0,0,,,19,1,18.52,,5,14,8,6,2,2,3,,59,44.03,0,0,2,111,11,37,1,12,1072,3,,0,2,0,0,0.0,0,0,0,0,246,14,0,7.31,0,4,0,0,0,0,0,0,214.4,100.0,1,14,13,9,13,18,54.55,0,28,16,57.14,35,35,33,102,70,43.48,23,437,137,472,153.5,27,3,787,13,2,0,Aleksandr Golovin,AS Monaco,318963,1653,france,2021
89,3,25.0,196,149,59.6,712,1429,2138,90.36,80,74.07,28,36,0,0,0,0,,0,1,6,19,136,36,0,0,1,6,62,0,1,,,30,0,11.11,,3,3,22,20,2,2,1,,58,63.04,2,0,0,228,36,10,0,36,3187,0,,1,0,0,1,0.0,0,0,0,1,250,5,0,7.24,0,1,0,0,0,0,0,0,1062.33,0.0,0,24,3,11,10,6,100.0,0,40,29,72.5,10,155,6,12,138,69.0,250,881,1497,2366,260.8,27,6,2732,13,7,0,José Fonte,Lille,27622,1643,france,2021
94,65,28.76,401,114,62.98,875,554,1364,82.12,19,29.69,45,37,5,0,0,0,,7,0,16,6,23,37,0,0,15,50,142,0,0,,,26,0,9.38,,6,11,27,23,4,5,1,,57,37.01,0,0,1,297,19,62,2,29,2558,3,,0,3,0,0,0.0,0,0,0,0,519,20,0,7.24,0,4,0,0,0,0,0,0,426.33,0.0,11,22,42,24,24,8,50.0,0,40,23,57.5,59,170,16,226,76,34.86,181,1266,621,1661,267.7,64,3,2228,10,8,0,Benjamin Bourigeaud,Stade Rennais,324399,1658,france,2021
43,43,31.16,416,53,68.83,744,417,1118,84.76,16,36.36,28,36,5,0,0,0,,11,5,16,3,15,36,0,0,34,33,169,0,0,,,35,1,9.52,,6,11,58,48,10,5,1,,214,60.28,0,0,1,201,30,63,5,33,2898,0,,1,0,1,1,100.0,0,1,0,0,470,30,0,7.23,0,1,0,0,0,0,0,0,483.0,12.5,8,30,33,24,23,89,67.42,0,54,27,50.0,63,70,132,138,230,57.64,77,999,458,1319,260.3,63,4,2075,72,0,0,Romain Faivre,Stade Brestois,913942,1715,france,2021
