accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
0,0,0.0,1,15,32.61,13,11,24,42.11,1,100.0,0,2,0,0,0,0,20,0,0,0,1,3,2,0,0,0,0,0,1,0,0.0,,0,0,0.0,19,0,0,4,3,1,0,0,0.59,1,100.0,0,3,0,33,0,0,0,2,167,0,0.0,0,0,0,0,0.0,0,0,0,0,34,0,0,7.85,0,0,0,5,7,12,0,5,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,2,100.0,46,41,16,57,15.7,0,1,87,2,0,0,Pape Sy,Metz,1463509,1651,france,2526,20260326
4,0,0.0,4,31,40.26,21,82,103,69.13,2,100.0,0,4,0,0,0,0,37,0,0,0,1,5,4,0,0,0,0,0,0,0,0.0,,0,0,0.0,37,0,0,2,2,0,0,0,2.34,0,0.0,0,3,0,46,0,0,0,3,315,0,0.0,0,0,0,0,0.0,0,0,0,0,46,0,3,7.83,0,0,2,8,7,15,0,5,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,7,0,0,2,100.0,77,61,88,149,31.3,0,0,195,1,2,0,Lionel M'Pasi,Le Havre,599192,1662,france,2526,20260326
125,7,33.33,607,162,76.78,1433,948,2381,94.04,3,60.0,2,25,7,0,0,0,128,8,0,9,10,22,25,0,0,9,13,38,0,1,3.68,0.97,13,0,3.23,0,1,8,17,12,5,0,1,,53,59.55,0,0,0,151,25,34,0,22,1946,0,5.0,0,0,0,0,0.0,0,0,0,0,204,16,0,7.69,0,1,0,0,0,0,0,0,1946.0,0,2,2,29,12,10,12,75.0,0,22,17,77.27,34,178,16,21,56,59.57,211,1554,978,2532,192.2,31,6,2769,19,2,0,Vitinha,Paris Saint-Germain,902029,1644,france,2526,20260326
8,0,0.0,1,16,34.04,4,96,100,74.07,0,0.0,0,5,0,0,0,0,35,0,0,0,4,3,5,0,0,0,1,1,0,0,0.0,,0,0,0.0,15,0,0,3,3,0,0,0,2.79,1,50.0,0,3,0,35,0,0,0,5,450,0,0.0,1,0,0,0,0.0,0,0,0,0,37,0,2,7.66,0,0,2,10,4,14,0,5,0.0,0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,12,1,0,1,50.0,47,25,110,135,38.3,0,1,178,0,0,0,Rémy Descamps,Olympique Lyonnais,788180,1649,france,2526,20260326
4,2,28.57,16,2,66.67,28,9,37,88.1,0,0.0,0,3,2,0,0,0,6,2,0,1,0,1,3,0,0,1,1,6,0,0,0.81,0.15,0,0,50.0,0,1,3,2,2,0,1,0,,10,62.5,0,0,0,5,1,3,1,0,105,0,0.0,0,0,0,0,0.0,0,0,0,1,19,1,0,7.53,0,0,0,0,0,0,0,0,105.0,0,0,2,0,0,1,5,55.56,0,1,1,100.0,3,6,9,7,10,62.5,3,33,9,42,22.6,2,1,77,4,0,0,Dilane Bakwa,RC Strasbourg,963298,1659,france,2526,20260326
48,18,19.35,343,67,71.28,654,431,1085,86.45,2,15.38,11,23,4,0,0,0,111,6,3,9,2,6,23,0,0,38,13,107,0,0,4.77,5.63,12,0,17.78,0,8,12,37,34,3,6,2,,114,54.29,0,0,0,170,7,46,7,23,1966,3,0.0,0,0,3,0,100.0,0,3,0,1,366,21,0,7.5,0,1,0,0,0,0,0,0,245.75,0,0,28,17,18,18,29,46.03,0,31,17,54.84,46,79,63,93,116,52.02,94,787,468,1255,172.5,45,4,1709,55,5,0,Ilan Kebbal,Paris FC,1049442,6070,france,2526,20260326
22,9,21.95,274,22,75.86,406,69,475,83.92,2,33.33,4,16,5,1,0,0,20,7,3,4,0,0,16,0,0,10,1,29,0,1,3.6,4.92,2,0,24.24,0,8,13,7,4,3,7,1,,24,48.98,1,0,0,91,0,33,3,7,744,5,0.0,0,0,3,0,66.67,0,2,0,0,154,7,0,7.49,0,4,0,0,0,0,0,0,93.0,0,1,21,12,15,14,17,58.62,0,5,2,40.0,33,29,29,41,26,47.27,29,490,76,566,119.9,33,4,709,2,0,0,Ousmane Dembélé,Paris Saint-Germain,818244,1644,france,2526,20260326
55,0,0.0,11,106,35.45,42,442,484,70.66,7,87.5,1,23,0,0,0,0,233,0,0,0,9,24,23,0,0,0,0,2,1,3,0.01,,1,0,0.0,141,0,0,26,24,2,0,0,10.32,9,90.0,0,33,0,201,0,0,0,23,2070,0,0.0,0,0,0,1,0.0,5,0,2,0,209,0,9,7.39,0,0,8,59,28,88,0,23,0.0,0,0,0,0,0,0,0,0.0,8,1,1,100.0,0,93,0,0,16,88.89,299,176,509,685,169.9,0,4,970,9,1,0,Hervé Koffi,Angers,867299,1684,france,2526,20260326
56,23,24.73,355,65,65.0,613,245,858,81.79,2,25.0,6,26,4,1,0,1,58,9,4,26,3,2,26,0,0,18,17,97,0,0,4.61,12.42,17,0,15.79,0,15,19,28,28,0,12,3,,78,46.15,0,0,3,191,3,47,5,24,2003,0,1.0,0,2,7,0,71.43,0,5,0,1,380,11,0,7.38,0,10,0,0,0,0,0,0,133.53,0,5,56,39,31,38,45,52.94,0,11,10,90.91,45,101,85,93,80,45.2,100,770,279,1049,191.8,95,5,1496,22,4,0,Mason Greenwood,Olympique de Marseille,942116,1641,france,2526,20260326
10,4,21.05,247,11,91.67,369,88,457,84.16,6,46.15,7,22,1,0,0,0,44,9,13,12,4,6,22,0,0,18,11,93,0,0,3.75,9.05,16,0,17.86,0,10,11,11,10,1,7,3,,61,41.5,2,0,1,86,11,32,2,15,1328,4,1.0,0,0,0,0,0.0,0,0,0,1,201,16,0,7.34,0,6,0,0,0,0,0,0,132.8,0,0,39,17,18,26,29,41.43,0,24,12,50.0,32,13,70,19,67,41.88,12,440,103,543,161.4,56,6,844,8,2,0,Bradley Barcola,Paris Saint-Germain,996952,1644,france,2526,20260326
