accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
0,0,0.0,0,7,41.18,4,14,18,64.29,0,0.0,1,1,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,1,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,10,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,11,0,0,7.8,0,0,1,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,17,11,17,28,7.8,0,0,36,0,0,0,Stefanos Kapino,Arminia Bielefeld,98210,2540,germany,2122
157,66,36.46,581,139,71.65,1204,937,2075,88.0,16,47.06,18,28,11,0,0,0,,14,0,7,6,25,28,0,0,18,40,115,0,1,,,20,0,11.11,,3,14,32,28,4,2,1,,106,52.22,0,0,2,283,52,85,0,28,2477,1,,0,5,0,1,0.0,0,0,0,0,488,22,0,7.79,0,3,0,0,0,0,0,0,825.67,0.0,0,8,19,11,9,21,51.22,0,39,20,51.28,80,241,41,181,122,51.48,194,1552,987,2358,218.1,27,7,2989,46,4,0,Joshua Kimmich,FC Bayern München,259117,2672,germany,2122
6,1,12.5,130,1,50.0,214,115,328,71.3,38,57.58,28,24,7,0,0,0,,12,5,12,1,31,24,0,0,16,1,70,0,0,,,17,0,27.5,,22,29,38,32,6,21,1,,29,40.85,3,0,0,132,1,23,16,21,1914,14,,0,0,6,0,100.0,0,6,0,0,231,16,0,7.66,0,3,0,0,0,0,0,0,87.0,0.0,0,77,3,31,37,13,54.17,0,2,1,50.0,23,9,24,8,67,48.91,2,330,138,460,183.8,80,7,745,14,3,0,Erling Haaland,Borussia Dortmund,839956,2673,germany,2122
25,19,29.69,372,21,67.74,641,163,785,81.77,26,48.15,28,34,13,0,0,0,,16,10,24,2,14,34,0,0,50,26,167,0,0,,,31,2,24.39,,20,33,34,32,2,17,3,,150,51.9,0,0,4,175,15,66,6,31,2735,13,,0,2,1,0,100.0,0,1,0,3,427,22,0,7.59,0,14,0,0,0,0,0,0,136.75,25.0,8,60,22,18,40,66,66.67,0,23,10,43.48,64,51,99,64,176,51.31,31,836,188,960,258.1,82,11,1586,61,2,0,Christopher Nkunku,RB Leipzig,769333,36360,germany,2122
18,5,19.23,252,14,60.87,409,165,569,77.41,53,47.32,59,34,3,0,0,0,,6,32,32,9,8,34,0,0,55,12,178,0,0,,,22,0,21.74,,35,38,36,32,4,33,2,,95,44.39,6,0,9,166,6,37,8,34,2951,21,,0,0,5,0,100.0,0,5,0,1,368,29,0,7.47,0,21,0,0,0,0,0,0,84.31,0.0,3,136,25,48,81,48,58.54,0,10,3,30.0,37,36,82,26,148,45.4,23,574,187,735,254.1,161,8,1296,37,2,0,Robert Lewandowski,FC Bayern München,41789,2672,germany,2122
30,48,34.78,268,38,49.35,529,413,894,81.87,4,21.05,15,26,5,0,0,0,,6,6,18,0,7,26,0,0,23,25,108,0,0,,,23,0,22.22,,12,17,48,41,7,11,1,,71,43.29,0,0,2,198,12,70,4,24,2081,7,,0,0,0,0,0.0,0,0,0,0,394,13,0,7.41,0,8,0,0,0,0,0,0,173.42,0.0,4,40,14,13,23,21,47.73,0,30,20,66.67,70,60,44,138,75,40.98,77,773,457,1092,192.7,54,7,1578,20,1,0,Jonas Hofmann,Borussia M'gladbach,142390,2527,germany,2122
40,14,22.22,273,30,75.0,456,196,638,78.67,7,23.33,23,24,10,0,0,0,,15,6,10,1,2,24,0,0,34,18,120,0,0,,,15,0,19.44,,7,17,34,31,3,6,1,,105,51.98,0,0,0,173,13,61,1,22,1862,10,,0,2,0,0,0.0,0,0,0,1,373,18,0,7.36,0,6,0,0,0,0,0,0,266.0,0.0,1,22,14,13,13,55,64.71,0,25,10,40.0,59,67,85,63,112,48.28,40,643,231,811,176.7,36,7,1250,25,2,0,Florian Wirtz,Bayer 04 Leverkusen,1019322,2681,germany,2122
106,1,11.11,190,143,47.67,504,889,1392,80.65,109,74.66,37,32,1,0,0,0,,2,5,5,9,146,32,0,0,15,15,109,1,0,,,32,0,11.11,,4,5,37,32,5,3,1,,130,64.36,2,0,2,334,56,12,2,32,2788,1,,0,0,0,0,0.0,0,0,0,0,405,4,0,7.35,0,0,0,0,0,0,0,0,697.0,0.0,0,29,7,15,16,23,65.71,0,72,43,59.72,12,231,35,9,239,68.68,300,740,995,1726,235.2,36,9,2287,35,5,0,Nico Schlotterbeck,SC Freiburg,940871,2538,germany,2122
32,16,20.25,386,26,59.09,676,338,998,82.0,7,20.59,27,34,5,0,0,0,,17,11,18,3,2,34,0,0,21,35,135,0,0,,,11,0,20.59,,14,19,28,25,3,14,0,,131,54.81,0,0,3,219,14,49,5,25,2190,15,,0,1,0,0,0.0,0,0,0,0,428,39,0,7.33,0,9,0,0,0,0,0,0,156.43,0.0,0,51,17,22,28,63,60.58,0,47,31,65.96,48,57,104,79,138,50.55,44,916,380,1217,249.3,68,8,1782,21,0,0,Serge Gnabry,FC Bayern München,187433,2672,germany,2122
48,19,21.35,457,26,39.39,756,320,1057,76.98,31,35.23,57,32,18,0,0,0,,22,11,10,3,12,32,0,0,26,38,141,0,0,,,11,0,14.55,,8,26,31,27,4,8,0,,70,45.45,0,0,2,316,15,86,4,32,2577,12,,1,2,0,0,0.0,0,0,0,0,490,31,0,7.33,0,4,0,0,0,0,0,0,322.13,0.0,0,46,9,17,28,13,56.52,0,35,20,57.14,84,112,23,89,101,41.74,66,1097,365,1373,234.5,55,5,1850,22,0,0,Thomas Müller,FC Bayern München,35166,2672,germany,2122
