accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
8,0,0.0,2,9,64.29,5,17,22,81.48,0,0.0,0,1,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,1,1,0,0,0,,0,0.0,0,0,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,5,0,1,7.9,0,0,0,4,3,7,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,11,0,0,0,0.0,14,9,18,27,7.9,0,0,44,0,0,0,Marco Festa,Crotone,176765,2718,italy,2021
30,11,40.74,150,26,66.67,248,102,339,84.75,0,0.0,2,10,2,0,0,0,,2,1,7,0,1,10,0,0,10,6,34,0,0,,,10,0,13.79,,4,6,15,13,2,2,2,,37,53.62,0,0,0,61,1,19,1,9,670,0,,0,0,0,0,0.0,0,0,0,0,109,15,0,7.63,0,3,0,0,0,0,0,0,167.5,0.0,3,12,17,10,12,15,68.18,0,3,2,66.67,19,55,22,27,37,52.11,39,318,109,400,76.3,29,2,553,19,0,0,Papu Gómez,Atalanta,33381,2686,italy,2021
117,25,22.12,553,113,68.9,981,469,1425,83.68,2,28.57,5,35,7,0,0,1,,12,10,40,6,5,35,0,1,34,59,142,0,1,,,9,1,13.19,,19,26,30,27,3,12,7,,130,48.69,0,0,7,278,37,64,2,33,2871,11,,0,1,8,0,87.5,0,7,0,0,536,20,0,7.55,1,17,0,0,0,0,0,0,151.11,7.69,13,70,74,56,48,65,61.9,0,26,18,69.23,63,201,105,113,132,48.18,164,1292,524,1703,264.2,144,11,2428,39,2,0,Lorenzo Insigne,Napoli,106258,2714,italy,2021
124,72,27.48,595,162,61.36,1029,509,1466,79.76,6,35.29,11,36,9,0,0,0,,20,1,23,6,12,36,0,1,56,45,196,0,1,,,33,0,10.98,,9,18,56,49,7,7,2,,287,60.81,0,0,5,372,17,82,0,36,3204,1,,0,0,3,1,100.0,0,3,0,0,803,16,0,7.53,2,9,0,0,0,0,0,0,356.0,0.0,10,16,66,37,22,122,67.03,0,41,24,58.54,82,221,182,262,293,59.92,264,1526,574,1838,271.0,82,8,2872,125,3,1,Rodrigo de Paul,Udinese,249399,2695,italy,2021
15,12,18.75,343,18,81.82,633,189,810,82.07,23,47.92,25,33,3,0,0,2,,5,27,50,7,15,33,0,0,32,12,120,0,1,,,17,0,17.26,,29,32,29,26,3,28,1,,105,52.5,7,0,6,177,5,37,6,31,2803,31,,0,1,8,0,75.0,0,6,0,1,372,23,0,7.45,0,16,0,0,0,0,0,0,96.66,0.0,17,104,64,49,69,58,61.05,0,6,3,50.0,36,35,95,64,128,51.61,22,837,214,987,245.9,168,5,1578,43,3,0,Cristiano Ronaldo,Juventus,750,2687,italy,2021
65,31,26.5,425,61,55.96,727,256,952,80.47,12,27.27,32,30,7,0,0,1,,10,10,39,4,32,30,0,0,31,41,180,0,0,,,43,1,15.04,,17,24,37,33,4,13,4,,130,46.76,0,0,2,231,26,58,17,28,2485,2,,0,0,8,0,87.5,0,7,0,1,446,28,0,7.43,0,0,0,0,0,0,0,0,146.18,10.0,10,54,59,33,41,30,47.62,0,41,21,51.22,58,120,63,117,142,44.1,109,997,303,1183,222.9,113,4,1806,59,4,0,Domenico Berardi,Sassuolo,253367,2793,italy,2021
11,1,6.67,193,12,75.0,304,73,376,72.03,86,65.65,45,19,2,1,0,2,,2,14,20,3,27,19,0,1,11,3,94,1,0,,,33,0,18.52,,15,17,21,18,3,15,0,,38,43.68,3,0,3,146,6,20,4,18,1504,40,,0,0,6,0,50.0,0,3,0,2,218,7,0,7.43,1,8,0,0,0,0,0,0,100.27,0.0,7,62,19,22,39,11,50.0,0,5,4,80.0,20,24,22,15,124,56.88,16,454,83,522,141.1,81,5,793,25,2,0,Zlatan Ibrahimović,Milan,2089,2692,italy,2021
46,56,33.94,319,60,61.86,691,392,1027,82.16,21,42.86,28,33,6,0,0,0,,15,3,20,3,22,33,0,0,21,39,155,0,1,,,42,0,10.14,,7,13,40,33,7,4,3,,128,50.2,0,0,1,223,41,63,2,29,2529,6,,0,2,1,1,100.0,0,1,0,0,456,24,0,7.42,0,5,0,0,0,0,0,0,361.29,0.0,10,31,38,22,27,40,59.7,0,40,24,60.0,61,110,67,165,149,49.01,97,985,430,1250,244.9,69,8,1905,48,10,0,Lorenzo Pellegrini,Roma,555540,2702,italy,2021
72,72,32.58,481,76,69.72,884,344,1156,84.07,17,34.69,32,33,9,0,0,0,,10,1,33,4,16,33,0,0,35,21,138,0,1,,,29,0,4.82,,4,13,32,29,3,4,0,,105,49.76,0,0,6,219,15,100,0,30,2625,4,,0,2,1,0,100.0,0,1,0,1,514,24,0,7.42,0,4,0,0,0,0,0,0,656.25,0.0,16,23,60,27,23,36,61.02,0,26,7,26.92,98,110,59,221,122,46.92,109,1221,375,1375,244.9,83,5,2062,43,4,0,Hakan Çalhanoğlu,Milan,135700,2692,italy,2021
32,12,22.64,334,30,57.69,590,291,869,78.71,13,32.5,27,33,10,0,0,0,,12,8,18,7,8,33,0,0,23,49,167,0,0,,,32,0,16.88,,13,23,43,36,7,11,2,,150,51.72,1,0,2,235,38,48,2,29,2656,9,,0,0,1,0,100.0,0,1,0,1,401,28,0,7.4,0,10,0,0,0,0,0,0,204.31,0.0,1,48,29,26,33,48,56.47,0,58,23,39.66,48,67,85,53,163,49.39,52,819,338,1104,244.3,77,6,1647,44,2,0,Henrikh Mkhitaryan,Roma,37151,2702,italy,2021
2,0,0.0,5,5,83.33,13,13,26,89.66,1,33.33,2,2,0,0,0,0,,0,0,0,1,8,1,0,0,0,0,3,0,0,,,1,0,0.0,,0,0,0,0,0,0,0,,3,75.0,0,0,0,3,0,0,0,1,91,0,,0,0,0,0,0.0,0,0,0,0,4,0,0,7.4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,0,0.0,0,3,0,0,4,57.14,6,15,14,29,7.4,0,0,45,1,0,0,Maximiliano Olivera,Fiorentina,158621,2693,italy,2021
21,4,16.0,177,25,64.1,309,171,476,69.49,85,42.5,115,35,6,0,0,1,,13,6,33,6,19,34,0,0,41,24,260,0,0,,,58,0,12.15,,13,19,47,41,6,13,0,,208,58.92,1,0,1,209,12,37,5,33,2894,21,,0,0,5,1,80.0,0,4,0,3,421,20,0,7.38,0,7,0,0,0,0,0,0,222.62,0.0,8,71,36,34,40,47,58.02,0,30,18,60.0,37,43,81,25,293,52.98,39,496,214,685,250.9,107,5,1361,135,4,0,Andrea Belotti,Torino,220223,2696,italy,2021
50,27,27.84,380,60,64.52,585,140,698,77.47,1,5.26,18,28,9,0,0,0,,20,2,19,0,0,28,0,0,46,16,142,0,1,,,22,0,10.17,,6,15,17,14,3,5,1,,136,52.31,0,0,2,203,2,61,5,17,1530,8,,0,0,2,0,100.0,0,2,0,2,447,19,0,7.38,0,1,0,0,0,0,0,0,255.0,0.0,4,29,30,21,19,57,57.58,0,9,4,44.44,61,94,99,97,137,49.1,93,837,161,901,206.5,59,4,1432,71,2,0,Josip Iličić,Atalanta,41270,2686,italy,2021
49,43,35.25,397,54,66.67,674,165,796,80.08,30,48.39,32,36,12,0,0,0,,19,3,22,0,3,34,0,0,47,15,174,0,0,,,46,1,11.94,,8,20,21,18,3,5,3,,122,46.21,0,0,0,198,2,80,8,22,1893,1,,0,2,1,0,100.0,0,1,0,0,439,26,0,7.37,0,0,0,0,0,0,0,0,236.63,8.33,12,28,39,24,21,51,57.95,0,19,8,42.11,78,92,88,122,152,46.63,81,925,191,994,250.7,67,8,1545,53,3,0,Ruslan Malinovskyi,Atalanta,195850,2686,italy,2021
20,20,24.39,251,17,51.52,385,104,469,74.92,25,34.72,47,36,9,0,0,1,,6,12,12,0,4,35,0,0,50,17,168,0,0,,,18,0,25.29,,22,31,20,18,2,19,3,,93,43.46,0,0,2,157,7,49,7,16,1433,3,,0,2,3,0,66.67,0,2,0,1,375,17,0,7.32,0,15,0,0,0,0,0,0,65.14,0.0,8,59,28,36,39,53,58.89,0,20,9,45.0,47,37,90,82,118,41.26,33,585,123,626,256.1,87,4,1125,20,0,0,Luis Muriel,Atalanta,119242,2686,italy,2021
17,5,26.32,295,16,61.54,394,144,533,72.52,45,42.86,60,36,11,0,0,0,,10,19,19,11,34,36,0,0,49,8,183,0,0,,,34,0,25.0,,24,35,28,22,6,23,1,,112,47.66,1,0,6,202,3,52,16,32,2886,19,,0,0,6,0,100.0,0,6,0,0,416,16,0,7.32,0,6,0,0,0,0,0,0,120.25,0.0,1,82,14,29,48,53,56.99,0,11,1,9.09,52,35,93,19,157,46.18,26,580,174,735,263.4,96,6,1275,48,4,0,Romelu Lukaku,Inter,78893,2697,italy,2021
7,0,0.0,1,20,43.48,11,58,69,71.13,2,100.0,0,3,1,0,0,0,,1,0,0,0,1,3,1,0,0,0,0,0,0,,,0,0,0.0,,0,1,5,5,0,0,0,,0,0.0,0,1,0,28,0,1,0,2,206,0,,0,0,0,0,0.0,0,0,0,0,29,0,1,7.3,0,0,0,10,3,13,0,4,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,13,0,0,2,100.0,46,30,67,97,21.9,0,1,123,0,0,0,Rafael,Spezia,76095,2735,italy,2021
0,0,0.0,0,0,0.0,0,18,18,94.74,0,0.0,0,1,0,0,0,0,,0,0,0,1,2,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,,0,0.0,0,1,0,1,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,1,0,0,7.3,0,0,1,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,1,1,18,19,7.3,0,0,25,0,0,0,Gianluca Pegolo,Sassuolo,43985,2793,italy,2021
101,33,38.37,492,142,73.58,1101,903,1971,89.59,21,42.0,29,33,6,0,0,0,,9,0,13,8,35,33,0,0,17,41,122,0,0,,,34,0,8.0,,2,8,26,21,5,1,1,,77,45.29,0,0,1,229,40,46,1,29,2585,0,,0,1,0,0,0.0,0,0,0,0,331,17,0,7.28,1,1,0,0,0,0,0,0,1292.5,0.0,1,4,21,8,4,10,83.33,0,54,29,53.7,45,174,12,86,98,44.55,193,1313,973,2200,240.4,25,3,2607,13,7,1,Marcelo Brozović,Inter,108800,2697,italy,2021
151,10,24.39,577,168,64.62,1369,1068,2427,88.29,48,51.06,46,34,2,0,0,0,,5,0,14,8,58,34,0,0,33,26,164,1,0,,,52,0,9.76,,4,6,47,42,5,3,1,,156,56.93,0,0,1,322,51,39,0,32,2885,1,,0,1,2,1,100.0,0,2,0,1,450,18,0,7.26,0,4,0,0,0,0,0,0,721.25,0.0,6,12,29,18,9,27,75.0,0,81,47,58.02,38,273,36,41,204,55.43,260,1647,1143,2749,247.0,41,3,3304,48,9,0,Manuel Locatelli,Sassuolo,363860,2793,italy,2021
31,11,21.57,173,41,77.36,302,165,456,80.85,12,40.0,18,22,3,0,0,0,,7,3,8,1,1,22,0,0,33,18,112,0,0,,,14,0,12.9,,4,7,32,27,5,3,1,,128,57.66,0,0,1,108,6,30,3,18,1517,10,,0,2,0,0,0.0,0,0,0,0,270,11,0,7.26,0,1,0,0,0,0,0,0,379.25,0.0,0,17,14,13,10,76,72.38,0,12,6,50.0,28,53,105,51,140,55.56,53,426,189,564,159.8,31,2,962,40,1,0,Adam Ounas,Crotone,818440,2718,italy,2021
76,31,20.67,644,90,59.21,1031,440,1440,81.91,10,45.45,12,34,2,0,0,0,,10,3,19,5,9,34,0,0,39,58,171,0,1,,,19,0,13.04,,9,11,39,34,5,6,3,,130,44.98,1,0,4,318,13,80,0,33,2641,2,,0,0,0,0,0.0,0,0,0,0,595,27,0,7.26,0,8,0,0,0,0,0,0,293.44,0.0,3,31,38,21,29,51,53.68,0,43,24,55.81,80,156,95,150,140,45.02,152,1407,501,1758,246.7,69,6,2408,36,5,0,Luis Alberto,Lazio,111416,2699,italy,2021
21,4,22.22,292,21,55.26,475,170,641,74.02,27,33.33,54,35,6,0,1,3,,11,16,23,6,8,35,0,1,34,15,156,0,0,,,37,0,16.67,,20,26,44,39,5,19,1,,84,45.16,3,0,7,225,6,54,3,34,2866,30,,0,1,8,0,50.0,0,4,0,3,378,22,0,7.25,1,14,0,0,0,0,0,0,143.3,0.0,0,95,25,46,51,27,57.45,0,14,13,92.86,53,43,47,18,111,41.57,38,670,214,866,253.6,120,4,1329,44,3,0,Ciro Immobile,Lazio,45923,2699,italy,2021
133,51,17.53,361,120,60.0,693,343,985,77.01,3,27.27,8,35,8,0,0,0,,8,2,18,1,17,34,0,0,11,32,86,1,0,,,15,0,8.77,,5,13,36,35,1,5,0,,86,52.44,0,0,2,294,9,63,1,28,2511,10,,0,0,2,0,100.0,0,2,0,1,631,18,0,7.21,0,4,0,0,0,0,0,0,502.2,0.0,4,23,34,19,20,29,56.86,0,28,19,67.86,63,254,51,291,89,50.86,200,1158,412,1279,245.0,57,3,1977,29,1,0,Antonio Candreva,Sampdoria,27982,2711,italy,2021
1,0,0.0,0,4,50.0,0,23,23,85.19,0,0.0,0,1,0,0,0,0,,0,0,0,1,2,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,0,0,0,0,0,,0,0.0,0,0,0,4,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,4,0,0,7.2,0,0,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,8,3,24,27,7.2,0,0,37,0,0,0,Karlo Letica,Sampdoria,827372,2711,italy,2021
