accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
113,4,36.36,559,147,60.25,1183,729,1912,88.64,28,58.33,20,28,2,0,0,1,136,4,1,10,5,58,28,0,0,13,21,97,2,3,3.3,2.28,40,0,2.94,0,1,3,23,18,5,1,0,,120,60.91,0,0,2,245,32,36,0,28,2284,0,18,0,0,1,0,0.0,0,0,0,0,298,16,0,7.64,0,1,0,0,0,0,0,0,2284.0,0.0,1,9,25,13,11,6,46.15,0,81,55,67.9,36,200,13,11,148,60.41,244,1363,794,2157,213.8,34,2,2562,35,5,0,Manuel Locatelli,Juventus,363860,2687,italy,2526,20260326
2,0,0.0,1,7,23.33,4,17,21,47.73,2,100.0,0,1,0,0,0,0,13,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,13,0,0,0,0,0,0,0,1.08,0,0.0,0,2,0,23,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,23,0,1,7.6,0,0,0,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6,0,0,2,100.0,30,24,20,44,7.6,0,0,59,0,1,0,Filippo Rinaldi,Parma,1002428,2690,italy,2526,20260326
102,28,27.72,471,151,73.66,1048,706,1754,90.74,9,47.37,10,29,3,0,0,0,171,6,0,5,9,30,29,0,0,11,23,79,0,3,4.52,1.47,19,0,11.76,0,2,5,22,21,1,2,0,,87,55.77,0,0,1,179,38,49,0,28,2461,0,9,0,2,0,0,0.0,0,0,0,0,317,14,0,7.57,0,2,0,0,0,0,0,0,1230.5,0.0,1,5,12,5,7,14,43.75,0,46,25,54.35,47,165,32,101,96,54.86,205,1183,750,1933,219.5,17,6,2346,27,4,0,Luka Modrić,Milan,15466,2692,italy,2526,20260326
18,27,25.23,410,29,64.44,624,237,861,84.41,12,50.0,12,29,6,0,0,1,103,14,3,30,3,6,29,0,0,45,12,144,0,3,7.91,7.75,19,0,11.49,0,10,16,23,20,3,9,1,,135,50.56,0,0,5,159,7,67,1,28,2401,6,0,0,0,2,0,50.0,0,1,0,1,426,20,0,7.52,0,9,0,0,0,0,0,0,240.1,0.0,0,57,30,21,36,69,53.91,0,16,6,37.5,67,39,128,107,147,50.52,45,757,263,1020,218.0,87,9,1650,50,2,0,Kenan Yıldız,Juventus,1149011,2687,italy,2526,20260326
68,83,33.07,416,33,38.37,658,326,984,82.55,2,15.38,11,28,14,0,0,0,103,29,8,16,10,23,28,0,0,9,13,72,0,0,8.63,4.24,34,0,10.53,0,6,20,17,15,2,5,1,,69,53.08,0,0,2,208,24,77,5,24,2232,4,4,0,0,0,0,0.0,0,0,0,0,420,19,0,7.48,0,1,0,0,0,0,0,0,372.0,0.0,5,37,20,23,18,6,46.15,0,44,31,70.45,77,125,13,251,71,49.65,86,810,382,1192,209.5,57,8,1815,19,3,0,Federico Dimarco,Inter,284361,2697,italy,2526,20260326
48,30,38.46,327,63,60.0,642,465,1107,90.66,10,58.82,7,19,2,0,0,1,91,6,1,13,5,13,19,0,0,4,11,49,0,0,3.1,5.53,21,0,17.78,0,8,10,12,10,2,4,4,,40,48.78,0,0,1,114,10,38,1,17,1407,0,4,0,0,5,0,80.0,0,4,0,0,197,8,0,7.47,0,7,0,0,0,0,0,0,175.88,0.0,3,7,38,17,15,4,30.77,0,25,15,60.0,38,81,13,78,50,50.51,105,730,491,1221,142.0,45,4,1488,11,6,0,Hakan Çalhanoğlu,Inter,135700,2697,italy,2526,20260326
8,0,0.0,2,14,28.0,7,52,59,61.46,1,50.0,1,3,0,0,0,0,17,0,0,0,2,3,3,0,0,0,0,2,0,0,0.0,,1,0,0.0,16,0,0,1,1,0,0,0,2.25,0,0.0,0,1,0,37,0,1,0,3,270,0,0,0,0,0,1,0.0,1,0,1,0,37,0,2,7.43,0,0,1,7,2,9,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,14,0,0,1,33.33,50,38,58,96,22.3,0,0,123,0,1,0,Edoardo Motta,Lazio,1518983,2699,italy,2526,20260326
4,0,0.0,5,3,60.0,25,55,80,95.24,0,0.0,1,1,0,0,0,0,6,0,0,0,1,2,1,0,0,0,0,2,0,1,0.03,0.05,1,0,0.0,0,0,0,0,0,0,0,0,,2,66.67,0,0,0,4,2,1,0,1,90,0,2,0,0,0,0,0.0,0,0,0,0,4,0,0,7.4,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0,2,1,50.0,1,5,0,0,2,50.0,5,27,57,84,7.4,1,0,96,0,0,0,Benjamin Pavard,Inter,787505,2697,italy,2526,20260326
73,20,26.32,337,107,52.97,697,736,1433,87.11,48,62.34,29,24,4,0,0,0,92,7,3,3,8,77,24,0,0,1,7,80,0,0,2.66,1.33,40,0,6.25,32,1,5,18,14,4,1,0,,68,57.14,1,0,2,212,22,23,0,24,2016,0,4,0,0,0,0,0.0,0,0,0,0,336,6,0,7.35,0,0,0,0,0,0,0,0,2016.0,0.0,0,14,2,6,7,6,60.0,0,44,34,77.27,23,145,10,76,116,59.18,202,864,781,1645,176.3,16,4,2143,18,6,0,Alessandro Bastoni,Inter,826188,2697,italy,2526,20260326
31,0,0.0,33,204,40.32,121,499,620,66.88,12,100.0,0,30,0,0,0,0,213,0,0,0,11,30,30,0,0,0,0,1,0,0,0.05,,1,0,0.0,187,0,0,27,22,5,0,0,6.38,4,80.0,0,14,0,307,0,0,0,30,2700,0,0,0,0,0,1,0.0,3,0,2,0,313,0,13,7.33,0,0,18,64,26,91,0,21,0.0,0.0,0,0,0,0,0,1,100.0,17,0,0,0.0,0,55,1,0,16,94.12,506,369,558,927,220.0,0,4,1205,5,0,0,Marco Carnesecchi,Atalanta,865646,2686,italy,2526,20260326
