accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
88,35,27.78,1069,71,73.96,1672,277,1914,85.14,7,41.18,10,35,9,0,0,2,,22,11,55,11,0,35,0,0,87,11,217,2,0,,,22,3,15.31,,30,39,35,29,6,22,8,,277,57.23,2,0,8,334,6,81,27,33,3023,7,,0,4,5,0,60.0,0,3,0,0,694,16,0,8.33,0,1,0,0,0,0,0,0,100.77,7.5,40,93,103,50,91,160,64.52,0,18,10,55.56,77,164,248,126,284,56.69,96,2076,298,2248,291.6,196,22,3207,99,4,0,Lionel Messi,Barcelona,12994,2817,spain,2021
1,0,0.0,0,9,36.0,8,6,14,45.16,1,100.0,0,1,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,,,0,0,0.0,,0,0,2,2,0,0,0,,0,0.0,0,0,0,17,0,0,0,1,90,0,,0,0,0,0,0.0,2,0,1,0,17,0,1,8.0,0,0,0,5,2,7,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,1,100.0,25,19,12,31,8.0,0,1,40,0,0,0,Ángel Jiménez,Granada,1089219,33779,spain,2021
182,37,29.37,624,229,87.07,1228,701,1892,93.62,12,60.0,8,28,10,0,0,0,,11,3,5,7,9,28,0,0,8,33,78,0,3,,,27,1,8.82,,3,13,21,19,2,0,3,,89,55.97,0,0,0,129,15,67,0,24,2121,1,,0,0,0,0,0.0,0,0,0,0,253,20,0,7.68,0,3,0,0,0,0,0,0,707.0,100.0,1,8,26,17,12,16,88.89,0,42,22,52.38,67,226,18,126,101,56.42,263,1415,732,2021,214.9,34,8,2384,31,6,0,Toni Kroos,Real Madrid,26502,2829,spain,2021
39,14,40.0,280,58,61.7,497,253,736,69.7,62,47.69,68,33,7,0,0,0,,14,10,19,4,25,33,0,0,59,27,233,0,0,,,44,0,23.71,,23,30,34,32,2,21,2,,153,48.11,0,0,5,320,15,44,19,30,2682,19,,0,0,10,0,100.0,0,10,0,0,551,20,0,7.56,0,4,0,0,0,0,0,0,116.61,0.0,0,82,15,31,47,71,62.28,0,24,15,62.5,44,81,114,35,215,47.99,94,772,319,1056,249.5,97,10,1687,58,3,0,Gerard Moreno,Villarreal,146866,2819,spain,2021
36,7,25.0,416,49,80.33,689,283,965,78.84,17,27.42,45,33,13,0,0,0,,16,7,7,6,20,33,0,0,27,21,141,0,0,,,24,1,28.0,,14,27,44,38,6,12,2,,123,56.16,0,0,3,259,16,64,9,33,2870,13,,0,2,5,1,100.0,0,5,0,0,409,24,0,7.46,0,5,0,0,0,0,0,0,205.0,16.67,6,40,10,16,27,60,70.59,0,11,3,27.27,62,56,85,28,140,49.82,61,924,328,1224,246.3,50,8,1688,53,9,0,Iago Aspas,Celta Vigo,19356,2821,spain,2021
29,5,27.78,459,43,82.69,755,273,1023,84.62,26,38.81,41,34,9,0,0,0,,10,19,25,10,24,34,0,0,39,10,125,0,0,,,17,0,18.7,,23,32,24,23,1,19,4,,72,46.15,6,0,7,186,8,38,5,33,2901,23,,0,0,1,0,100.0,0,1,0,0,328,18,0,7.44,0,12,0,0,0,0,0,0,126.13,0.0,6,91,32,43,55,39,62.9,0,8,6,75.0,38,46,62,18,98,43.95,52,925,302,1209,253.0,123,7,1639,25,2,0,Karim Benzema,Real Madrid,3306,2829,spain,2021
4,2,50.0,88,0,0.0,138,29,165,83.76,2,33.33,4,7,0,0,0,0,,3,1,1,0,0,7,0,0,8,8,37,0,0,,,6,0,28.57,,4,4,5,5,0,4,0,,31,48.44,0,0,0,32,3,9,0,6,436,2,,0,0,0,0,0.0,0,0,0,2,70,4,0,7.34,0,4,0,0,0,0,0,0,109.0,0.0,0,12,2,6,7,11,47.83,0,9,4,44.44,9,5,23,4,33,47.14,0,166,35,197,51.4,14,2,299,11,1,0,Ansu Fati,Barcelona,962883,2817,spain,2021
141,42,37.5,696,177,74.68,1472,977,2407,90.22,24,50.0,24,36,4,0,0,0,,7,0,5,5,18,36,0,0,21,48,136,0,3,,,32,1,11.11,,3,7,43,39,4,0,3,,162,59.12,0,0,0,261,45,44,0,36,3119,0,,0,1,0,0,0.0,0,0,0,0,399,16,0,7.34,0,3,0,0,0,0,0,0,1039.67,16.67,6,7,20,13,9,37,75.51,0,65,40,61.54,43,200,49,112,186,57.76,237,1728,1052,2668,264.2,27,4,3187,60,5,0,Dani Parejo,Villarreal,39182,2819,spain,2021
143,15,18.99,667,164,79.23,1239,724,1948,88.14,19,47.5,21,35,3,0,0,0,,7,0,16,6,11,35,0,0,33,23,124,0,1,,,30,0,11.11,,5,8,23,21,2,5,0,,125,54.82,1,0,1,262,48,50,2,32,2743,1,,0,0,0,0,0.0,0,0,0,0,428,31,0,7.31,0,2,0,0,0,0,0,0,548.6,0.0,1,17,28,14,15,55,74.32,0,37,23,62.16,50,198,74,79,144,53.73,207,1493,796,2210,255.8,45,7,2703,33,4,0,Luka Modrić,Real Madrid,15466,2829,spain,2021
73,34,32.38,378,66,45.52,698,519,1183,79.4,41,63.08,24,28,6,0,0,0,,7,0,1,16,47,28,0,0,7,26,92,0,1,,,30,0,0.0,,0,6,13,13,0,0,0,,94,58.02,0,0,0,307,40,35,0,28,2477,6,,0,1,0,0,0.0,0,0,0,0,450,8,0,7.29,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,1,1,19,76.0,0,61,39,63.93,34,145,25,105,135,59.47,145,998,597,1490,204.2,3,1,2121,15,0,0,Kieran Trippier,Atlético Madrid,69256,2836,spain,2021
