accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
0,0,0.0,0,0,0.0,0,29,29,82.86,0,0.0,0,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,0.53,0,0.0,0,0,0,6,0,0,0,1,90,0,0.0,0,0,0,0,0.0,0,0,0,0,6,0,0,7.8,0,0,2,1,2,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0,0,0,0,0.0,5,5,30,35,7.8,0,0,40,0,0,0,Devis Vásquez,Beşiktaş JK,925285,3050,turkey,2526,20260428
0,0,0.0,2,0,0.0,2,6,8,57.14,0,0.0,4,2,0,0,0,0,1,0,1,0,0,1,2,0,0,2,0,11,0,0,0.01,0.33,4,0,66.67,0,2,2,2,2,0,1,1,,6,46.15,0,0,0,6,0,0,2,1,90,0,0.0,0,0,0,0,0.0,0,0,0,0,13,0,0,7.75,0,0,0,0,0,0,0,0,45.0,0.0,0,2,1,0,3,1,50.0,0,2,1,50.0,0,0,2,1,6,35.29,0,6,8,14,15.5,3,1,32,3,1,0,Bachir Gueye,Antalyaspor,2266453,3056,turkey,2526,20260428
73,48,35.04,540,65,60.75,846,359,1205,85.7,8,32.0,17,27,7,0,0,0,111,14,1,32,6,18,27,0,2,26,11,90,0,0,8.02,5.97,22,1,8.75,0,7,14,26,19,7,5,2,,95,56.55,0,0,4,201,8,83,1,27,2294,1,3.0,0,2,1,0,100.0,0,1,0,1,382,21,0,7.59,2,6,0,0,0,0,0,0,327.71,6.67,15,26,54,19,29,15,51.72,0,30,16,53.33,81,127,29,137,103,53.37,107,1024,382,1406,204.9,80,10,1916,50,5,0,Orkun Kökçü,Beşiktaş JK,907461,3050,turkey,2526,20260428
3,0,0.0,1,8,33.33,6,36,42,71.19,1,100.0,0,2,0,0,0,0,9,0,0,0,1,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,10,0,0,1,1,0,0,0,0.95,1,100.0,0,1,0,17,0,0,0,2,180,0,0.0,0,0,0,0,0.0,0,0,0,0,17,0,1,7.45,0,0,0,7,2,9,0,5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,5,0,0,2,100.0,24,18,41,59,14.9,0,0,79,1,1,0,Tarık Çetin,Fenerbahçe,913985,3052,turkey,2526,20260428
29,3,13.64,211,48,73.85,426,356,782,90.51,10,50.0,10,14,1,0,0,0,83,2,0,5,3,23,14,0,0,6,10,41,0,0,1.91,0.73,10,0,8.33,0,1,2,19,19,0,1,0,,65,67.71,0,0,1,82,16,13,0,14,1253,1,9.0,0,0,0,0,0.0,0,0,0,0,130,8,0,7.41,0,1,0,0,0,0,0,0,1253.0,0.0,1,6,6,5,2,11,68.75,0,15,12,80.0,13,41,16,22,75,64.66,65,494,370,864,103.8,12,4,1091,39,4,0,Mattéo Guendouzi,Fenerbahçe,852404,3052,turkey,2526,20260428
1,0,0.0,0,3,23.08,2,22,24,70.59,0,0.0,0,1,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,0.08,0,0.0,0,0,0,10,0,0,0,1,90,0,0.0,0,0,0,0,0.0,0,0,0,0,10,0,0,7.4,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,13,10,24,34,7.4,0,0,37,0,0,0,Deniz Dilmen,Başakşehir FK,1065508,3086,turkey,2526,20260428
17,1,100.0,57,36,52.94,243,526,769,91.44,26,49.06,27,14,1,0,0,0,90,1,2,2,3,45,13,0,0,2,12,57,1,1,0.48,1.65,15,0,21.43,0,3,4,13,13,0,3,0,,54,64.29,3,0,0,72,22,5,0,13,1130,1,15.0,0,0,0,1,0.0,0,0,0,0,92,1,0,7.35,0,0,0,0,0,0,0,0,376.67,0.0,0,13,1,7,5,3,60.0,0,29,14,48.28,5,44,5,1,80,58.39,68,289,552,841,95.5,14,2,1051,22,0,0,Chibuike Nwaiwu,Trabzonspor,1481134,3051,turkey,2526,20260428
27,20,16.13,325,26,60.47,521,180,701,86.54,3,75.0,1,24,12,0,0,0,97,13,6,24,2,7,24,0,0,18,11,54,0,0,4.44,6.09,13,0,16.67,0,11,23,22,19,3,8,3,,38,41.76,0,0,4,109,10,51,9,22,1876,0,1.0,0,0,0,1,0.0,0,0,0,0,276,20,0,7.34,0,2,0,0,0,0,0,0,170.55,0.0,3,28,38,17,25,17,58.62,0,14,9,64.29,51,44,29,124,41,43.16,43,616,194,810,176.2,66,6,1181,7,2,0,Marco Asensio,Fenerbahçe,361004,3052,turkey,2526,20260428
76,0,0.0,40,206,38.43,125,721,846,71.51,12,100.0,0,30,1,0,0,0,246,2,0,0,11,24,30,3,0,0,1,1,1,0,0.6,,0,0,0.0,153,0,1,31,25,6,0,0,4.58,6,85.71,0,22,0,337,0,2,0,30,2700,0,0.0,0,0,0,0,0.0,3,0,0,0,339,0,6,7.34,0,0,21,59,34,94,2,22,0.0,0.0,0,0,0,0,0,1,100.0,20,2,0,0.0,2,137,1,0,18,94.74,536,416,767,1183,220.2,0,4,1454,7,0,0,Muhammed Şengezer,Başakşehir FK,827418,3086,turkey,2526,20260428
1,0,0.0,11,0,0.0,14,3,17,62.96,14,63.64,8,3,0,0,0,0,3,0,0,0,0,2,3,0,0,1,1,21,0,0,0.04,0.28,7,0,33.33,0,1,1,0,0,0,1,0,,12,48.0,0,0,0,10,0,1,1,1,124,0,0.0,0,0,0,0,0.0,0,0,0,0,26,2,0,7.3,0,0,0,0,0,0,0,0,124.0,0.0,0,3,0,1,2,3,42.86,0,4,4,100.0,1,1,7,2,26,55.32,1,24,3,27,21.9,3,0,65,5,0,0,Emersonn,Göztepe,1128844,3054,turkey,2526,20260428
