player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Harry Kane,Bayern Munich,F,32,England,germany,2526,480769.0,25000000.0
Manuel Neuer,Bayern Munich,K,39,Germany,germany,2526,403846.0,21000000.0
Jamal Musiala,Bayern Munich,F,22,Germany,germany,2526,399038.0,20750000.0
Joshua Kimmich,Bayern Munich,M,30,Germany,germany,2526,384615.0,20000000.0
Alphonso Davies,Bayern Munich,D,25,Canada,germany,2526,288462.0,15000000.0
Luis Díaz,Bayern Munich,F,29,Colombia,germany,2526,269231.0,14000000.0
Michael Olise,Bayern Munich,F,24,France,germany,2526,259808.0,13510000.0
Leon Goretzka,Bayern Munich,M,30,Germany,germany,2526,250000.0,13000000.0
Serge Gnabry,Bayern Munich,F,30,Germany,germany,2526,250000.0,13000000.0
Min-jae Kim,Bayern Munich,D,29,South Korea,germany,2526,230769.0,12000000.0
Jonathan Tah,Bayern Munich,D,29,Germany,germany,2526,230769.0,12000000.0
Niklas Süle,Borussia Dortmund,D,30,Germany,germany,2526,192308.0,10000000.0
Dayot Upamecano,Bayern Munich,D,27,France,germany,2526,192308.0,10000000.0
Serhou Guirassy,Borussia Dortmund,F,29,Guinea,germany,2526,181346.0,9430000.0
Gregor Kobel,Borussia Dortmund,K,28,Switzerland,germany,2526,174231.0,9060000.0
Konrad Laimer,Bayern Munich,D,28,Austria,germany,2526,173077.0,9000000.0
Alexander Nübel,Bayern Munich,K,28,Germany,germany,2526,153846.0,8000000.0
Raphaël Guerreiro,Bayern Munich,D,32,Portugal,germany,2526,153846.0,8000000.0
Emre Can,Borussia Dortmund,D,32,Germany,germany,2526,153846.0,8000000.0
Nicolas Jackson,Bayern Munich,F,24,Senegal,germany,2526,145192.0,7550000.0
Patrik Schick,Bayer Leverkusen,F,30,Czech Republic,germany,2526,145192.0,7550000.0
Benjamin Henrichs,Leipzig,D,28,Germany,germany,2526,145192.0,7550000.0
David Raum,Leipzig,D,27,Germany,germany,2526,145192.0,7550000.0
