player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Ousmane Dembélé,PSG,F,27,France,france,2425,346154.0,18000000.0
Khvicha Kvaratskhelia,PSG,F,23,Georgia,france,2425,314615.0,16360000.0
Marquinhos,PSG,D,30,Brazil,france,2425,258654.0,13450000.0
Lucas Hernández,PSG,D,28,France,france,2425,253846.0,13200000.0
Achraf Hakimi,PSG,D,26,Morocco,france,2425,253846.0,13200000.0
Gianluigi Donnarumma,PSG,K,25,Italy,france,2425,244808.0,12730000.0
Warren Zaïre-Emery,PSG,M,18,France,france,2425,219231.0,11400000.0
Vitinha,PSG,M,24,Portugal,france,2425,209615.0,10900000.0
Nuno Mendes,PSG,D,22,Portugal,france,2425,192308.0,10000000.0
Milan Skriniar,PSG,D,29,Slovakia,france,2425,157308.0,8180000.0
Presnel Kimpembe,PSG,D,29,France,france,2425,147692.0,7680000.0
Marco Asensio,PSG,F,28,Spain,france,2425,139808.0,7270000.0
Bradley Barcola,PSG,F,22,France,france,2425,126923.0,6600000.0
Adrien Rabiot,Marseille,M,29,France,france,2425,122308.0,6360000.0
Corentin Tolisso,Lyon,M,30,France,france,2425,122308.0,6360000.0
Pierre-Emile Højbjerg,Marseille,M,29,Denmark,france,2425,118846.0,6180000.0
Désiré Doué,PSG,F,19,France,france,2425,115385.0,6000000.0
Alexandre Lacazette,Lyon,F,33,France,france,2425,115385.0,6000000.0
Gonçalo Ramos,PSG,F,23,Portugal,france,2425,105769.0,5500000.0
Fabián Ruiz,PSG,M,28,Spain,france,2425,104808.0,5450000.0
Tanguy Ndombélé,Nice,M,28,France,france,2425,104808.0,5450000.0
Mason Greenwood,Marseille,F,23,Jamaica,france,2425,104808.0,5450000.0
Ismaël Bennacer,Marseille,M,27,Algeria,france,2425,104808.0,5450000.0
Geoffrey Kondogbia,Marseille,M,31,Central African Republic,france,2425,104808.0,5450000.0
Moussa Niakhaté,Lyon,D,28,Senegal,france,2425,104808.0,5450000.0
Seko Fofana,Rennes,M,29,Cote d'Ivoire,france,2425,104808.0,5450000.0
Saïd Benrahma,Lyon,F,29,Algeria,france,2425,97885.0,5090000.0
Brice Samba,Rennes,K,30,France,france,2425,97885.0,5090000.0
Morgan Sanson,Nice,M,30,France,france,2425,97885.0,5090000.0
João Neves,PSG,M,20,Portugal,france,2425,92692.0,4820000.0
Nemanja Matic,Lyon,M,36,Serbia,france,2425,92692.0,4820000.0
Randal Kolo Muani,PSG,F,26,France,france,2425,87500.0,4550000.0
Jonathan Clauss,Nice,D,32,France,france,2425,87500.0,4550000.0
