player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Cristiano Ronaldo,Juventus,F,35,Portugal,italy,2021,1104038.0,57410000.0
Edin Dzeko,Roma,F,34,Bosnia-Herzegovina,italy,2021,267115.0,13890000.0
Paulo Dybala,Juventus,F,26,Argentina,italy,2021,260000.0,13520000.0
Wojciech Szczesny,Juventus,K,30,Poland,italy,2021,231538.0,12040000.0
Leonardo Bonucci,Juventus,D,33,Italy,italy,2021,231538.0,12040000.0
Gianluigi Donnarumma,AC Milan,K,21,Italy,italy,2021,213654.0,11110000.0
Sami Khedira,Juventus,M,33,Germany,italy,2021,213654.0,11110000.0
Kalidou Koulibaly,Napoli,D,29,Senegal,italy,2021,213654.0,11110000.0
Alex Sandro,Juventus,D,29,Brazil,italy,2021,213654.0,11110000.0
Matthijs de Ligt,Juventus,D,21,Netherlands,italy,2021,197308.0,10260000.0
Christian Eriksen,Inter Milan,F,28,Denmark,italy,2021,185000.0,9620000.0
Romelu Lukaku,Inter Milan,F,27,Belgium,italy,2021,185000.0,9620000.0
Juan Cuadrado,Juventus,D,32,Colombia,italy,2021,178077.0,9260000.0
Federico Chiesa,Juventus,F,22,Italy,italy,2021,178077.0,9260000.0
Ivan Perisic,Inter Milan,F,31,Croatia,italy,2021,178077.0,9260000.0
Zlatan Ibrahimovic,AC Milan,F,39,Sweden,italy,2021,172500.0,8970000.0
Adrien Rabiot,Juventus,M,25,France,italy,2021,172500.0,8970000.0
Aaron Ramsey,Juventus,M,29,Wales,italy,2021,172500.0,8970000.0
Alexis Sánchez,Inter Milan,F,31,Chile,italy,2021,172500.0,8970000.0
Lorenzo Insigne,Napoli,F,29,Italy,italy,2021,163846.0,8520000.0
Javier Pastore,Roma,F,31,Argentina,italy,2021,160192.0,8330000.0
Radja Nainggolan,Inter Milan,F,32,Belgium,italy,2021,160192.0,8330000.0
Arturo Vidal,Inter Milan,M,33,Chile,italy,2021,160192.0,8330000.0
Dries Mertens,Napoli,F,33,Belgium,italy,2021,160192.0,8330000.0
Radja Nainggolan,Cagliari,F,32,Belgium,italy,2021,160192.0,8330000.0
Federico Bernardeschi,Juventus,F,26,Italy,italy,2021,142500.0,7410000.0
Konstantinos Manolas,Napoli,D,29,Greece,italy,2021,142500.0,7410000.0
Ciro Immobile,Lazio,F,30,Italy,italy,2021,142500.0,7410000.0
Stefan de Vrij,Inter Milan,D,28,Netherlands,italy,2021,135385.0,7040000.0
Alessio Romagnoli,AC Milan,D,25,Italy,italy,2021,124615.0,6480000.0
Stephan El Shaarawy,Roma,F,28,Italy,italy,2021,124615.0,6480000.0
Giorgio Chiellini,Juventus,D,36,Italy,italy,2021,124615.0,6480000.0
Daniele Rugani,Cagliari,D,26,Italy,italy,2021,124615.0,6480000.0
Piotr Zielinski,Napoli,M,26,Poland,italy,2021,124615.0,6480000.0
Marcelo Brozovic,Inter Milan,M,27,Croatia,italy,2021,124615.0,6480000.0
Álvaro Morata,Juventus,F,27,Spain,italy,2021,123269.0,6410000.0
Arthur,Juventus,M,24,Brazil,italy,2021,123269.0,6410000.0
Achraf Hakimi,Inter Milan,M,21,Morocco,italy,2021,123269.0,6410000.0
Samir Handanovic,Inter Milan,K,36,Slovenia,italy,2021,114038.0,5930000.0
Sergej Milinkovic-Savic,Lazio,M,25,Serbia,italy,2021,114038.0,5930000.0
Jordan Veretout,Roma,M,27,France,italy,2021,106923.0,5560000.0
Aleksandar Kolarov,Inter Milan,D,34,Serbia,italy,2021,106923.0,5560000.0
Leonardo Spinazzola,Roma,D,27,Italy,italy,2021,106923.0,5560000.0
Milan Skriniar,Inter Milan,D,25,Slovakia,italy,2021,106923.0,5560000.0
Alessandro Bastoni,Inter Milan,D,21,Italy,italy,2021,99808.0,5190000.0
Victor Osimhen,Napoli,F,21,Nigeria,italy,2021,98654.0,5130000.0
Danilo,Juventus,D,29,Brazil,italy,2021,98654.0,5130000.0
Franck Ribéry,Fiorentina,F,37,France,italy,2021,98654.0,5130000.0
Hirving Lozano,Napoli,F,25,Mexico,italy,2021,98654.0,5130000.0
Chris Smalling,Roma,D,30,England,italy,2021,93654.0,4870000.0
Nicolò Barella,Inter Milan,M,23,Italy,italy,2021,89038.0,4630000.0
Lautaro Martínez,Inter Milan,F,23,Argentina,italy,2021,89038.0,4630000.0
Hakan Calhanoglu,AC Milan,F,26,Turkey,italy,2021,89038.0,4630000.0
Dejan Kulusevski,Juventus,F,20,Sweden,italy,2021,89038.0,4630000.0
Amadou Diawara,Roma,M,23,Guinea,italy,2021,89038.0,4630000.0
Rodrigo Bentancur,Juventus,M,23,Uruguay,italy,2021,89038.0,4630000.0
Federico Fazio,Roma,D,33,Argentina,italy,2021,89038.0,4630000.0
Matías Vecino,Inter Milan,M,29,Uruguay,italy,2021,89038.0,4630000.0
Francesco Acerbi,Lazio,D,32,Italy,italy,2021,89038.0,4630000.0
Joaquín Correa,Lazio,F,26,Argentina,italy,2021,89038.0,4630000.0
Luis Alberto,Lazio,F,28,Spain,italy,2021,89038.0,4630000.0
Arkadiusz Milik,Napoli,F,26,Poland,italy,2021,89038.0,4630000.0
Nicolò Zaniolo,Roma,F,21,Italy,italy,2021,89038.0,4630000.0
Ante Rebic,AC Milan,F,27,Croatia,italy,2021,86346.0,4490000.0
Henrikh Mkhitaryan,Roma,F,31,Armenia,italy,2021,86346.0,4490000.0
Faouzi Ghoulam,Napoli,D,29,Algeria,italy,2021,85385.0,4440000.0
Giovanni Di Lorenzo,Napoli,D,27,Italy,italy,2021,81923.0,4260000.0
Lucas Leiva,Lazio,M,33,Brazil,italy,2021,81923.0,4260000.0
Lorenzo Pellegrini,Roma,M,24,Italy,italy,2021,81923.0,4260000.0
Kevin Strootman,Genoa,M,30,Netherlands,italy,2021,81346.0,4230000.0
Matteo Darmian,Inter Milan,D,30,Italy,italy,2021,78846.0,4100000.0
Matteo Politano,Napoli,F,27,Italy,italy,2021,78269.0,4070000.0
Rick Karsdorp,Roma,D,25,Netherlands,italy,2021,78269.0,4070000.0
José Callejón,Fiorentina,F,33,Spain,italy,2021,78269.0,4070000.0
Franck Kessié,AC Milan,M,23,Cote d'Ivoire,italy,2021,78269.0,4070000.0
Juan Jesus,Roma,D,29,Brazil,italy,2021,78269.0,4070000.0
Mário Rui,Napoli,D,29,Portugal,italy,2021,74808.0,3890000.0
Pau López,Roma,K,25,Spain,italy,2021,74038.0,3850000.0
Pedro,Roma,F,33,Spain,italy,2021,74038.0,3850000.0
Ashley Young,Inter Milan,M,35,England,italy,2021,74038.0,3850000.0
Diego Godín,Cagliari,D,34,Uruguay,italy,2021,74038.0,3850000.0
Andrea Belotti,Torino,F,26,Italy,italy,2021,71154.0,3700000.0
Mateo Musacchio,AC Milan,D,30,Argentina,italy,2021,71154.0,3700000.0
Andrea Conti,Parma,D,26,Italy,italy,2021,71154.0,3700000.0
Papu Gómez,Atalanta,F,32,Argentina,italy,2021,71154.0,3700000.0
Pepe Reina,Lazio,K,38,Spain,italy,2021,71154.0,3700000.0
Mateo Musacchio,Lazio,D,30,Argentina,italy,2021,71154.0,3700000.0
Felipe Caicedo,Lazio,F,32,Ecuador,italy,2021,71154.0,3700000.0
Andrea Conti,AC Milan,D,26,Italy,italy,2021,71154.0,3700000.0
Stefano Sensi,Inter Milan,M,25,Italy,italy,2021,71154.0,3700000.0
Gianluca Mancini,Roma,D,24,Italy,italy,2021,71154.0,3700000.0
Danilo D'Ambrosio,Inter Milan,D,32,Italy,italy,2021,71154.0,3700000.0
Andrea Pinamonti,Inter Milan,F,21,Italy,italy,2021,71154.0,3700000.0
Salvatore Sirigu,Torino,K,33,Italy,italy,2021,71154.0,3700000.0
Bruno Peres,Roma,D,30,Brazil,italy,2021,64038.0,3330000.0
Duván Zapata,Atalanta,F,29,Colombia,italy,2021,64038.0,3330000.0
Josip Ilicic,Atalanta,F,32,Slovenia,italy,2021,64038.0,3330000.0
Andrea Petagna,Napoli,F,25,Italy,italy,2021,64038.0,3330000.0
Andrea Ranocchia,Inter Milan,D,32,Italy,italy,2021,64038.0,3330000.0
Bryan Cristante,Roma,M,25,Italy,italy,2021,64038.0,3330000.0
Mario Mandzukic,AC Milan,F,34,Croatia,italy,2021,64038.0,3330000.0
Domenico Berardi,Sassuolo,F,26,Italy,italy,2021,64038.0,3330000.0
Merih Demiral,Juventus,D,22,Turkey,italy,2021,64038.0,3330000.0
Marash Kumbulla,Roma,D,20,Albania,italy,2021,64038.0,3330000.0
Fernando Llorente,Napoli,F,35,Spain,italy,2021,61731.0,3210000.0
Fernando Llorente,Udinese,F,35,Spain,italy,2021,61731.0,3210000.0
Andreas Pereira,Lazio,F,24,Brazil,italy,2021,61731.0,3210000.0
Weston McKennie,Juventus,M,22,United States,italy,2021,61731.0,3210000.0
Diego Demme,Napoli,M,28,Germany,italy,2021,61731.0,3210000.0
Kamil Glik,Benevento,D,32,Poland,italy,2021,61731.0,3210000.0
Simone Verdi,Torino,F,28,Italy,italy,2021,60577.0,3150000.0
