player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Cristiano Ronaldo,Manchester United,F,36,Portugal,england,2122,596613.0,31023864.0
Kevin De Bruyne,Manchester City,F,30,Belgium,england,2122,463389.0,24096205.0
David de Gea,Manchester United,K,31,Spain,england,2122,434427.0,22590192.0
Raphaël Varane,Manchester United,D,28,France,england,2122,393880.0,20481774.0
Romelu Lukaku,Chelsea,F,28,Belgium,england,2122,376503.0,19578166.0
Jack Grealish,Manchester City,F,26,England,england,2122,347541.0,18072154.0
Raheem Sterling,Manchester City,F,27,England,england,2122,347541.0,18072154.0
Paul Pogba,Manchester United,M,28,France,england,2122,335957.0,17469749.0
N'Golo Kanté,Chelsea,M,30,France,england,2122,335957.0,17469749.0
Timo Werner,Chelsea,F,25,Germany,england,2122,312787.0,16264938.0
Jadon Sancho,Manchester United,F,21,England,england,2122,289618.0,15060128.0
Anthony Martial,Manchester United,F,25,France,england,2122,289618.0,15060128.0
Kai Havertz,Chelsea,F,22,Germany,england,2122,289618.0,15060128.0
João Cancelo,Manchester City,D,27,Portugal,england,2122,289618.0,15060128.0
Edinson Cavani,Manchester United,F,34,Uruguay,england,2122,289618.0,15060128.0
John Stones,Manchester City,D,27,England,england,2122,289618.0,15060128.0
Pierre-Emerick Aubameyang,Arsenal,F,32,Gabon,england,2122,289618.0,15060128.0
Bruno Fernandes,Manchester United,F,27,Portugal,england,2122,278033.0,14457723.0
Virgil van Dijk,Liverpool,D,30,Netherlands,england,2122,254864.0,13252913.0
Tanguy Ndombélé,Tottenham,M,24,France,england,2122,231694.0,12048102.0
Thomas Partey,Arsenal,M,28,Ghana,england,2122,231694.0,12048102.0
Harry Kane,Tottenham,F,28,England,england,2122,231694.0,12048102.0
Thiago,Liverpool,M,30,Spain,england,2122,231694.0,12048102.0
Mohamed Salah,Liverpool,F,29,Egypt,england,2122,231694.0,12048102.0
Jordan Henderson,Liverpool,M,31,England,england,2122,231694.0,12048102.0
Marcus Rashford,Manchester United,F,24,England,england,2122,231694.0,12048102.0
Saúl Ñíguez,Chelsea,M,27,Spain,england,2122,229689.0,11943840.0
Heung-min Son,Tottenham,F,29,South Korea,england,2122,220110.0,11445697.0
Harry Maguire,Manchester United,D,28,England,england,2122,220110.0,11445697.0
Ben Chilwell,Chelsea,D,25,England,england,2122,220110.0,11445697.0
Alexandre Lacazette,Arsenal,F,30,France,england,2122,210975.0,10970724.0
Roberto Firmino,Liverpool,F,30,Brazil,england,2122,208525.0,10843292.0
Fabinho,Liverpool,M,28,Brazil,england,2122,208525.0,10843292.0
Callum Hudson-Odoi,Chelsea,F,21,England,england,2122,208525.0,10843292.0
Trent Alexander-Arnold,Liverpool,D,23,England,england,2122,208525.0,10843292.0
Rúben Dias,Manchester City,D,24,Portugal,england,2122,208525.0,10843292.0
Cristian Romero,Tottenham,D,23,Argentina,england,2122,191148.0,9939685.0
Juan Mata,Manchester United,F,33,Spain,england,2122,185355.0,9638482.0
Kyle Walker,Manchester City,D,31,England,england,2122,185355.0,9638482.0
Andrew Robertson,Liverpool,D,27,Scotland,england,2122,185355.0,9638482.0
