player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Dele Alli,Besiktas,F,26,England,turkey,2223,122692.0,6380000.0
Bertrand Traoré,Basaksehir,F,27,Burkina Faso,turkey,2223,95385.0,4960000.0
Jean-Philippe Gbamin,Trabzonspor,M,27,Cote d'Ivoire,turkey,2223,91923.0,4780000.0
Michy Batshuayi,Fenerbahce,F,29,Belgium,turkey,2223,72115.0,3750000.0
Dries Mertens,Galatasaray,F,35,Belgium,turkey,2223,69808.0,3630000.0
Sérgio Oliveira,Galatasaray,M,30,Portugal,turkey,2223,66154.0,3440000.0
Nicolò Zaniolo,Galatasaray,F,23,Italy,turkey,2223,66154.0,3440000.0
Lucas Torreira,Galatasaray,M,27,Uruguay,turkey,2223,66154.0,3440000.0
Vincent Aboubakar,Besiktas,F,31,Cameroon,turkey,2223,60192.0,3130000.0
Rachid Ghezzal,Besiktas,F,30,Algeria,turkey,2223,60192.0,3130000.0
Fernando Muslera,Galatasaray,K,36,Uruguay,turkey,2223,60192.0,3130000.0
Ezgjan Alioski,Fenerbahce,D,31,North Macedonia,turkey,2223,60192.0,3130000.0
João Pedro,Fenerbahce,F,30,Italy,turkey,2223,60192.0,3130000.0
Joshua King,Fenerbahce,F,31,Norway,turkey,2223,60192.0,3130000.0
Haris Seferovic,Galatasaray,F,30,Switzerland,turkey,2223,55385.0,2880000.0
Cenk Tosun,Besiktas,F,31,Turkey,turkey,2223,54038.0,2810000.0
Vitor Hugo,Trabzonspor,D,31,Brazil,turkey,2223,49808.0,2590000.0
Arthur Masuaku,Besiktas,D,29,Democratic Republic of the Congo,turkey,2223,49038.0,2550000.0
Yaroslav Rakitskiy,Adana Demirspor,D,33,Ukraine,turkey,2223,48077.0,2500000.0
Ivan Cavaleiro,Alanyaspor,F,29,Portugal,turkey,2223,45962.0,2390000.0
Patrick van Aanholt,Galatasaray,D,32,Netherlands,turkey,2223,45769.0,2380000.0
Juan Mata,Galatasaray,F,34,Spain,turkey,2223,45769.0,2380000.0
Bruno Peres,Trabzonspor,D,32,Brazil,turkey,2223,43269.0,2250000.0
Bright Osayi-Samuel,Fenerbahce,D,25,Nigeria,turkey,2223,43269.0,2250000.0
Léo Dubois,Galatasaray,D,28,France,turkey,2223,43269.0,2250000.0
Bafétimbi Gomis,Galatasaray,F,37,France,turkey,2223,42115.0,2190000.0
Maxi Gómez,Trabzonspor,F,26,Uruguay,turkey,2223,42115.0,2190000.0
Umut Bozok,Trabzonspor,F,26,Turkey,turkey,2223,40962.0,2130000.0
Wout Weghorst,Besiktas,F,30,Netherlands,turkey,2223,40192.0,2090000.0
Younès Belhanda,Adana Demirspor,F,32,Morocco,turkey,2223,39038.0,2030000.0
Djaniny,Trabzonspor,F,31,Cape Verde,turkey,2223,38462.0,2000000.0
Georges-Kevin N'Koudou,Besiktas,F,28,Cameroon,turkey,2223,38462.0,2000000.0
Ömer Toprak,Antalyaspor,D,33,Turkey,turkey,2223,37308.0,1940000.0
Trezeguet,Trabzonspor,F,28,Egypt,turkey,2223,37308.0,1940000.0
Marc Bartra,Trabzonspor,D,32,Spain,turkey,2223,36154.0,1880000.0
Henry Onyekuru,Adana Demirspor,F,25,Nigeria,turkey,2223,36154.0,1880000.0
Edin Visca,Trabzonspor,F,33,Bosnia-Herzegovina,turkey,2223,36154.0,1880000.0
Milot Rashica,Galatasaray,F,26,Kosovo,turkey,2223,36154.0,1880000.0
Marek Hamsik,Trabzonspor,M,35,Slovakia,turkey,2223,36154.0,1880000.0
Willian Arão,Fenerbahce,M,30,Brazil,turkey,2223,36154.0,1880000.0
Badou Ndiaye,Adana Demirspor,M,32,Senegal,turkey,2223,36154.0,1880000.0
Enner Valencia,Fenerbahce,F,33,Ecuador,turkey,2223,36154.0,1880000.0
Kévin Malcuit,Ankaragucu,D,31,France,turkey,2223,36154.0,1880000.0
Romain Saïss,Besiktas,D,32,Morocco,turkey,2223,36154.0,1880000.0
Nathan Redmond,Besiktas,F,28,England,turkey,2223,36154.0,1880000.0
Mesut Özil,Basaksehir,F,34,Germany,turkey,2223,36154.0,1880000.0
Jonas Svensson,Adana Demirspor,D,29,Norway,turkey,2223,34231.0,1780000.0
Hasan Ali Kaldirim,Basaksehir,D,32,Turkey,turkey,2223,34231.0,1780000.0
Omar Colley,Besiktas,D,30,The Gambia,turkey,2223,33654.0,1750000.0
Valentin Rosier,Besiktas,D,26,France,turkey,2223,33654.0,1750000.0
Pedrinho,Ankaragucu,M,30,Portugal,turkey,2223,33269.0,1730000.0
Valentin Eysseric,Kasimpasa,F,30,France,turkey,2223,33269.0,1730000.0
Alin Tosca,Gaziantep BB,D,30,Romania,turkey,2223,33269.0,1730000.0
Papy Djilobodji,Gaziantep BB,D,33,Senegal,turkey,2223,32885.0,1710000.0
Papy Djilobodji,Kasimpasa,D,34,Senegal,turkey,2223,32885.0,1710000.0
Benjamin Stambouli,Adana Demirspor,M,32,France,turkey,2223,31923.0,1660000.0
Stefano Okaka,Basaksehir,F,33,Italy,turkey,2223,31923.0,1660000.0
Josef,Besiktas,M,33,Brazil,turkey,2223,31346.0,1630000.0
Sam Larsson,Antalyaspor,F,29,Sweden,turkey,2223,31346.0,1630000.0
Artem Dzyuba,Adana Demirspor,F,34,Russia,turkey,2223,31346.0,1630000.0
Luan Peres,Fenerbahce,D,28,Brazil,turkey,2223,31346.0,1630000.0
Ugurcan Cakir,Trabzonspor,K,26,Turkey,turkey,2223,31346.0,1630000.0
Enis Bardhi,Trabzonspor,F,27,North Macedonia,turkey,2223,31346.0,1630000.0
Jeffrey Bruma,Kasimpasa,D,30,Netherlands,turkey,2223,30769.0,1600000.0
Adem Ljajic,Karagumrukspor,F,31,Serbia,turkey,2223,30385.0,1580000.0
Ferdi Kadioglu,Fenerbahce,D,23,Turkey,turkey,2223,30000.0,1560000.0
Emre Mor,Fenerbahce,F,25,Turkey,turkey,2223,30000.0,1560000.0
Adnan Januzaj,Basaksehir,F,28,Belgium,turkey,2223,30000.0,1560000.0
Lucas Lima,Basaksehir,D,31,Brazil,turkey,2223,29423.0,1530000.0
Mame Diouf,Konyaspor,F,35,Senegal,turkey,2223,28846.0,1500000.0
Gedson Fernandes,Besiktas,M,24,Portugal,turkey,2223,28846.0,1500000.0
Altay Bayindir,Fenerbahce,K,24,Turkey,turkey,2223,28846.0,1500000.0
Zé Luís,Hatayspor,F,32,Cape Verde,turkey,2223,28846.0,1500000.0
Bernard Mensah,Kayserispor,F,28,Ghana,turkey,2223,28846.0,1500000.0
Fredrik Ulvestad,Sivasspor,M,30,Norway,turkey,2223,28846.0,1500000.0
Jens Stryger Larsen,Trabzonspor,D,31,Denmark,turkey,2223,28846.0,1500000.0
Bruma,Fenerbahce,F,27,Portugal,turkey,2223,28077.0,1460000.0
Amir Hadziahmetovic,Besiktas,M,25,Bosnia-Herzegovina,turkey,2223,27885.0,1450000.0
Gustavo Henrique,Fenerbahce,D,29,Brazil,turkey,2223,27692.0,1440000.0
Caner Erkin,Karagumrukspor,D,33,Turkey,turkey,2223,26731.0,1390000.0
Luiz Adriano,Antalyaspor,F,35,Brazil,turkey,2223,26731.0,1390000.0
Shoya Nakajima,Antalyaspor,F,28,Japan,turkey,2223,25769.0,1340000.0
Haji Wright,Antalyaspor,F,24,United States,turkey,2223,25769.0,1340000.0
Christian Luyindama,Antalyaspor,D,29,Democratic Republic of the Congo,turkey,2223,25192.0,1310000.0
Abdülkadir Ömür,Trabzonspor,F,23,Turkey,turkey,2223,24615.0,1280000.0
Mame Thiam,Kayserispor,F,30,Senegal,turkey,2223,24615.0,1280000.0
Alassane Ndao,Antalyaspor,F,26,Senegal,turkey,2223,24615.0,1280000.0
Lucas Biglia,Basaksehir,M,37,Argentina,turkey,2223,24038.0,1250000.0
Léo Duarte,Basaksehir,D,26,Brazil,turkey,2223,24038.0,1250000.0
Victor Nelsson,Galatasaray,D,24,Denmark,turkey,2223,24038.0,1250000.0
