player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Robert Lewandowski,Barcelona,F,35,Poland,spain,2324,520769.0,27080000.0
Vinicius Junior,Real Madrid,F,23,Brazil,spain,2324,480769.0,25000000.0
Toni Kroos,Real Madrid,M,34,Germany,spain,2324,468846.0,24380000.0
David Alaba,Real Madrid,D,31,Austria,spain,2324,432692.0,22500000.0
Luka Modric,Real Madrid,M,38,Croatia,spain,2324,420769.0,21880000.0
Jan Oblak,Atletico Madrid,K,31,Slovenia,spain,2324,400577.0,20830000.0
Jude Bellingham,Real Madrid,F,20,England,spain,2324,400577.0,20830000.0
İlkay Gündoğan,Barcelona,M,33,Germany,spain,2324,360577.0,18750000.0
Frenkie de Jong,Barcelona,M,26,Netherlands,spain,2324,346154.0,18000000.0
Federico Valverde,Real Madrid,M,25,Uruguay,spain,2324,320577.0,16670000.0
Rodrygo,Real Madrid,F,23,Brazil,spain,2324,320577.0,16670000.0
Thibaut Courtois,Real Madrid,K,31,Belgium,spain,2324,288462.0,15000000.0
Éder Militão,Real Madrid,D,26,Brazil,spain,2324,280385.0,14580000.0
Antonio Rüdiger,Real Madrid,D,30,Germany,spain,2324,280385.0,14580000.0
Jules Koundé,Barcelona,D,25,France,spain,2324,260577.0,13550000.0
Álvaro Morata,Atletico Madrid,F,31,Spain,spain,2324,260385.0,13540000.0
Yannick Carrasco,Atletico Madrid,F,29,Belgium,spain,2324,252500.0,13130000.0
Raphinha,Barcelona,F,27,Brazil,spain,2324,240385.0,12500000.0
Antoine Griezmann,Atletico Madrid,F,32,France,spain,2324,240385.0,12500000.0
Aurélien Tchouaméni,Real Madrid,M,24,France,spain,2324,240385.0,12500000.0
João Cancelo,Barcelona,D,29,Portugal,spain,2324,240385.0,12500000.0
Eduardo Camavinga,Real Madrid,M,21,France,spain,2324,240385.0,12500000.0
Saúl Ñíguez,Atletico Madrid,M,29,Spain,spain,2324,230769.0,12000000.0
Nacho Fernández,Real Madrid,D,34,Spain,spain,2324,220385.0,11460000.0
Iñaki Williams,Athletic Club,F,29,Ghana,spain,2324,219231.0,11400000.0
Daniel Carvajal,Real Madrid,D,32,Spain,spain,2324,200385.0,10420000.0
Dani Ceballos,Real Madrid,M,27,Spain,spain,2324,200385.0,10420000.0
Nico Williams,Athletic Club,F,21,Spain,spain,2324,200385.0,10420000.0
Ferland Mendy,Real Madrid,D,28,France,spain,2324,200385.0,10420000.0
Ferran Torres,Barcelona,F,23,Spain,spain,2324,192308.0,10000000.0
Lucas Vázquez,Real Madrid,D,32,Spain,spain,2324,180385.0,9380000.0
Pedri,Barcelona,M,21,Spain,spain,2324,180385.0,9380000.0
Iñigo Martínez,Barcelona,D,32,Spain,spain,2324,174231.0,9060000.0
Andreas Christensen,Barcelona,D,27,Denmark,spain,2324,173077.0,9000000.0
Kepa Arrizabalaga,Real Madrid,K,29,Spain,spain,2324,173077.0,9000000.0
Memphis Depay,Atletico Madrid,F,29,Netherlands,spain,2324,168269.0,8750000.0
Unai Simón,Athletic Club,K,26,Spain,spain,2324,160385.0,8340000.0
Axel Witsel,Atletico Madrid,D,35,Belgium,spain,2324,160192.0,8330000.0
Mario Hermoso,Atletico Madrid,D,28,Spain,spain,2324,160192.0,8330000.0
Marcos Llorente,Atletico Madrid,M,29,Spain,spain,2324,160192.0,8330000.0
César Azpilicueta,Atletico Madrid,D,34,Spain,spain,2324,153846.0,8000000.0
Brahim Díaz,Real Madrid,F,24,Spain,spain,2324,140192.0,7290000.0
Ronald Araujo,Barcelona,D,24,Uruguay,spain,2324,134615.0,7000000.0
Gavi,Barcelona,M,19,Spain,spain,2324,130769.0,6800000.0
Nabil Fekir,Real Betis,F,30,France,spain,2324,130769.0,6800000.0
Rodrigo de Paul,Atletico Madrid,M,29,Argentina,spain,2324,128269.0,6670000.0
Koke,Atletico Madrid,M,32,Spain,spain,2324,128269.0,6670000.0
Kieran Tierney,Real Sociedad,D,26,Scotland,spain,2324,128269.0,6670000.0
Ivan Rakitic,Sevilla,M,35,Croatia,spain,2324,124038.0,6450000.0
Marc-André ter Stegen,Barcelona,K,31,Germany,spain,2324,121154.0,6300000.0
Mikel Oyarzabal,Real Sociedad,F,26,Spain,spain,2324,120385.0,6260000.0
José Giménez,Atletico Madrid,D,29,Uruguay,spain,2324,120192.0,6250000.0
Isco,Real Betis,F,31,Spain,spain,2324,120192.0,6250000.0
Marcos Alonso,Barcelona,D,33,Spain,spain,2324,120192.0,6250000.0
Eric García,Girona,D,23,Spain,spain,2324,115385.0,6000000.0
Gonçalo Guedes,Villarreal,F,27,Portugal,spain,2324,103846.0,5400000.0
